E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
11.1925,0,0,0
12,0.077127,0.013528,0.018758
13,0.1769,0.059832,0.069862
14,0.27605,0.12764,0.14089
15,0.37152,0.2083,0.22347
16,0.46181,0.29578,0.31185
17,0.54632,0.38592,0.40208
18,0.62488,0.47589,0.49151
19,0.69764,0.56379,0.5784
20,0.76715,0.65289,0.66586
21,0.84929,0.77722,0.78573
22,0.92726,0.89781,0.90143
23,1.0009,1.0122,1.0108
24,1.0703,1.1199,1.1133
25,1.1355,1.2204,1.2087
26,1.1966,1.3141,1.2972
27,1.2538,1.401,1.3791
28,1.3074,1.4814,1.4545
29,1.3574,1.5557,1.5239
30,1.4042,1.6242,1.5875
31,1.448,1.6873,1.6459
32,1.4888,1.7453,1.6992
33,1.5269,1.7986,1.7479
34,1.5625,1.8474,1.7923
35,1.5957,1.8921,1.8327
36,1.6267,1.9329,1.8694
37,1.6556,1.9702,1.9026
38,1.6825,2.0042,1.9326
39,1.7076,2.0352,1.9597
40,1.731,2.0633,1.9841
41,1.7528,2.0888,2.0059
42,1.7731,2.1118,2.0254
43,1.792,2.1325,2.0428
44,1.8095,2.1512,2.0581
45,1.8258,2.1679,2.0717
46,1.8409,2.1827,2.0835
47,1.855,2.196,2.0938
48,1.868,2.2076,2.1026
49,1.88,2.2178,2.1101
50,1.8911,2.2267,2.1164
52,1.9108,2.2407,2.1257
54,1.9274,2.2505,2.1312
56,1.9413,2.2565,2.1335
58,1.9527,2.2593,2.1331
60,1.962,2.2594,2.1305
62,1.9694,2.2571,2.126
64,1.975,2.2527,2.12
66,1.979,2.2465,2.1128
68,1.9817,2.2388,2.1045
70,1.9831,2.2298,2.0955
72,1.9834,2.2197,2.0858
74,1.9827,2.2086,2.0757
76,1.9811,2.1967,2.0652
78,1.9787,2.184,2.0545
80,1.9756,2.1708,2.0436
82,1.9718,2.1572,2.0327
84,1.9674,2.1431,2.0217
86,1.9625,2.1286,2.0107
88,1.9571,2.1139,1.9998
90,1.9513,2.099,1.989
92,1.9451,2.0839,1.9782
94,1.9386,2.0687,1.9676
96,1.9318,2.0534,1.957
98,1.9247,2.0381,1.9466
100,1.9173,2.0227,1.9363
110,1.8779,1.9464,1.8863
120,1.8356,1.8723,1.8386
130,1.7922,1.8015,1.7927
140,1.7487,1.7344,1.7482
150,1.7058,1.6713,1.705
160,1.6638,1.6121,1.6631
170,1.6231,1.5565,1.6225
180,1.5838,1.5044,1.5833
190,1.5459,1.4555,1.5455
200,1.5094,1.4096,1.5092
210,1.4744,1.3664,1.4743
220,1.4409,1.3258,1.4407
230,1.4087,1.2876,1.4086
240,1.3778,1.2515,1.3777
250,1.3482,1.2174,1.3482
260,1.3198,1.1852,1.3198
270,1.2925,1.1547,1.2925
280,1.2664,1.1258,1.2664
290,1.2413,1.0984,1.2413
300,1.2171,1.0725,1.2171
310,1.1939,1.0478,1.1939
320,1.1716,1.0243,1.1716
330,1.1502,1.0018,1.1502
340,1.1295,0.98042,1.1295
350,1.1095,0.95995,1.1095
360,1.0903,0.94036,1.0903
370,1.0718,0.92161,1.0718
380,1.0539,0.90363,1.0539
390,1.0366,0.88638,1.0366
400,1.02,0.86981,1.02
410,1.0038,0.85389,1.0038
420,0.9882,0.83858,0.9882
430,0.9731,0.82384,0.9731
440,0.95847,0.80964,0.95847
450,0.94429,0.79595,0.94429
460,0.93056,0.78275,0.93056
470,0.91724,0.77001,0.91724
480,0.90431,0.7577,0.90431
490,0.89177,0.7458,0.89177
500,0.87959,0.73429,0.87959
510,0.86776,0.72316,0.86776
520,0.85626,0.71238,0.85626
530,0.84508,0.70194,0.84508
540,0.83421,0.69182,0.83421
550,0.82362,0.68201,0.82362
560,0.81333,0.67249,0.81333
570,0.8033,0.66325,0.8033
580,0.79353,0.65428,0.79353
590,0.78401,0.64556,0.78401
600,0.77473,0.63709,0.77473
610,0.76568,0.62885,0.76568
620,0.75686,0.62083,0.75686
630,0.74825,0.61303,0.74825
640,0.73985,0.60544,0.73985
650,0.73164,0.59805,0.73164
660,0.72363,0.59085,0.72363
670,0.7158,0.58383,0.7158
680,0.70815,0.57698,0.70815
690,0.70067,0.57031,0.70067
700,0.69337,0.56379,0.69337
710,0.68622,0.55744,0.68622
720,0.67922,0.55124,0.67922
730,0.67238,0.54518,0.67238
740,0.66569,0.53926,0.66569
750,0.65913,0.53348,0.65913
760,0.65271,0.52783,0.65271
770,0.64643,0.52231,0.64643
780,0.64027,0.51691,0.64027
790,0.63423,0.51162,0.63423
800,0.62832,0.50645,0.62832
810,0.62252,0.5014,0.62252
820,0.61684,0.49644,0.61684
830,0.61127,0.4916,0.61127
840,0.6058,0.48685,0.6058
850,0.60044,0.4822,0.60044
860,0.59517,0.47764,0.59517
870,0.59001,0.47317,0.59001
880,0.58494,0.4688,0.58494
890,0.57996,0.4645,0.57996
900,0.57507,0.46029,0.57507
910,0.57027,0.45617,0.57027
920,0.56556,0.45212,0.56556
930,0.56093,0.44814,0.56093
940,0.55637,0.44425,0.55637
950,0.5519,0.44042,0.5519
960,0.5475,0.43666,0.5475
970,0.54318,0.43297,0.54318
980,0.53893,0.42935,0.53893
990,0.53475,0.42579,0.53475
1000,0.53064,0.42229,0.53064
1100,0.49296,0.39042,0.49296
1200,0.46058,0.36329,0.46058
1300,0.43244,0.3399,0.43244
1400,0.40774,0.3195,0.40774
1500,0.38587,0.30156,0.38587
1600,0.36637,0.28563,0.36637
1700,0.34886,0.2714,0.34886
1800,0.33305,0.25861,0.33305
1900,0.3187,0.24704,0.3187
2000,0.3056,0.23651,0.3056
2100,0.2936,0.2269,0.2936
2200,0.28257,0.21809,0.28257
2300,0.27238,0.20998,0.27238
2400,0.26295,0.20248,0.26295
2500,0.25419,0.19553,0.25419
2600,0.24603,0.18908,0.24603
2700,0.2384,0.18305,0.2384
2800,0.23127,0.17743,0.23127
2900,0.22457,0.17216,0.22457
3000,0.21828,0.16721,0.21828
3100,0.21234,0.16256,0.21234
3200,0.20675,0.15817,0.20675
3300,0.20145,0.15403,0.20145
3400,0.19644,0.15011,0.19644
3500,0.19169,0.1464,0.19169
3600,0.18717,0.14288,0.18717
3700,0.18287,0.13953,0.18287
3800,0.17878,0.13635,0.17878
3900,0.17488,0.13331,0.17488
4000,0.17116,0.13042,0.17116
4100,0.1676,0.12766,0.1676
4200,0.16419,0.12502,0.16419
4300,0.16093,0.12249,0.16093
4400,0.1578,0.12007,0.1578
4500,0.1548,0.11775,0.1548
4600,0.15192,0.11552,0.15192
4700,0.14915,0.11338,0.14915
4800,0.14648,0.11132,0.14648
4900,0.14392,0.10934,0.14392
5000,0.14144,0.10743,0.14144
