E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
6.9694,0,0,0
7,0.0031039,0.000629,0.00064521
8,0.11279,0.050395,0.050834
9,0.22602,0.12935,0.13008
10,0.33387,0.21831,0.21925
11,0.43331,0.30752,0.30861
12,0.52372,0.39206,0.39329
13,0.60542,0.46966,0.47103
14,0.69234,0.54516,0.54674
15,0.8399,0.65627,0.6584
16,0.9974,0.78472,0.78736
17,1.2535,0.96825,0.97206
18,1.5119,1.1781,1.1829
19,1.7713,1.4066,1.4122
20,2.0335,1.6528,1.6591
21,2.285,1.9014,1.9082
22,2.5245,2.1478,2.155
23,2.7516,2.3888,2.3962
24,2.9661,2.6223,2.6298
25,3.1685,2.8468,2.8543
26,3.3634,3.0698,3.0771
27,3.5538,3.2972,3.3041
28,3.7338,3.5147,3.521
29,3.9035,3.7214,3.727
30,4.0635,3.9171,3.9219
31,4.2142,4.1019,4.1059
32,4.356,4.276,4.2791
33,4.4896,4.4397,4.4418
34,4.6152,4.5934,4.5944
35,4.7334,4.7375,4.7373
36,4.8452,4.8733,4.8719
37,4.9532,5.0051,5.0023
38,5.0551,5.1289,5.1247
39,5.1511,5.245,5.2392
40,5.2416,5.3536,5.3463
41,5.3269,5.4552,5.4462
42,5.4072,5.55,5.5393
43,5.4829,5.6385,5.626
44,5.5541,5.7209,5.7066
45,5.6211,5.7976,5.7815
46,5.6841,5.8689,5.8508
47,5.7434,5.935,5.9151
48,5.7992,5.9963,5.9744
49,5.8515,6.0531,6.0292
50,5.9007,6.1055,6.0797
52,5.9902,6.1983,6.1686
54,6.0687,6.2767,6.2432
56,6.1375,6.3421,6.3049
58,6.1974,6.3959,6.3555
60,6.2494,6.4395,6.3962
62,6.2942,6.474,6.4283
64,6.3325,6.5003,6.453
66,6.3649,6.5194,6.4712
68,6.392,6.5321,6.4839
70,6.4142,6.539,6.4919
72,6.4321,6.5407,6.496
74,6.4459,6.5379,6.4969
76,6.4562,6.5311,6.495
78,6.4631,6.5206,6.4908
80,6.467,6.5069,6.4848
82,6.4682,6.4904,6.4773
84,6.4669,6.4713,6.4685
86,6.4633,6.4499,6.4587
88,6.4576,6.4266,6.4479
90,6.4501,6.4015,6.4364
92,6.4408,6.3749,6.4241
94,6.43,6.3469,6.411
96,6.4177,6.3177,6.3973
98,6.4041,6.2875,6.383
100,6.3894,6.2563,6.368
110,6.3013,6.0909,6.2832
120,6.1962,5.9167,6.184
130,6.0813,5.7409,6.0738
140,5.9609,5.5675,5.9567
150,5.8384,5.3989,5.8361
160,5.7158,5.2365,5.7145
170,5.5944,5.0809,5.5937
180,5.4752,4.9324,5.4749
190,5.3589,4.7909,5.3587
200,5.2457,4.6564,5.2456
210,5.136,4.5285,5.1359
220,5.0298,4.4069,5.0298
