E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
10.9786,0,0,0
11,0.0017068,1e-05,4.167e-05
12,0.085771,0.018716,0.020025
13,0.17354,0.064509,0.066734
14,0.26038,0.12721,0.13005
15,0.37813,0.21884,0.2224
16,0.52719,0.33185,0.33641
17,0.7365,0.47503,0.48141
18,1.0034,0.65768,0.66649
19,1.2912,0.87256,0.88372
20,1.5963,1.1154,1.1288
21,1.9199,1.3789,1.3947
22,2.2506,1.66,1.678
23,2.5833,1.9574,1.9773
24,2.905,2.2607,2.2821
25,3.217,2.5666,2.5892
26,3.5228,2.8755,2.899
27,3.8159,3.1802,3.2043
28,4.0963,3.4782,3.5027
29,4.372,3.7781,3.8026
30,4.6355,4.0695,4.094
31,4.8872,4.3511,4.3753
32,5.1273,4.6221,4.6459
33,5.3562,4.8821,4.9055
34,5.5744,5.1309,5.1537
35,5.7823,5.3685,5.3907
36,5.9803,5.595,5.6166
37,6.1689,5.8105,5.8315
38,6.3484,6.0153,6.0356
39,6.5194,6.2096,6.2294
40,6.6822,6.3939,6.4131
41,6.8375,6.5686,6.5873
42,6.99,6.7396,6.7577
43,7.137,6.9047,6.9222
44,7.2787,7.0631,7.0801
45,7.4148,7.2146,7.231
46,7.545,7.3583,7.3743
47,7.6694,7.4945,7.5101
48,7.7883,7.6234,7.6388
49,7.9019,7.7454,7.7606
50,8.0105,7.8607,7.8759
52,8.2134,8.0724,8.0878
54,8.3986,8.2606,8.277
56,8.5675,8.4273,8.4454
58,8.7214,8.5746,8.595
60,8.8617,8.704,8.7277
62,8.9894,8.8173,8.8453
64,9.1055,8.9159,8.9491
66,9.2109,9.0011,9.0407
68,9.3065,9.0742,9.1214
70,9.3931,9.1363,9.1923
72,9.4714,9.1883,9.2546
74,9.5419,9.2313,9.3092
76,9.6053,9.266,9.3571
78,9.6621,9.2931,9.399
80,9.7128,9.3135,9.4356
82,9.7579,9.3277,9.4677
84,9.7977,9.3362,9.4958
86,9.8326,9.3396,9.5204
88,9.8631,9.3383,9.542
90,9.8893,9.3329,9.561
92,9.9117,9.3236,9.5777
94,9.9304,9.3108,9.5925
96,9.9458,9.2948,9.6055
98,9.958,9.276,9.617
100,9.9674,9.2546,9.6272
110,9.9767,9.1165,9.6613
120,9.9378,8.9425,9.6705
130,9.8648,8.7481,9.6539
140,9.7677,8.5434,9.6102
150,9.654,8.3349,9.541
160,9.5288,8.1269,9.4502
170,9.396,7.922,9.3425
180,9.2585,7.7221,9.2226
190,9.1183,7.5282,9.0946
200,8.9772,7.3409,8.9616
210,8.8362,7.1605,8.8261
220,8.6963,6.9872,8.6897
230,8.558,6.8207,8.5538
240,8.4219,6.661,8.4192
250,8.2883,6.5079,8.2865
260,8.1574,6.3612,8.1562
270,8.0293,6.2204,8.0286
280,7.9043,6.0855,7.9038
290,7.7823,5.9565,7.782
300,7.6633,5.8328,7.6631
310,7.5474,5.7141,7.5473
320,7.4345,5.6001,7.4344
330,7.3246,5.4906,7.3245
340,7.2176,5.3853,7.2175
350,7.1134,5.284,7.1134
360,7.012,5.1865,7.012
370,6.9133,5.0926,6.9133
380,6.8172,5.0021,6.8172
390,6.7237,4.9148,6.7237
400,6.6326,4.8306,6.6326
410,6.5439,4.7493,6.5439
420,6.4576,4.6708,6.4576
430,6.3735,4.595,6.3735
440,6.2915,4.5217,6.2915
450,6.2116,4.4507,6.2116
460,6.1338,4.382,6.1338
470,6.0579,4.3155,6.0579
480,5.9838,4.2511,5.9838
490,5.9116,4.1887,5.9116
500,5.8412,4.1281,5.8412
510,5.7725,4.0694,5.7725
520,5.7054,4.0123,5.7054
530,5.6399,3.957,5.6399
540,5.5759,3.9032,5.5759
550,5.5134,3.8509,5.5134
560,5.4524,3.8001,5.4524
570,5.3927,3.7506,5.3927
580,5.3344,3.7025,5.3344
590,5.2774,3.6557,5.2774
600,5.2216,3.6101,5.2216
610,5.1671,3.5657,5.1671
620,5.1137,3.5225,5.1137
630,5.0615,3.4803,5.0615
640,5.0104,3.4392,5.0104
650,4.9604,3.3991,4.9604
660,4.9114,3.3599,4.9114
670,4.8634,3.3217,4.8634
680,4.8164,3.2845,4.8164
690,4.7703,3.2481,4.7703
700,4.7251,3.2126,4.7251
710,4.6809,3.1779,4.6809
720,4.6375,3.144,4.6375
730,4.595,3.1108,4.595
740,4.5532,3.0784,4.5532
750,4.5123,3.0467,4.5123
760,4.4721,3.0156,4.4721
770,4.4327,2.9853,4.4327
780,4.394,2.9555,4.394
790,4.356,2.9264,4.356
800,4.3188,2.8979,4.3188
810,4.2821,2.87,4.2821
820,4.2462,2.8427,4.2462
830,4.2109,2.8159,4.2109
840,4.1761,2.7896,4.1761
850,4.142,2.7638,4.142
860,4.1085,2.7386,4.1085
870,4.0756,2.7138,4.0756
880,4.0432,2.6895,4.0432
890,4.0113,2.6657,4.0113
900,3.98,2.6423,3.98
910,3.9492,2.6193,3.9492
920,3.9189,2.5968,3.9189
930,3.8891,2.5747,3.8891
940,3.8598,2.5529,3.8598
950,3.8309,2.5316,3.8309
960,3.8025,2.5106,3.8025
970,3.7745,2.49,3.7745
980,3.747,2.4698,3.747
990,3.7199,2.4499,3.7199
1000,3.6932,2.4303,3.6932
1100,3.4472,2.2515,3.4472
1200,3.2337,2.0986,3.2337
1300,3.0466,1.9663,3.0466
1400,2.8812,1.8505,2.8812
1500,2.7339,1.7484,2.7339
1600,2.6018,1.6575,2.6018
1700,2.4827,1.5762,2.4827
1800,2.3746,1.5029,2.3746
1900,2.2761,1.4366,2.2761
2000,2.186,1.3761,2.186
2100,2.1032,1.3209,2.1032
2200,2.0268,1.2701,2.0268
2300,1.956,1.2233,1.956
2400,1.8904,1.1801,1.8904
2500,1.8293,1.14,1.8293
2600,1.7723,1.1027,1.7723
2700,1.7189,1.0678,1.7189
2800,1.6688,1.0353,1.6688
2900,1.6218,1.0048,1.6218
3000,1.5775,0.97611,1.5775
3100,1.5357,0.94913,1.5357
3200,1.4962,0.92369,1.4962
3300,1.4588,0.89966,1.4588
3400,1.4234,0.87692,1.4234
3500,1.3897,0.85536,1.3897
3600,1.3577,0.83491,1.3577
3700,1.3272,0.81546,1.3272
3800,1.2981,0.79695,1.2981
3900,1.2704,0.77932,1.2704
4000,1.2439,0.76249,1.2439
4100,1.2185,0.74642,1.2185
4200,1.1943,0.73105,1.1943
4300,1.171,0.71633,1.171
4400,1.1487,0.70223,1.1487
4500,1.1272,0.68871,1.1272
4600,1.1066,0.67573,1.1066
4700,1.0868,0.66326,1.0868
4800,1.0677,0.65126,1.0677
4900,1.0493,0.63972,1.0493
5000,1.0316,0.62861,1.0316
