E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.9368,0,0,0
13,0.0030468,0.000123,0.00021052
14,0.053695,0.012374,0.013658
15,0.17903,0.053661,0.057705
16,0.35861,0.13928,0.14663
17,0.57207,0.26379,0.27451
18,0.87082,0.42583,0.44189
19,1.2547,0.63325,0.65653
20,1.6613,0.88375,0.91397
21,2.0724,1.1664,1.203
22,2.5001,1.4755,1.5184
23,2.9604,1.8115,1.8614
24,3.4162,2.1698,2.226
25,3.8632,2.5439,2.6056
26,4.3024,2.9301,2.9967
27,4.7299,3.3227,3.3935
28,5.1411,3.715,3.7895
29,5.541,4.1079,4.1855
30,5.9264,4.497,4.5773
31,6.2957,4.8784,4.961
32,6.6492,5.2503,5.3348
33,6.9917,5.6168,5.703
34,7.3201,5.973,6.0605
35,7.6341,6.3172,6.4059
36,7.9343,6.649,6.7388
37,8.2212,6.9681,7.0588
38,8.4953,7.2744,7.366
39,8.7572,7.5678,7.6603
40,9.0073,7.8486,7.942
41,9.2463,8.1169,8.2112
42,9.4746,8.3731,8.4683
43,9.699,8.6236,8.7199
44,9.9172,8.8677,8.9651
45,10.1274,9.1025,9.201
46,10.3314,9.3306,9.4302
47,10.5272,9.5487,9.6495
48,10.7149,9.757,9.8592
49,10.895,9.9558,10.0594
50,11.0676,10.1452,10.2505
52,11.3918,10.4973,10.6067
54,11.6897,10.8159,10.9302
56,11.9633,11.1034,11.2236
58,12.2146,11.3621,11.4895
60,12.4453,11.5943,11.7301
62,12.6569,11.8022,11.9477
64,12.851,11.9878,12.1443
66,13.0288,12.1528,12.3219
68,13.1916,12.299,12.4823
70,13.3405,12.4279,12.6271
72,13.4765,12.541,12.7579
74,13.6006,12.6396,12.8759
76,13.7137,12.7249,12.9825
78,13.8165,12.7981,13.0788
80,13.9097,12.86,13.1659
82,13.9941,12.9118,13.2447
84,14.0703,12.9542,13.3161
86,14.1388,12.988,13.3809
88,14.2002,13.0139,13.4398
90,14.2549,13.0326,13.4934
92,14.3033,13.0447,13.5422
94,14.3461,13.0507,13.5869
96,14.3834,13.0512,13.6277
98,14.4156,13.0466,13.6652
100,14.4432,13.0373,13.6995
110,14.5202,12.9337,13.8336
120,14.5175,12.7606,13.9177
130,14.4573,12.5439,13.9589
140,14.3555,12.3009,13.9588
150,14.2238,12.0433,13.9188
160,14.0706,11.7788,13.8426
170,13.9024,11.5129,13.7355
180,13.7238,11.2492,13.6037
190,13.5385,10.99,13.4531
200,13.3491,10.737,13.289
210,13.1578,10.4911,13.1158
220,12.9661,10.253,12.9369
230,12.7752,10.0229,12.755
240,12.5859,9.8009,12.572
250,12.3991,9.5869,12.3895
260,12.215,9.3809,12.2085
270,12.0343,9.1826,12.0298
280,11.857,8.9918,11.8539
290,11.6833,8.8085,11.6812
300,11.5135,8.6324,11.512
310,11.3474,8.4629,11.3465
320,11.1853,8.2997,11.1846
330,11.027,8.1426,11.0265
340,10.8725,7.9912,10.8722
350,10.7218,7.8452,10.7216
360,10.5748,7.7045,10.5747
370,10.4315,7.5688,10.4314
380,10.2917,7.4377,10.2917
390,10.1554,7.3112,10.1554
400,10.0225,7.189,10.0225
410,9.8929,7.0709,9.8929
420,9.7665,6.9567,9.7665
430,9.6432,6.8463,9.6432
440,9.5229,6.7394,9.5229
450,9.4056,6.6358,9.4055
460,9.291,6.5355,9.291
470,9.1793,6.4383,9.1793
480,9.0702,6.344,9.0702
490,8.9636,6.2526,8.9636
500,8.8596,6.1638,8.8596
510,8.758,6.0776,8.758
520,8.6588,5.9939,8.6588
530,8.5618,5.9126,8.5618
540,8.467,5.8335,8.467
550,8.3743,5.7566,8.3743
560,8.2838,5.6818,8.2838
570,8.1952,5.6091,8.1952
580,8.1085,5.5382,8.1085
590,8.0237,5.4692,8.0237
600,7.9408,5.402,7.9408
610,7.8596,5.3364,7.8596
620,7.7801,5.2726,7.7801
630,7.7022,5.2103,7.7022
640,7.626,5.1495,7.626
650,7.5514,5.0903,7.5514
660,7.4782,5.0324,7.4782
670,7.4065,4.9759,7.4065
680,7.3363,4.9208,7.3363
690,7.2674,4.867,7.2674
700,7.1999,4.8144,7.1999
710,7.1336,4.763,7.1336
720,7.0687,4.7127,7.0687
730,7.005,4.6636,7.005
740,6.9425,4.6156,6.9425
750,6.8811,4.5685,6.8811
760,6.8209,4.5225,6.8209
770,6.7618,4.4775,6.7618
780,6.7037,4.4334,6.7037
790,6.6467,4.3902,6.6467
800,6.5907,4.3479,6.5907
810,6.5357,4.3064,6.5357
820,6.4817,4.2658,6.4817
830,6.4286,4.226,6.4286
840,6.3764,4.187,6.3764
850,6.3251,4.1487,6.3251
860,6.2747,4.1111,6.2747
870,6.2251,4.0743,6.2251
880,6.1763,4.0382,6.1763
890,6.1284,4.0027,6.1284
900,6.0812,3.9679,6.0812
910,6.0348,3.9338,6.0348
920,5.9892,3.9002,5.9892
930,5.9442,3.8673,5.9442
940,5.9,3.8349,5.9
950,5.8565,3.8031,5.8565
960,5.8137,3.7719,5.8137
970,5.7715,3.7412,5.7715
980,5.7299,3.711,5.7299
990,5.689,3.6814,5.689
1000,5.6487,3.6522,5.6487
1100,5.2769,3.3855,5.2769
1200,4.9536,3.1572,4.9536
1300,4.6699,2.9593,4.6699
1400,4.4188,2.786,4.4188
1500,4.1949,2.633,4.1949
1600,3.9939,2.4969,3.9939
1700,3.8125,2.3749,3.8125
1800,3.6478,2.265,3.6478
1900,3.4976,2.1653,3.4976
2000,3.3601,2.0746,3.3601
2100,3.2336,1.9915,3.2336
2200,3.1169,1.9153,3.1169
2300,3.0088,1.845,3.0088
2400,2.9084,1.7799,2.9084
2500,2.8149,1.7196,2.8149
2600,2.7277,1.6635,2.7277
2700,2.646,1.6111,2.646
2800,2.5693,1.5621,2.5693
2900,2.4973,1.5161,2.4973
3000,2.4294,1.473,2.4294
3100,2.3653,1.4324,2.3653
3200,2.3048,1.394,2.3048
3300,2.2474,1.3578,2.2474
3400,2.1931,1.3236,2.1931
3500,2.1414,1.2911,2.1414
3600,2.0923,1.2603,2.0923
3700,2.0455,1.231,2.0455
3800,2.0009,1.2031,2.0009
3900,1.9583,1.1765,1.9583
4000,1.9176,1.1511,1.9176
4100,1.8787,1.1269,1.8787
4200,1.8414,1.1037,1.8414
4300,1.8057,1.0815,1.8057
4400,1.7714,1.0603,1.7714
4500,1.7384,1.0399,1.7384
4600,1.7067,1.0203,1.7067
4700,1.6763,1.0015,1.6763
4800,1.647,0.98342,1.647
4900,1.6187,0.96601,1.6187
5000,1.5915,0.94924,1.5915
