E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
11.683,0,0,0
12,0.015571,0.001284,0.001515
13,0.067644,0.019701,0.020509
14,0.12147,0.054126,0.05531
15,0.23591,0.12038,0.1225
16,0.35367,0.20975,0.2125
17,0.51025,0.31605,0.31992
18,0.75986,0.45002,0.45647
19,1.1111,0.62585,0.63638
20,1.4715,0.83988,0.85417
21,1.8668,1.0857,1.1042
22,2.2979,1.3652,1.3881
23,2.7488,1.6763,1.7037
24,3.1973,2.0128,2.0445
25,3.6395,2.3682,2.4036
26,4.0798,2.7414,2.7802
27,4.5056,3.1203,3.1623
28,4.916,3.5002,3.5448
29,5.3107,3.8773,3.9244
30,5.6951,4.2533,4.3028
31,6.0654,4.6241,4.6756
32,6.4206,4.9865,5.0399
33,6.7608,5.3391,5.3943
34,7.0866,5.6809,5.7377
35,7.3984,6.0112,6.0697
36,7.6967,6.3297,6.3897
37,7.9819,6.636,6.6975
38,8.2547,6.9301,6.9931
39,8.5155,7.2119,7.2766
40,8.7648,7.4817,7.548
41,9.0032,7.7395,7.8075
42,9.2332,7.9876,8.0573
43,9.4592,8.2304,8.3021
44,9.6808,8.4686,8.5422
45,9.8964,8.7008,8.7763
46,10.1035,8.9233,9.0009
47,10.3024,9.1362,9.216
48,10.4935,9.3396,9.4218
49,10.677,9.5337,9.6185
50,10.8531,9.7189,9.8064
52,11.1847,10.0635,10.1571
54,11.4903,10.3757,10.4763
56,11.7718,10.6578,10.7664
58,12.0311,10.9121,11.0299
60,12.2698,11.1406,11.2689
62,12.4896,11.3456,11.4857
64,12.6917,11.5288,11.6823
66,12.8776,11.692,11.8606
68,13.0484,11.8369,12.0222
70,13.2053,11.965,12.1689
72,13.3491,12.0777,12.302
74,13.481,12.1762,12.4231
76,13.6017,12.2618,12.5334
78,13.712,12.3355,12.634
80,13.8126,12.3982,12.726
82,13.9042,12.4509,12.8104
84,13.9874,12.4945,12.8881
86,14.0628,12.5297,12.9599
88,14.131,12.5571,13.0264
90,14.1923,12.5775,13.0884
92,14.2472,12.5913,13.1464
94,14.2962,12.5992,13.2009
96,14.3397,12.6017,13.2523
98,14.378,12.5991,13.3011
100,14.4114,12.592,13.3475
110,14.5156,12.4997,13.5508
120,14.5368,12.3388,13.7139
130,14.4974,12.1344,13.8344
140,14.4138,11.9036,13.905
150,14.298,11.6578,13.9227
160,14.1587,11.4048,13.8902
170,14.0025,11.1499,13.8149
