E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.1656,0,0,0
13,0.037486,0.008154,0.0087105
14,0.084967,0.032043,0.033088
15,0.16445,0.070661,0.07259
16,0.2857,0.13327,0.13654
17,0.45244,0.22002,0.2252
18,0.72827,0.34177,0.35073
19,1.1028,0.51084,0.52514
20,1.4975,0.72555,0.74495
21,1.9104,0.97519,0.99966
22,2.3619,1.2588,1.2888
23,2.8378,1.5757,1.6115
24,3.3087,1.9184,1.9594
25,3.7839,2.2844,2.3305
26,4.2449,2.6633,2.7139
27,4.694,3.0512,3.1058
28,5.1317,3.445,3.5033
29,5.5595,3.8431,3.9049
30,5.9709,4.2379,4.3028
31,6.366,4.6265,4.6943
32,6.7449,5.007,5.0774
33,7.108,5.3778,5.4507
34,7.4558,5.7377,5.8131
35,7.7886,6.0862,6.1638
36,8.1071,6.4225,6.5023
37,8.4118,6.7464,6.8285
38,8.7035,7.0581,7.1424
39,8.9852,7.3611,7.4477
40,9.2548,7.652,7.7409
41,9.5128,7.9309,8.022
42,9.7608,8.1988,8.2923
43,10.0047,8.4614,8.5575
44,10.242,8.7172,8.8158
45,10.4743,8.9681,9.0694
46,10.6977,9.2094,9.3134
47,10.9124,9.4407,9.5474
48,11.1187,9.662,9.7717
49,11.3169,9.8735,9.9865
50,11.5073,10.0756,10.192
52,11.8657,10.4525,10.5763
54,12.1963,10.7949,10.9273
56,12.5011,11.1053,11.2473
58,12.782,11.386,11.5388
60,13.0408,11.6392,11.8042
62,13.2792,11.8671,12.0458
64,13.4987,12.0715,12.2655
66,13.7007,12.2545,12.4655
68,13.8864,12.4177,12.6475
70,14.0571,12.5628,12.8132
72,14.2139,12.6911,12.9642
74,14.3577,12.8041,13.102
76,14.4894,12.903,13.2279
78,14.6099,12.9889,13.3432
80,14.72,13.063,13.4489
82,14.8204,13.1261,13.5462
84,14.9117,13.1792,13.6359
86,14.9946,13.2231,13.7188
88,15.0696,13.2586,13.7959
90,15.1372,13.2862,13.8677
92,15.198,13.3067,13.9348
