E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
11.3751,0,0,0
12,0.17318,0.04432,0.052925
13,0.53483,0.22743,0.24881
14,0.90006,0.4761,0.50682
15,1.3403,0.77306,0.81587
16,1.7968,1.1218,1.1748
17,2.2339,1.5007,1.5607
18,2.6475,1.8934,1.9576
19,3.0356,2.2883,2.3546
20,3.3982,2.6774,2.7439
21,3.7358,3.0552,3.1206
22,4.0573,3.4205,3.4842
23,4.3667,3.7762,3.8376
24,4.6663,4.1261,4.1845
25,4.9465,4.4629,4.5173
26,5.2083,4.7851,4.8346
27,5.4527,5.0917,5.1356
28,5.6869,5.389,5.4266
29,5.9083,5.6741,5.7049
30,6.1197,5.9504,5.9735
31,6.3206,6.2165,6.2313
32,6.509,6.4683,6.4743
33,6.6856,6.7058,6.7027
34,6.851,6.9294,6.917
35,7.0059,7.1396,7.1176
36,7.1509,7.3368,7.3051
37,7.2866,7.5216,7.48
38,7.4135,7.6946,7.6431
39,7.5322,7.8563,7.7947
40,7.6431,8.0073,7.9356
41,7.7468,8.1481,8.0663
42,7.8436,8.2794,8.1874
43,7.9339,8.4015,8.2994
44,8.0182,8.515,8.4027
45,8.0967,8.6204,8.498
46,8.1699,8.7181,8.5855
47,8.238,8.8085,8.6659
48,8.3013,8.8921,8.7395
49,8.3602,8.9692,8.8067
50,8.4148,9.0402,8.8679
52,8.5122,9.1653,8.9737
54,8.5953,9.2699,9.0595
56,8.6657,9.3562,9.1276
58,8.7248,9.4264,9.1802
60,8.7736,9.4821,9.2192
62,8.8134,9.5251,9.2462
64,8.845,9.5566,9.2628
66,8.8693,9.5781,9.2702
68,8.887,9.5905,9.2696
70,8.8988,9.5949,9.2621
72,8.9053,9.5922,9.2487
74,8.907,9.5831,9.2302
76,8.9044,9.5684,9.2073
78,8.8979,9.5488,9.1806
80,8.8878,9.5247,9.1508
82,8.8747,9.4966,9.1184
84,8.8587,9.4651,9.0837
86,8.8401,9.4305,9.0473
88,8.8193,9.3932,9.0093
90,8.7963,9.3535,8.9701
92,8.7715,9.3117,8.93
94,8.7451,9.2681,8.8891
96,8.7171,9.2229,8.8477
98,8.6878,9.1763,8.8059
100,8.6572,9.1285,8.7638
110,8.4907,8.8769,8.5518
120,8.3092,8.6149,8.3422
130,8.1208,8.3521,8.1376
140,7.9306,8.0942,7.9385
150,7.7419,7.8442,7.7451
160,7.5568,7.6041,7.5577
170,7.3765,7.3744,7.3764
180,7.2018,7.1556,7.2014
190,7.0331,6.9475,7.0326
200,6.8705,6.7498,6.8701
210,6.7142,6.5621,6.7139
220,6.564,6.3838,6.5638
230,6.4198,6.2145,6.4196
240,6.2813,6.0536,6.2812
250,6.1484,5.9006,6.1483
260,6.0208,5.7551,6.0207
270,5.8982,5.6165,5.8982
280,5.7805,5.4844,5.7804
290,5.6673,5.359,5.6673
300,5.5585,5.2393,5.5585
310,5.4538,5.125,5.4538
320,5.3531,5.0157,5.3531
330,5.2561,4.9112,5.2561
340,5.1626,4.811,5.1626
350,5.0725,4.715,5.0725
360,4.9856,4.6229,4.9856
370,4.9018,4.5345,4.9018
380,4.8208,4.4495,4.8208
390,4.7425,4.3678,4.7425
400,4.6669,4.2892,4.6669
410,4.5937,4.2135,4.5937
420,4.5229,4.1405,4.5229
430,4.4544,4.0701,4.4544
440,4.388,4.0023,4.388
450,4.3237,3.9367,4.3237
460,4.2613,3.8734,4.2613
470,4.2008,3.8122,4.2008
480,4.1421,3.753,4.1421
490,4.0851,3.6957,4.0851
500,4.0298,3.6402,4.0298
510,3.976,3.5864,3.976
520,3.9237,3.5343,3.9237
530,3.8728,3.4838,3.8728
540,3.8234,3.4348,3.8234
550,3.7752,3.3872,3.7752
560,3.7284,3.341,3.7284
570,3.6827,3.2961,3.6827
580,3.6382,3.2525,3.6382
590,3.5949,3.2101,3.5949
600,3.5526,3.1688,3.5526
610,3.5114,3.1286,3.5114
620,3.4712,3.0896,3.4712
630,3.432,3.0515,3.432
640,3.3937,3.0144,3.3937
650,3.3563,2.9783,3.3563
660,3.3198,2.943,3.3198
670,3.2841,2.9087,3.2841
680,3.2492,2.8752,3.2492
690,3.2151,2.8424,3.2151
700,3.1818,2.8105,3.1818
710,3.1492,2.7793,3.1492
720,3.1172,2.7489,3.1172
730,3.086,2.7191,3.086
740,3.0555,2.6901,3.0555
750,3.0256,2.6617,3.0256
760,2.9963,2.6339,2.9963
770,2.9676,2.6067,2.9676
780,2.9394,2.5801,2.9394
790,2.9119,2.5541,2.9119
800,2.8849,2.5286,2.8849
810,2.8584,2.5037,2.8584
820,2.8325,2.4793,2.8325
830,2.807,2.4554,2.807
840,2.782,2.4319,2.782
850,2.7575,2.409,2.7575
860,2.7335,2.3865,2.7335
870,2.7099,2.3644,2.7099
880,2.6867,2.3428,2.6867
890,2.664,2.3216,2.664
900,2.6416,2.3008,2.6416
910,2.6197,2.2804,2.6197
920,2.5981,2.2603,2.5981
930,2.5769,2.2407,2.5769
940,2.5561,2.2214,2.5561
950,2.5357,2.2024,2.5357
960,2.5156,2.1838,2.5156
970,2.4958,2.1655,2.4958
980,2.4763,2.1476,2.4763
990,2.4572,2.1299,2.4572
1000,2.4384,2.1126,2.4384
1100,2.266,1.9544,2.266
1200,2.1178,1.8195,2.1178
1300,1.9889,1.703,1.9889
1400,1.8757,1.6013,1.8757
1500,1.7754,1.5117,1.7754
1600,1.686,1.4321,1.686
1700,1.6057,1.361,1.6057
1800,1.5331,1.2969,1.5331
1900,1.4672,1.239,1.4672
2000,1.4071,1.1863,1.4071
2100,1.352,1.1381,1.352
2200,1.3013,1.094,1.3013
2300,1.2545,1.0533,1.2545
2400,1.2112,1.0157,1.2112
2500,1.1709,0.98083,1.1709
2600,1.1334,0.94843,1.1334
2700,1.0984,0.91822,1.0984
2800,1.0656,0.88997,1.0656
2900,1.0348,0.86352,1.0348
3000,1.0059,0.83868,1.0059
3100,0.97858,0.81531,0.97858
3200,0.95283,0.79328,0.95283
3300,0.92849,0.77248,0.92849
3400,0.90543,0.7528,0.90543
3500,0.88356,0.73416,0.88356
3600,0.86279,0.71646,0.86279
3700,0.84302,0.69966,0.84302
3800,0.8242,0.68366,0.8242
3900,0.80625,0.66842,0.80625
4000,0.78911,0.65389,0.78911
4100,0.77273,0.64001,0.77273
4200,0.75705,0.62674,0.75705
4300,0.74204,0.61404,0.74204
4400,0.72764,0.60187,0.72764
4500,0.71383,0.5902,0.71383
4600,0.70056,0.57901,0.70056
4700,0.6878,0.56825,0.6878
4800,0.67553,0.55791,0.67553
4900,0.66372,0.54796,0.66372
5000,0.65233,0.53838,0.65233
