E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
9.6335,0,0,0
10,0.1055,0.015012,0.019056
11,0.53105,0.16357,0.18083
12,0.96322,0.42132,0.44806
13,1.3804,0.73965,0.77286
14,1.8673,1.1341,1.174
15,2.4229,1.6118,1.6582
16,2.9759,2.1229,2.1741
17,3.5536,2.6893,2.7438
18,4.1336,3.2884,3.3444
19,4.6846,3.8926,3.9476
20,5.2229,4.5032,4.5556
21,5.7302,5.1018,5.1499
22,6.2195,5.6927,5.7349
23,6.6804,6.2645,6.2995
24,7.1112,6.8113,6.8378
25,7.515,7.3329,7.3497
26,7.9105,7.8492,7.8551
27,8.2824,8.3418,8.3358
28,8.6305,8.8077,8.7888
29,8.956,9.2466,9.2142
30,9.2636,9.6634,9.6168
31,9.5553,10.0606,9.9989
32,9.8282,10.4335,10.3561
33,10.0835,10.7827,10.6892
34,10.3221,11.1093,10.9992
35,10.5452,11.4142,11.2872
36,10.7535,11.6985,11.5541
37,10.948,11.9632,11.8012
38,11.1295,12.2095,12.0294
39,11.2989,12.4381,12.2398
40,11.4568,12.6503,12.4335
41,11.604,12.8469,12.6114
42,11.7411,13.0288,12.7744
43,11.8688,13.1969,12.9233
44,11.9875,13.352,13.0592
45,12.0979,13.4948,13.1827
46,12.2004,13.6261,13.2945
47,12.2956,13.7466,13.3955
48,12.3837,13.857,13.4863
49,12.4653,13.9578,13.5675
50,12.5407,14.0496,13.6397
52,12.6744,14.2085,13.7595
54,12.7875,14.3375,13.8498
56,12.8821,14.4402,13.9144
58,12.9602,14.5197,13.9567
60,13.0237,14.5786,13.9795
62,13.0741,14.6194,13.9856
64,13.1128,14.6442,13.9773
66,13.1411,14.6548,13.9567
68,13.1599,14.6529,13.9257
70,13.1703,14.64,13.886
72,13.1731,14.6173,13.8391
74,13.1691,14.5861,13.7862
76,13.1591,14.5472,13.7284
78,13.1435,14.5018,13.6668
80,13.1231,14.4504,13.6023
82,13.0982,14.3939,13.5354
84,13.0693,14.3329,13.4669
86,13.0369,14.268,13.3972
88,13.0013,14.1997,13.3269
90,12.9628,14.1283,13.2561
92,12.9218,14.0545,13.1852
94,12.8785,13.9784,13.1145
96,12.8331,13.9004,13.044
98,12.7859,13.8208,12.9739
100,12.7371,13.7399,12.9043
110,12.4746,13.3229,12.5648
120,12.1931,12.8988,12.2398
130,11.9039,12.4801,11.9273
140,11.6141,12.0738,11.6254
150,11.3281,11.6834,11.3333
160,11.0486,11.3109,11.0509
170,10.7774,10.9567,10.7784
180,10.5154,10.6207,10.5158
190,10.2631,10.3024,10.2631
200,10.0205,10.0011,10.0205
210,9.7876,9.7157,9.7876
220,9.5642,9.4455,9.5642
230,9.35,9.1894,9.35
240,9.1447,8.9465,9.1446
