E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
9.1168,0,0,0
10,0.053222,0.013453,0.014093
11,0.11648,0.052501,0.053587
12,0.17872,0.10608,0.10738
13,0.23794,0.16681,0.16815
14,0.29331,0.22999,0.23125
15,0.36123,0.31393,0.31492
16,0.44997,0.4315,0.43191
17,0.53595,0.54751,0.54724
18,0.61813,0.65876,0.65775
19,0.6969,0.76381,0.76207
20,0.79405,0.86437,0.86243
21,0.89488,0.96344,0.96145
22,0.99207,1.0602,1.0581
23,1.0852,1.1537,1.1515
24,1.1791,1.2461,1.2438
25,1.2732,1.3376,1.3353
26,1.3632,1.4256,1.4232
27,1.4491,1.5098,1.5074
28,1.531,1.5901,1.5876
29,1.6088,1.6662,1.6637
30,1.6827,1.7383,1.7357
31,1.7529,1.8064,1.8038
32,1.8195,1.8706,1.868
33,1.8826,1.9311,1.9284
34,1.9425,1.9878,1.9852
35,1.9992,2.041,2.0385
36,2.0529,2.0909,2.0885
37,2.1039,2.1376,2.1353
38,2.1521,2.1812,2.1791
39,2.1978,2.2219,2.2201
40,2.2412,2.2598,2.2584
41,2.2822,2.2952,2.2941
42,2.3211,2.3281,2.3275
43,2.3579,2.3586,2.3585
44,2.3942,2.3895,2.3899
45,2.4292,2.4192,2.4202
46,2.4624,2.4471,2.4488
47,2.4941,2.4732,2.4755
48,2.5241,2.4975,2.5006
49,2.5527,2.5202,2.5241
50,2.5799,2.5412,2.5462
52,2.6302,2.5788,2.586
54,2.6755,2.6109,2.6209
56,2.7164,2.638,2.6513
58,2.7532,2.6607,2.6778
60,2.7862,2.6794,2.701
62,2.8158,2.6945,2.7213
64,2.8422,2.7064,2.739
66,2.8658,2.7154,2.7546
68,2.8868,2.7218,2.7684
70,2.9053,2.7259,2.7807
72,2.9217,2.728,2.7917
74,2.936,2.7281,2.8016
76,2.9484,2.7266,2.8107
78,2.9591,2.7236,2.819
80,2.9682,2.7193,2.8268
82,2.9759,2.7138,2.8341
84,2.9822,2.7072,2.8409
86,2.9873,2.6996,2.8474
88,2.9912,2.6912,2.8535
90,2.994,2.6821,2.8593
92,2.9959,2.6722,2.8648
94,2.9969,2.6618,2.8699
96,2.9971,2.6508,2.8746
98,2.9964,2.6393,2.879
100,2.9951,2.6275,2.8829
110,2.9793,2.5636,2.8952
120,2.9522,2.4953,2.8938
130,2.9174,2.4256,2.879
140,2.8775,2.3562,2.8531
150,2.8343,2.2883,2.8192
160,2.789,2.2224,2.7799
170,2.7427,2.1591,2.7373
180,2.696,2.0983,2.6928
190,2.6494,2.0403,2.6475
200,2.6032,1.9849,2.602
210,2.5576,1.9321,2.5569
220,2.5129,1.8817,2.5125
230,2.4691,1.8338,2.4689
240,2.4263,1.7881,2.4262
250,2.3847,1.7445,2.3846
260,2.3441,1.703,2.3441
270,2.3047,1.6633,2.3047
280,2.2663,1.6255,2.2663
290,2.2291,1.5894,2.2291
300,2.193,1.555,2.193
310,2.1579,1.522,2.1579
320,2.1238,1.4905,2.1238
330,2.0907,1.4603,2.0907
340,2.0586,1.4313,2.0586
350,2.0275,1.4034,2.0275
360,1.9972,1.3767,1.9972
370,1.9678,1.351,1.9678
380,1.9393,1.3263,1.9393
390,1.9116,1.3025,1.9116
400,1.8846,1.2796,1.8846
410,1.8585,1.2575,1.8585
420,1.833,1.2362,1.833
430,1.8082,1.2156,1.8082
440,1.7841,1.1957,1.7841
450,1.7607,1.1766,1.7607
460,1.7379,1.158,1.7379
470,1.7157,1.1401,1.7157
480,1.694,1.1227,1.694
490,1.673,1.1059,1.673
500,1.6524,1.0896,1.6524
510,1.6324,1.0738,1.6324
520,1.6129,1.0584,1.6129
530,1.5938,1.0436,1.5938
540,1.5752,1.0291,1.5752
550,1.5571,1.0151,1.5571
560,1.5394,1.0015,1.5394
570,1.5221,0.98827,1.5221
580,1.5052,0.9754,1.5052
590,1.4888,0.96288,1.4888
600,1.4726,0.9507,1.4726
610,1.4569,0.93883,1.4569
620,1.4415,0.92728,1.4415
