E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
13.0876,0,0,0
14,0.03627,0.004726,0.0057829
15,0.079101,0.018573,0.020677
16,0.15182,0.043023,0.046947
17,0.22534,0.078231,0.083736
18,0.32972,0.12414,0.13212
19,0.45655,0.18533,0.19626
20,0.58688,0.25883,0.27254
21,0.73623,0.34495,0.3619
22,0.89174,0.44196,0.46218
23,1.0513,0.54863,0.57206
24,1.207,0.66217,0.68851
25,1.3752,0.79413,0.82326
26,1.5386,0.93072,0.96232
27,1.6967,1.0692,1.103
28,1.8491,1.2077,1.2435
29,1.9958,1.345,1.3827
30,2.1365,1.4801,1.5195
31,2.2715,1.6122,1.6533
32,2.4007,1.7409,1.7834
33,2.5244,1.8656,1.9096
34,2.6427,1.9861,2.0316
35,2.7557,2.1023,2.1492
36,2.8638,2.214,2.2623
37,2.967,2.3212,2.371
38,3.0656,2.4239,2.4751
39,3.1598,2.5221,2.5748
40,3.2498,2.616,2.6702
41,3.3358,2.7055,2.7614
42,3.4184,2.7914,2.8489
43,3.501,2.8771,2.9364
44,3.5802,2.9593,3.0204
45,3.6561,3.0378,3.1008
46,3.7288,3.1128,3.1776
47,3.7986,3.1842,3.2511
48,3.8654,3.2522,3.3213
49,3.9295,3.3169,3.3883
50,3.9909,3.3784,3.4523
52,4.106,3.4924,3.5715
54,4.2118,3.595,3.68
56,4.3089,3.6872,3.7786
58,4.3979,3.7697,3.8683
60,4.4796,3.8435,3.9499
62,4.5546,3.9092,4.0242
64,4.6232,3.9675,4.0919
66,4.6861,4.019,4.1536
68,4.7436,4.0644,4.21
70,4.7962,4.1041,4.2615
72,4.8442,4.1386,4.3088
74,4.888,4.1684,4.3523
76,4.9279,4.1939,4.3923
78,4.9641,4.2155,4.4293
80,4.997,4.2335,4.4636
82,5.0267,4.2481,4.4955
84,5.0534,4.2598,4.5253
86,5.0775,4.2687,4.5532
88,5.099,4.2751,4.5794
90,5.1182,4.2792,4.6042
92,5.1351,4.2812,4.6276
94,5.15,4.2812,4.6497
96,5.163,4.2795,4.6709
98,5.1742,4.2762,4.691
100,5.1837,4.2715,4.7102
110,5.2099,4.2297,4.7941
120,5.2077,4.1665,4.8594
130,5.1852,4.0902,4.9055
140,5.1479,4.0061,4.9313
150,5.1,3.9181,4.9372
160,5.0446,3.8284,4.925
170,4.9838,3.7388,4.8975
180,4.9193,3.6504,4.858
190,4.8525,3.5638,4.8093
200,4.7843,3.4796,4.7541
210,4.7154,3.398,4.6945
220,4.6464,3.3191,4.632
230,4.5777,3.243,4.5678
