E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
9.1155,0,0,0
10,0.040594,0.019508,0.019611
11,0.089066,0.055874,0.056045
12,0.13708,0.099793,0.099995
13,0.18306,0.14664,0.14685
14,0.22635,0.19362,0.19382
15,0.26672,0.23909,0.23927
16,0.30419,0.28212,0.28227
17,0.34874,0.32287,0.32306
18,0.43444,0.36777,0.36827
19,0.55718,0.42345,0.42451
20,0.68024,0.48991,0.49151
21,0.81478,0.56569,0.5679
22,0.9623,0.65121,0.65412
23,1.1179,0.74721,0.75087
24,1.2701,0.85045,0.85483
25,1.4208,0.95988,0.96495
26,1.572,1.0756,1.0813
27,1.7182,1.1931,1.1995
28,1.8591,1.3109,1.318
29,1.9947,1.4279,1.4357
30,2.1248,1.5432,1.5516
31,2.2496,1.6561,1.6651
32,2.3691,1.7661,1.7758
33,2.4834,1.8729,1.8832
34,2.5928,1.9762,1.9872
35,2.6974,2.0758,2.0876
36,2.7973,2.1717,2.1842
37,2.8929,2.2637,2.2769
38,2.9842,2.3519,2.3659
39,3.0714,2.4363,2.4512
40,3.1547,2.5169,2.5327
41,3.2343,2.5939,2.6106
42,3.3119,2.6688,2.6865
43,3.3886,2.7436,2.7623
44,3.4623,2.8154,2.8352
45,3.5347,2.8863,2.9072
46,3.6044,2.9544,2.9765
47,3.6713,3.0196,3.043
48,3.7356,3.0819,3.1066
49,3.7973,3.1413,3.1675
50,3.8566,3.198,3.2257
52,3.9682,3.3034,3.3344
54,4.0709,3.3987,3.4335
56,4.1656,3.4847,3.5238
58,4.2528,3.562,3.606
60,4.333,3.6314,3.6809
62,4.4068,3.6935,3.7492
64,4.4747,3.7488,3.8115
66,4.5371,3.7979,3.8685
68,4.5944,3.8414,3.9207
70,4.647,3.8796,3.9687
72,4.6952,3.9131,4.0131
74,4.7393,3.9422,4.0543
76,4.7796,3.9673,4.0927
78,4.8165,3.9887,4.1288
80,4.85,4.0067,4.163
82,4.8806,4.0217,4.1955
84,4.9083,4.0338,4.2268
86,4.9333,4.0433,4.257
88,4.9559,4.0504,4.2865
90,4.9762,4.0554,4.3154
92,4.9943,4.0583,4.344
94,5.0104,4.0595,4.3723
