E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
10.5769,0,0,0
11,0.023296,0.002299,0.0038838
12,0.081215,0.022817,0.027421
13,0.2071,0.10811,0.11627
14,0.34755,0.22324,0.23393
15,0.48461,0.34714,0.35948
16,0.61541,0.47323,0.48656
17,0.73858,0.59748,0.61128
18,0.85363,0.71739,0.7313
19,0.96055,0.8315,0.84524
20,1.0596,0.93899,0.95238
21,1.1511,1.0395,1.0524
22,1.2453,1.1524,1.1636
23,1.3418,1.278,1.286
24,1.4327,1.3968,1.4015
25,1.518,1.508,1.5094
26,1.5978,1.6116,1.6096
27,1.6726,1.7076,1.7024
28,1.7424,1.7965,1.7881
29,1.8076,1.8785,1.8671
30,1.8685,1.954,1.9397
31,1.9252,2.0235,2.0064
32,1.9781,2.0873,2.0676
33,2.0275,2.1458,2.1236
34,2.0734,2.1993,2.1748
35,2.1162,2.2483,2.2216
36,2.1561,2.293,2.2642
37,2.1931,2.3338,2.3031
38,2.2277,2.3708,2.3384
39,2.2597,2.4045,2.3705
40,2.2896,2.435,2.3996
41,2.3173,2.4626,2.426
42,2.343,2.4875,2.4497
43,2.3668,2.5098,2.4712
44,2.389,2.5299,2.4904
45,2.4094,2.5477,2.5077
46,2.4284,2.5636,2.5231
47,2.4459,2.5776,2.5368
48,2.462,2.5898,2.549
49,2.4769,2.6005,2.5597
50,2.4905,2.6096,2.5691
52,2.5146,2.6239,2.5844
54,2.5346,2.6335,2.5955
56,2.5511,2.6389,2.6032
58,2.5644,2.6408,2.608
60,2.5749,2.6396,2.6103
62,2.583,2.6358,2.6106
64,2.5888,2.6297,2.6092
66,2.5926,2.6217,2.6064
68,2.5946,2.612,2.6025
70,2.5951,2.6008,2.5975
72,2.5941,2.5884,2.5918
74,2.5918,2.575,2.5854
76,2.5885,2.5607,2.5784
78,2.5841,2.5456,2.571
80,2.5788,2.5299,2.5631
82,2.5726,2.5136,2.555
84,2.5658,2.4969,2.5465
86,2.5583,2.4799,2.5378
88,2.5502,2.4626,2.5289
90,2.5416,2.445,2.5197
92,2.5325,2.4273,2.5104
94,2.523,2.4095,2.5009
96,2.5132,2.3915,2.4912
98,2.503,2.3736,2.4814
100,2.4926,2.3556,2.4715
110,2.4373,2.2665,2.4198
120,2.3789,2.1802,2.3657
130,2.3196,2.0979,2.3102
140,2.2606,2.02,2.2541
150,2.2027,1.9467,2.1984
160,2.1464,1.8779,2.1435
170,2.092,1.8134,2.0901
180,2.0396,1.7529,2.0384
190,1.9893,1.6962,1.9885
200,1.941,1.6429,1.9405
210,1.8948,1.5928,1.8945
220,1.8505,1.5457,1.8503
230,1.8081,1.5013,1.808
240,1.7676,1.4595,1.7675
250,1.7287,1.4199,1.7287
260,1.6915,1.3825,1.6915
270,1.6559,1.3471,1.6559
280,1.6217,1.3135,1.6217
290,1.5889,1.2817,1.5889
300,1.5575,1.2516,1.5575
310,1.5273,1.2229,1.5273
320,1.4982,1.1955,1.4982
330,1.4703,1.1694,1.4703
340,1.4434,1.1445,1.4434
350,1.4176,1.1207,1.4176
360,1.3927,1.098,1.3927
370,1.3686,1.0762,1.3686
380,1.3455,1.0552,1.3455
390,1.3231,1.0352,1.3231
400,1.3015,1.0159,1.3015
410,1.2806,0.99738,1.2806
420,1.2605,0.97956,1.2605
430,1.2409,0.96241,1.2409
440,1.222,0.94588,1.222
450,1.2038,0.92995,1.2038
460,1.186,0.91459,1.186
470,1.1689,0.89975,1.1689
480,1.1522,0.88542,1.1522
490,1.136,0.87157,1.136
500,1.1204,0.85817,1.1204
510,1.1051,0.84521,1.1051
520,1.0903,0.83266,1.0903
530,1.0759,0.8205,1.0759
540,1.062,0.80871,1.062
550,1.0483,0.79728,1.0483
560,1.0351,0.78619,1.0351
570,1.0222,0.77543,1.0222
580,1.0097,0.76498,1.0097
590,0.99745,0.75482,0.99745
600,0.98554,0.74495,0.98554
610,0.97393,0.73535,0.97393
620,0.9626,0.72601,0.9626
630,0.95155,0.71692,0.95155
640,0.94077,0.70807,0.94077
650,0.93025,0.69946,0.93025
660,0.91998,0.69106,0.91998
670,0.90995,0.68288,0.90995
680,0.90014,0.6749,0.90014
690,0.89056,0.66712,0.89056
700,0.8812,0.65953,0.8812
710,0.87204,0.65212,0.87204
720,0.86309,0.64489,0.86309
730,0.85433,0.63782,0.85433
740,0.84576,0.63092,0.84576
750,0.83737,0.62418,0.83737
