E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
9.9917,0,0,0
10,0.0010405,0.000276,0.00032404
11,0.13373,0.061669,0.066414
12,0.27123,0.14744,0.15598
13,0.40546,0.24405,0.25572
14,0.53266,0.34409,0.35836
15,0.65123,0.44308,0.45958
16,0.80532,0.58276,0.60123
17,0.95892,0.73117,0.75097
18,1.1041,0.87602,0.89677
19,1.2403,1.0147,1.0362
20,1.3672,1.1459,1.168
21,1.4851,1.269,1.2915
22,1.5944,1.3838,1.4068
23,1.6959,1.491,1.5143
24,1.8049,1.6229,1.6446
25,1.9072,1.7487,1.7684
26,2.0031,1.8667,1.8844
27,2.0928,1.9767,1.9925
28,2.1766,2.0789,2.0927
29,2.2547,2.1735,2.1855
30,2.3276,2.261,2.2713
31,2.3955,2.3417,2.3503
32,2.4588,2.416,2.4232
33,2.5176,2.4844,2.4902
34,2.5724,2.5472,2.5518
35,2.6233,2.6048,2.6083
36,2.6706,2.6576,2.6601
37,2.7146,2.7058,2.7076
38,2.7554,2.7499,2.751
39,2.7933,2.79,2.7907
40,2.8284,2.8265,2.827
41,2.861,2.8597,2.86
42,2.8911,2.8897,2.89
43,2.919,2.9168,2.9174
44,2.9448,2.9412,2.9422
45,2.9686,2.9631,2.9646
46,2.9905,2.9826,2.9849
47,3.0107,3,3.0032
48,3.0293,3.0154,3.0197
49,3.0463,3.0289,3.0344
50,3.0619,3.0406,3.0476
52,3.089,3.0593,3.0698
54,3.1113,3.0725,3.0871
56,3.1294,3.0807,3.1003
58,3.1437,3.0848,3.1099
60,3.1547,3.0852,3.1165
62,3.1627,3.0825,3.1206
64,3.168,3.077,3.1225
66,3.171,3.0692,3.1226
68,3.1719,3.0593,3.1212
70,3.1709,3.0477,3.1184
72,3.1682,3.0346,3.1146
74,3.164,3.0201,3.1097
76,3.1585,3.0046,3.104
78,3.1518,2.9881,3.0975
80,3.1441,2.9708,3.0904
82,3.1354,2.9528,3.0827
84,3.1259,2.9343,3.0744
86,3.1156,2.9153,3.0656
88,3.1047,2.8959,3.0564
90,3.0932,2.8762,3.0468
92,3.0812,2.8563,3.0367
94,3.0687,2.8362,3.0263
96,3.0558,2.8159,3.0155
98,3.0425,2.7956,3.0044
100,3.029,2.7752,2.993
110,2.9578,2.6736,2.932
120,2.8837,2.5746,2.866
130,2.809,2.4798,2.7973
140,2.7351,2.3897,2.7275
150,2.6629,2.3048,2.6581
160,2.593,2.2248,2.59
170,2.5257,2.1497,2.5238
180,2.461,2.0791,2.4598
190,2.399,2.0128,2.3983
200,2.3396,1.9505,2.3392
210,2.2829,1.8918,2.2826
220,2.2286,1.8366,2.2284
230,2.1767,1.7845,2.1766
240,2.1272,1.7353,2.1271
250,2.0797,1.6888,2.0797
260,2.0343,1.6447,2.0343
270,1.9909,1.603,1.9909
280,1.9493,1.5634,1.9493
290,1.9094,1.526,1.9094
300,1.8711,1.4904,1.8711
310,1.8344,1.4565,1.8344
320,1.7992,1.4242,1.7992
330,1.7653,1.3933,1.7653
340,1.7327,1.3639,1.7327
350,1.7013,1.3357,1.7013
360,1.6711,1.3088,1.6711
370,1.642,1.2829,1.642
380,1.614,1.2582,1.614
390,1.5869,1.2344,1.5869
400,1.5608,1.2115,1.5608
410,1.5356,1.1896,1.5356
420,1.5112,1.1685,1.5112
430,1.4876,1.1481,1.4876
440,1.4648,1.1285,1.4648
450,1.4427,1.1096,1.4427
460,1.4213,1.0914,1.4213
470,1.4006,1.0737,1.4006
480,1.3805,1.0567,1.3805
490,1.361,1.0403,1.361
500,1.342,1.0244,1.342
510,1.3237,1.009,1.3237
520,1.3058,0.99404,1.3058
530,1.2885,0.97959,1.2885
540,1.2716,0.96558,1.2716
550,1.2553,0.95199,1.2553
560,1.2393,0.93881,1.2393
570,1.2238,0.92601,1.2238
580,1.2087,0.91357,1.2087
590,1.194,0.90149,1.194
600,1.1796,0.88975,1.1796
610,1.1656,0.87833,1.1656
620,1.152,0.86722,1.152
630,1.1387,0.8564,1.1387
640,1.1258,0.84587,1.1258
650,1.1131,0.83561,1.1131
660,1.1008,0.82562,1.1008
670,1.0887,0.81588,1.0887
680,1.0769,0.80638,1.0769
690,1.0654,0.79712,1.0654
700,1.0541,0.78808,1.0541
710,1.0431,0.77925,1.0431
720,1.0324,0.77064,1.0324
730,1.0218,0.76223,1.0218
740,1.0115,0.75401,1.0115
750,1.0015,0.74598,1.0015
760,0.9916,0.73813,0.9916
770,0.98194,0.73045,0.98194
780,0.97248,0.72295,0.97248
790,0.96321,0.71561,0.96321
800,0.95413,0.70842,0.95413
810,0.94523,0.70139,0.94523
820,0.93651,0.69451,0.93651
830,0.92795,0.68777,0.92795
