E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.786,0,0,0
13,0.0093241,0.00795,0.0079996
14,0.05526,0.054469,0.054499
15,0.10298,0.10698,0.10682
16,0.17158,0.16799,0.16813
17,0.28359,0.24502,0.24664
18,0.40175,0.33204,0.33508
19,0.51854,0.42488,0.42911
20,0.66715,0.53329,0.53957
21,0.83266,0.6608,0.66917
22,0.99507,0.79575,0.80582
23,1.153,0.93451,0.94597
24,1.3055,1.0745,1.0871
25,1.4567,1.2195,1.2329
26,1.6073,1.3704,1.3843
27,1.7521,1.5187,1.5329
28,1.8908,1.6632,1.6776
29,2.0235,1.8031,1.8175
30,2.1504,1.9379,1.9523
31,2.2714,2.0673,2.0816
32,2.3869,2.1911,2.2054
33,2.497,2.3094,2.3236
34,2.6019,2.422,2.4361
35,2.7018,2.5292,2.5432
36,2.797,2.6309,2.6449
37,2.8877,2.7273,2.7413
38,2.974,2.8186,2.8326
39,3.0563,2.9049,2.9191
40,3.1349,2.9867,3.0011
41,3.2117,3.066,3.0806
42,3.2858,3.1419,3.1569
43,3.358,3.2156,3.2309
44,3.4271,3.2855,3.3013
45,3.4931,3.3517,3.368
46,3.5563,3.4142,3.4313
47,3.6167,3.4734,3.4911
48,3.6745,3.5291,3.5478
49,3.7297,3.5817,3.6014
50,3.7825,3.6313,3.652
52,3.8813,3.7218,3.7452
54,3.9715,3.8017,3.8283
56,4.0538,3.872,3.9024
58,4.129,3.9335,3.9685
60,4.1976,3.9872,4.0273
62,4.2601,4.0337,4.0796
64,4.317,4.0737,4.1262
66,4.3688,4.1079,4.1677
68,4.4159,4.1367,4.2046
70,4.4586,4.1607,4.2376
72,4.4972,4.1804,4.267
74,4.5322,4.1961,4.2933
76,4.5637,4.2082,4.3168
78,4.592,4.2171,4.338
80,4.6173,4.2231,4.357
82,4.6399,4.2264,4.3742
84,4.66,4.2274,4.3898
86,4.6777,4.2261,4.4041
88,4.6932,4.2229,4.4171
90,4.7067,4.2179,4.4291
92,4.7183,4.2113,4.4401
94,4.7282,4.2032,4.4503
96,4.7364,4.1938,4.4598
98,4.743,4.1832,4.4686
100,4.7483,4.1716,4.4768
110,4.7564,4.1006,4.5101
120,4.7409,4.0153,4.5311
130,4.7086,3.9222,4.539
140,4.6645,3.8257,4.5329
150,4.6121,3.7283,4.5133
160,4.554,3.6318,4.4816
170,4.492,3.5374,4.44
180,4.4275,3.4456,4.3907
190,4.3616,3.3569,4.3358
200,4.2951,3.2715,4.2772
210,4.2286,3.1895,4.2162
220,4.1624,3.1108,4.1539
230,4.0969,3.0355,4.0911
240,4.0324,2.9633,4.0285
250,3.9691,2.8942,3.9664
260,3.9069,2.828,3.9051
270,3.8461,2.7646,3.8449
280,3.7867,2.7039,3.7858
290,3.7286,2.6459,3.7281
300,3.672,2.5903,3.6716
310,3.6168,2.537,3.6166
320,3.5631,2.4858,3.5629
330,3.5107,2.4367,3.5106
340,3.4597,2.3895,3.4596
350,3.41,2.3441,3.4099
360,3.3616,2.3005,3.3616
370,3.3145,2.2585,3.3145
380,3.2687,2.218,3.2687
390,3.224,2.179,3.224
400,3.1806,2.1414,3.1806
410,3.1382,2.1051,3.1382
420,3.097,2.07,3.097
430,3.0568,2.0361,3.0568
440,3.0176,2.0034,3.0176
450,2.9794,1.9718,2.9794
460,2.9422,1.9412,2.9422
470,2.9059,1.9115,2.9059
480,2.8706,1.8828,2.8706
490,2.836,1.855,2.836
500,2.8023,1.828,2.8023
510,2.7695,1.8018,2.7695
520,2.7374,1.7764,2.7374
530,2.706,1.7518,2.706
540,2.6754,1.7279,2.6754
550,2.6455,1.7046,2.6455
560,2.6163,1.682,2.6163
570,2.5878,1.66,2.5878
580,2.5598,1.6386,2.5598
590,2.5326,1.6178,2.5326
600,2.5059,1.5975,2.5059
610,2.4797,1.5778,2.4797
620,2.4542,1.5586,2.4542
630,2.4292,1.5398,2.4292
640,2.4047,1.5216,2.4047
650,2.3808,1.5038,2.3808
660,2.3573,1.4864,2.3573
670,2.3343,1.4694,2.3343
680,2.3118,1.4529,2.3118
690,2.2897,1.4367,2.2897
700,2.2681,1.4209,2.2681
710,2.2469,1.4055,2.2469
720,2.2261,1.3905,2.2261
730,2.2057,1.3758,2.2057
740,2.1857,1.3614,2.1857
750,2.1661,1.3473,2.1661
760,2.1468,1.3335,2.1468
770,2.128,1.3201,2.128
780,2.1094,1.3069,2.1094
790,2.0912,1.294,2.0912
800,2.0733,1.2813,2.0733
810,2.0558,1.2689,2.0558
820,2.0386,1.2568,2.0386
830,2.0216,1.2449,2.0216
840,2.005,1.2333,2.005
850,1.9886,1.2219,1.9886
860,1.9726,1.2107,1.9726
870,1.9568,1.1997,1.9568
880,1.9412,1.1889,1.9412
890,1.926,1.1783,1.926
900,1.911,1.168,1.911
910,1.8962,1.1578,1.8962
920,1.8817,1.1478,1.8817
930,1.8674,1.138,1.8674
940,1.8533,1.1284,1.8533
950,1.8395,1.1189,1.8395
960,1.8258,1.1096,1.8258
970,1.8124,1.1005,1.8124
980,1.7992,1.0915,1.7992
990,1.7862,1.0827,1.7862
1000,1.7734,1.0741,1.7734
1100,1.6554,0.99489,1.6554
1200,1.553,0.92721,1.553
1300,1.4632,0.86865,1.4632
1400,1.3838,0.81745,1.3838
1500,1.3132,0.77228,1.3132
1600,1.2498,0.73212,1.2498
1700,1.1926,0.69617,1.1926
1800,1.1407,0.66379,1.1407
1900,1.0934,0.63445,1.0934
2000,1.0501,0.60775,1.0501
2100,1.0103,0.58334,1.0103
2200,0.97366,0.56092,0.97366
2300,0.93971,0.54027,0.93971
2400,0.90819,0.52117,0.90819
2500,0.87884,0.50345,0.87884
2600,0.85145,0.48697,0.85145
2700,0.82582,0.47159,0.82582
2800,0.80178,0.45722,0.80178
2900,0.77918,0.44375,0.77918
3000,0.75791,0.43109,0.75791
3100,0.73783,0.41918,0.73783
3200,0.71886,0.40795,0.71886
3300,0.7009,0.39734,0.7009
3400,0.68387,0.3873,0.68387
3500,0.66769,0.37778,0.66769
3600,0.65232,0.36875,0.65232
3700,0.63767,0.36017,0.63767
3800,0.62371,0.352,0.62371
3900,0.61039,0.34421,0.61039
4000,0.59766,0.33679,0.59766
4100,0.58548,0.32969,0.58548
4200,0.57381,0.32291,0.57381
4300,0.56263,0.31641,0.56263
4400,0.55191,0.31019,0.55191
4500,0.54161,0.30422,0.54161
4600,0.53171,0.29849,0.53171
4700,0.52219,0.29298,0.52219
