E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
10.9307,0,0,0
11,0.0048368,0.002864,0.0029411
12,0.078711,0.058719,0.059536
13,0.15585,0.12403,0.12539
14,0.23231,0.19191,0.19371
15,0.31689,0.25955,0.26222
16,0.42713,0.33287,0.33746
17,0.55104,0.41777,0.42454
18,0.70099,0.52558,0.53489
19,0.85977,0.65042,0.66202
20,1.0137,0.78019,0.7937
21,1.1615,0.91137,0.92648
22,1.3058,1.0459,1.0623
23,1.4559,1.1973,1.2144
24,1.5994,1.3463,1.3636
25,1.7361,1.4907,1.5083
26,1.8659,1.6297,1.6473
27,1.989,1.7626,1.7803
28,2.1054,1.8893,1.9068
29,2.2155,2.0095,2.027
30,2.3196,2.1232,2.1406
31,2.4178,2.2307,2.2479
32,2.5105,2.3319,2.349
33,2.598,2.4271,2.4442
34,2.6806,2.5165,2.5336
35,2.7585,2.6004,2.6176
36,2.8342,2.6825,2.6996
37,2.9072,2.7622,2.7793
38,2.9763,2.8374,2.8545
39,3.0417,2.9082,2.9253
40,3.1037,2.9747,2.9919
41,3.1624,3.0371,3.0544
42,3.2179,3.0956,3.1132
43,3.2704,3.1504,3.1683
44,3.3201,3.2016,3.22
45,3.3671,3.2495,3.2685
46,3.4115,3.2941,3.3138
47,3.4535,3.3358,3.3563
48,3.4933,3.3746,3.3961
49,3.5308,3.4107,3.4332
50,3.5662,3.4442,3.468
52,3.6313,3.5041,3.5308
54,3.6893,3.5553,3.5855
56,3.7408,3.5988,3.6331
58,3.7864,3.6353,3.6744
60,3.8268,3.6657,3.7103
62,3.8624,3.6905,3.7413
64,3.8936,3.7103,3.768
66,3.9208,3.7258,3.7911
68,3.9444,3.7372,3.8109
70,3.9648,3.7452,3.8279
72,3.9821,3.75,3.8425
74,3.9967,3.7519,3.8549
76,4.0087,3.7513,3.8654
78,4.0185,3.7485,3.8742
80,4.0262,3.7436,3.8817
82,4.032,3.7369,3.8878
84,4.036,3.7286,3.8928
86,4.0384,3.7189,3.8968
88,4.0393,3.7078,3.8999
90,4.0389,3.6957,3.9021
92,4.0372,3.6825,3.9036
94,4.0344,3.6684,3.9043
96,4.0305,3.6536,3.9043
98,4.0257,3.638,3.9036
100,4.0199,3.6218,3.9023
110,3.9804,3.5339,3.8868
120,3.9276,3.4394,3.8574
130,3.8664,3.3425,3.816
140,3.7999,3.246,3.765
150,3.7306,3.1515,3.7069
160,3.6599,3.06,3.6442
170,3.5891,2.9718,3.5787
180,3.5187,2.8874,3.5119
190,3.4494,2.8067,3.445
200,3.3814,2.7298,3.3786
210,3.3151,2.6565,3.3133
220,3.2506,2.5866,3.2494
230,3.1879,2.5201,3.1872
240,3.1271,2.4568,3.1266
250,3.0682,2.3964,3.0679
260,3.0112,2.3389,3.011
270,2.9561,2.284,2.956
280,2.9027,2.2317,2.9027
290,2.8512,2.1818,2.8511
300,2.8013,2.1342,2.8012
310,2.753,2.0886,2.753
320,2.7064,2.045,2.7064
330,2.6612,2.0032,2.6612
340,2.6176,1.9631,2.6176
350,2.5753,1.9246,2.5753
360,2.5344,1.8877,2.5344
370,2.4947,1.8522,2.4947
380,2.4563,1.8181,2.4563
390,2.4191,1.7853,2.4191
400,2.383,1.7537,2.383
410,2.348,1.7232,2.348
420,2.314,1.6938,2.314
430,2.2811,1.6655,2.2811
440,2.249,1.6381,2.249
450,2.218,1.6116,2.218
460,2.1877,1.5861,2.1877
470,2.1584,1.5614,2.1584
480,2.1298,1.5374,2.1298
490,2.102,1.5143,2.102
500,2.075,1.4918,2.075
510,2.0487,1.4701,2.0487
520,2.0231,1.449,2.0231
530,1.9981,1.4286,1.9981
540,1.9738,1.4088,1.9738
550,1.9501,1.3895,1.9501
560,1.927,1.3708,1.927
570,1.9045,1.3526,1.9045
580,1.8825,1.335,1.8825
590,1.861,1.3178,1.861
600,1.8401,1.3011,1.8401
610,1.8196,1.2848,1.8196
620,1.7996,1.2689,1.7996
630,1.7801,1.2535,1.7801
640,1.7611,1.2385,1.7611
650,1.7424,1.2238,1.7424
660,1.7242,1.2095,1.7242
670,1.7063,1.1956,1.7063
680,1.6889,1.1819,1.6889
690,1.6718,1.1687,1.6718
700,1.6551,1.1557,1.6551
710,1.6388,1.143,1.6388
720,1.6228,1.1307,1.6228
730,1.6071,1.1186,1.6071
740,1.5917,1.1068,1.5917
750,1.5767,1.0952,1.5767
760,1.5619,1.0839,1.5619
770,1.5474,1.0728,1.5474
780,1.5333,1.062,1.5333
790,1.5194,1.0514,1.5194
800,1.5057,1.0411,1.5057
