E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.6039,0,0,0
13,0.018333,0.013614,0.013871
14,0.080065,0.066468,0.067235
15,0.17064,0.15139,0.15251
16,0.26211,0.24359,0.24471
17,0.35205,0.33809,0.33897
18,0.48974,0.45975,0.46171
19,0.65111,0.60669,0.60971
20,0.80999,0.76081,0.76428
21,0.96446,0.91753,0.92097
22,1.1134,1.0738,1.0768
23,1.2561,1.2274,1.2297
24,1.3923,1.377,1.3782
25,1.5331,1.5398,1.5392
26,1.6685,1.6992,1.6965
27,1.7977,1.8523,1.8473
28,1.9208,1.9985,1.9912
29,2.0378,2.1376,2.1279
30,2.149,2.2695,2.2573
31,2.2546,2.3942,2.3796
32,2.3549,2.5119,2.4948
33,2.4499,2.6228,2.6033
34,2.5401,2.7271,2.7052
35,2.6255,2.825,2.8009
36,2.7065,2.9169,2.8906
37,2.7833,3.0031,2.9746
38,2.8561,3.0837,3.0532
39,2.9251,3.1591,3.1266
40,2.9917,3.2314,3.197
41,3.0561,3.3014,3.265
42,3.1173,3.3672,3.3288
43,3.1755,3.4288,3.3885
44,3.2308,3.4864,3.4444
45,3.2833,3.5403,3.4966
46,3.3333,3.5906,3.5454
47,3.3807,3.6375,3.5909
48,3.4258,3.6812,3.6333
49,3.4686,3.7218,3.6729
50,3.5093,3.7596,3.7096
52,3.5846,3.8271,3.7755
54,3.6524,3.8849,3.8323
56,3.7135,3.9339,3.8809
58,3.7683,3.9752,3.9224
60,3.8176,4.0095,3.9576
62,3.8618,4.0377,3.9873
64,3.9012,4.0602,4.0121
66,3.9364,4.0779,4.0326
68,3.9677,4.091,4.0494
70,3.9954,4.1003,4.063
72,4.0198,4.106,4.0737
74,4.0412,4.1085,4.082
76,4.0598,4.1082,4.0882
78,4.0759,4.1053,4.0926
80,4.0896,4.1002,4.0954
82,4.1011,4.0931,4.0969
84,4.1107,4.0842,4.0972
86,4.1185,4.0737,4.0965
88,4.1245,4.0617,4.095
90,4.129,4.0485,4.0927
92,4.1321,4.0341,4.0899
94,4.1338,4.0188,4.0865
96,4.1343,4.0025,4.0826
98,4.1337,3.9855,4.0783
100,4.132,3.9678,4.0736
110,4.1104,3.8715,4.0457
120,4.0722,3.7677,4.0114
130,4.0229,3.6614,3.9709
140,3.9662,3.5555,3.9245
150,3.9048,3.4517,3.8728
160,3.8405,3.3512,3.8168
170,3.7748,3.2545,3.7575
180,3.7085,3.1618,3.6962
190,3.6424,3.0733,3.6337
200,3.577,2.9888,3.5709
210,3.5126,2.9084,3.5084
220,3.4494,2.8318,3.4465
230,3.3877,2.7589,3.3857
240,3.3274,2.6894,3.3261
250,3.2688,2.6233,3.2678
260,3.2117,2.5602,3.2111
270,3.1563,2.5001,3.1559
280,3.1025,2.4427,3.1022
290,3.0503,2.388,3.0501
300,2.9996,2.3358,2.9995
310,2.9505,2.2859,2.9504
320,2.9028,2.2381,2.9027
330,2.8566,2.1923,2.8565
340,2.8118,2.1484,2.8117
350,2.7683,2.1063,2.7682
360,2.7261,2.0658,2.7261
370,2.6851,2.0269,2.6851
380,2.6454,1.9896,2.6454
390,2.6068,1.9536,2.6068
400,2.5693,1.919,2.5693
410,2.5329,1.8856,2.5329
420,2.4976,1.8534,2.4976
430,2.4632,1.8224,2.4632
440,2.4298,1.7924,2.4298
450,2.3972,1.7635,2.3972
460,2.3656,1.7355,2.3656
470,2.3348,1.7084,2.3348
480,2.3049,1.6822,2.3049
490,2.2757,1.6569,2.2757
500,2.2473,1.6323,2.2473
510,2.2196,1.6085,2.2196
520,2.1926,1.5854,2.1926
530,2.1663,1.563,2.1663
540,2.1406,1.5413,2.1406
550,2.1156,1.5202,2.1156
560,2.0912,1.4997,2.0912
570,2.0673,1.4798,2.0673
580,2.0441,1.4604,2.0441
590,2.0213,1.4416,2.0213
600,1.9991,1.4233,1.9991
610,1.9774,1.4054,1.9774
620,1.9562,1.388,1.9562
630,1.9355,1.3711,1.9355
640,1.9152,1.3546,1.9152
650,1.8954,1.3386,1.8954
660,1.876,1.3229,1.876
670,1.857,1.3076,1.857
680,1.8384,1.2927,1.8384
690,1.8202,1.2782,1.8202
700,1.8024,1.264,1.8024
710,1.785,1.2501,1.785
720,1.7679,1.2365,1.7679
730,1.7511,1.2233,1.7511
740,1.7347,1.2104,1.7347
750,1.7186,1.1977,1.7186
760,1.7028,1.1853,1.7028
770,1.6874,1.1732,1.6874
780,1.6722,1.1614,1.6722
790,1.6573,1.1498,1.6573
800,1.6427,1.1385,1.6427
810,1.6284,1.1274,1.6284
820,1.6143,1.1165,1.6143
830,1.6005,1.1058,1.6005
840,1.5869,1.0954,1.5869
850,1.5736,1.0852,1.5736
860,1.5605,1.0751,1.5605
870,1.5476,1.0653,1.5476
880,1.535,1.0556,1.535
890,1.5226,1.0462,1.5226
900,1.5104,1.0369,1.5104
910,1.4984,1.0278,1.4984
920,1.4866,1.0189,1.4866
930,1.475,1.0101,1.475
940,1.4636,1.0015,1.4636
950,1.4523,0.993,1.4523
960,1.4413,0.9847,1.4413
970,1.4304,0.97654,1.4304
980,1.4198,0.96852,1.4198
990,1.4092,0.96064,1.4092
1000,1.3989,0.9529,1.3989
1100,1.3036,0.88222,1.3036
1200,1.2212,0.82188,1.2212
1300,1.1492,0.76972,1.1492
1400,1.0858,0.72416,1.0858
1500,1.0293,0.68399,1.0293
1600,0.97883,0.64831,0.97883
1700,0.93334,0.61638,0.93334
1800,0.89215,0.58763,0.89215
1900,0.85466,0.5616,0.85466
2000,0.82038,0.53792,0.82038
2100,0.78892,0.51626,0.78892
2200,0.75992,0.49639,0.75992
2300,0.73312,0.47809,0.73312
2400,0.70825,0.46116,0.70825
2500,0.68512,0.44546,0.68512
2600,0.66354,0.43087,0.66354
2700,0.64336,0.41725,0.64336
2800,0.62445,0.40452,0.62445
2900,0.60669,0.39259,0.60669
3000,0.58997,0.38139,0.58997
3100,0.57421,0.37085,0.57421
3200,0.55931,0.3609,0.55931
3300,0.54522,0.35151,0.54522
3400,0.53186,0.34263,0.53186
3500,0.51918,0.33421,0.51918
3600,0.50713,0.32622,0.50713
3700,0.49566,0.31862,0.49566
3800,0.48473,0.3114,0.48473
3900,0.4743,0.30451,0.4743
4000,0.46433,0.29794,0.46433
4100,0.4548,0.29166,0.4548
4200,0.44568,0.28566,0.44568
4300,0.43694,0.27992,0.43694
4400,0.42855,0.27441,0.42855
4500,0.4205,0.26913,0.4205
4600,0.41277,0.26406,0.41277
4700,0.40533,0.2592,0.40533
4800,0.39817,0.25451,0.39817
4900,0.39128,0.25001,0.39128
