E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
13.8452,0,0,0
14,0.005231,0.004075,0.0041139
15,0.040767,0.037443,0.037559
16,0.080116,0.075598,0.075761
17,0.15886,0.11984,0.1213
18,0.27584,0.17681,0.18064
19,0.41386,0.24891,0.25551
20,0.55175,0.33243,0.34151
21,0.69165,0.4238,0.43529
22,0.8607,0.52997,0.54464
23,1.0314,0.64839,0.66598
24,1.198,0.77359,0.79377
25,1.3597,0.90275,0.92523
26,1.5239,1.0413,1.0659
27,1.683,1.1813,1.2078
28,1.8362,1.3207,1.3488
29,1.9836,1.4582,1.4878
30,2.125,1.5929,1.624
31,2.2605,1.7241,1.7565
32,2.3903,1.8515,1.8851
33,2.5145,1.9745,2.0094
34,2.6333,2.0932,2.1293
35,2.7468,2.2072,2.2445
36,2.8553,2.3166,2.3551
37,2.959,2.4214,2.4611
38,3.0581,2.5215,2.5625
39,3.1528,2.617,2.6594
40,3.2432,2.7082,2.7519
41,3.3296,2.7949,2.8401
42,3.4161,2.882,2.9287
43,3.4993,2.9659,3.014
44,3.5802,3.0473,3.097
45,3.6586,3.1265,3.1777
46,3.734,3.2021,3.2551
47,3.8064,3.2743,3.329
48,3.8759,3.3432,3.3997
49,3.9426,3.4087,3.4672
50,4.0066,3.4711,3.5317
52,4.127,3.5867,3.6519
54,4.2379,3.691,3.7613
56,4.3401,3.7847,3.8607
58,4.4341,3.8688,3.9511
60,4.5205,3.944,4.0333
62,4.6001,4.0111,4.108
64,4.6732,4.0707,4.1759
66,4.7404,4.1234,4.2378
68,4.8022,4.1699,4.2942
70,4.8588,4.2107,4.3456
72,4.9107,4.2462,4.3926
74,4.9582,4.277,4.4357
76,5.0017,4.3033,4.4752
78,5.0414,4.3257,4.5116
80,5.0776,4.3444,4.5452
82,5.1104,4.3597,4.5763
84,5.1403,4.3719,4.6052
86,5.1673,4.3814,4.6321
88,5.1917,4.3883,4.6573
90,5.2136,4.3928,4.681
92,5.2331,4.3952,4.7034
94,5.2506,4.3956,4.7245
96,5.266,4.3942,4.7447
98,5.2795,4.3912,4.7638
100,5.2913,4.3867,4.7821
110,5.3273,4.3456,4.863
120,5.3332,4.2825,4.929
130,5.3173,4.2057,4.9799
140,5.2854,4.1208,5.0141
150,5.2418,4.0317,5.0305
160,5.1899,3.9407,5.0293
170,5.1318,3.8497,5.0123
180,5.0696,3.7598,4.982
190,5.0044,3.6717,4.9411
200,4.9375,3.5859,4.892
210,4.8695,3.5026,4.8371
220,4.801,3.4221,4.7781
230,4.7327,3.3445,4.7165
240,4.6647,3.2696,4.6534
250,4.5974,3.1976,4.5895
260,4.531,3.1282,4.5255
270,4.4657,3.0616,4.4618
280,4.4014,2.9975,4.3987
290,4.3385,2.9359,4.3366
300,4.2767,2.8768,4.2754
