E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
8.1014,0,0,0
9,0.072266,0.042347,0.042716
10,0.15643,0.1068,0.10745
11,0.23831,0.17737,0.17822
12,0.31522,0.24792,0.24892
13,0.38625,0.31522,0.31634
14,0.45131,0.37771,0.37894
15,0.51065,0.43473,0.43608
16,0.6072,0.49278,0.49495
17,0.72677,0.56481,0.56806
18,0.85883,0.65029,0.65474
19,0.99584,0.7473,0.75293
20,1.1282,0.84909,0.8558
21,1.2604,0.95945,0.96714
22,1.3988,1.0864,1.0948
23,1.5313,1.213,1.2221
24,1.6578,1.3372,1.347
25,1.778,1.4578,1.4682
26,1.892,1.574,1.585
27,1.9999,1.6854,1.6969
28,2.1019,1.7916,1.8037
29,2.2018,1.8977,1.9102
30,2.299,2.0029,2.0159
31,2.3912,2.1033,2.1167
32,2.4786,2.1987,2.2125
33,2.5614,2.289,2.3032
34,2.6398,2.3744,2.3891
35,2.714,2.455,2.4701
36,2.7842,2.5308,2.5466
37,2.8505,2.6022,2.6186
38,2.9133,2.6693,2.6863
39,2.9727,2.7322,2.75
40,3.0289,2.7912,2.8098
41,3.0819,2.8465,2.8659
42,3.1321,2.8982,2.9186
43,3.1795,2.9465,2.968
44,3.2243,2.9916,3.0143
45,3.2666,3.0336,3.0577
46,3.3066,3.0728,3.0983
47,3.3443,3.1092,3.1363
48,3.3799,3.1431,3.1719
49,3.4136,3.1745,3.2052
50,3.4453,3.2036,3.2364
52,3.5034,3.2554,3.2928
54,3.5551,3.2994,3.3422
56,3.6008,3.3365,3.3855
58,3.6412,3.3673,3.4234
60,3.6769,3.3926,3.4567
62,3.7081,3.413,3.4861
64,3.7354,3.4289,3.5121
66,3.7591,3.4409,3.5353
68,3.7795,3.4494,3.556
70,3.7969,3.4547,3.5746
72,3.8116,3.4573,3.5916
74,3.8238,3.4573,3.607
76,3.8337,3.4551,3.6211
78,3.8416,3.4509,3.6342
80,3.8475,3.4449,3.6462
82,3.8518,3.4373,3.6573
84,3.8544,3.4283,3.6675
86,3.8556,3.4181,3.6769
88,3.8554,3.4068,3.6854
90,3.854,3.3944,3.693
92,3.8515,3.3812,3.6997
94,3.848,3.3672,3.7055
96,3.8435,3.3525,3.7103
98,3.8382,3.3373,3.7141
100,3.8321,3.3215,3.717
110,3.7916,3.2368,3.7163
120,3.7392,3.1468,3.6929
130,3.6793,3.0553,3.6521
140,3.6149,2.9646,3.5993
150,3.5481,2.8762,3.5392
160,3.4802,2.7908,3.4753
170,3.4122,2.7088,3.4095
180,3.3449,2.6304,3.3434
190,3.2786,2.5556,3.2778
200,3.2138,2.4845,3.2133
210,3.1505,2.4167,3.1503
220,3.089,2.3523,3.0889
230,3.0293,2.291,3.0292
240,2.9714,2.2326,2.9713
250,2.9153,2.1771,2.9153
260,2.8611,2.1242,2.8611
270,2.8086,2.0738,2.8086
280,2.7579,2.0257,2.7579
290,2.7088,1.98,2.7088
300,2.6614,1.9363,2.6614
310,2.6155,1.8945,2.6155
320,2.5712,1.8546,2.5712
330,2.5283,1.8163,2.5283
340,2.4867,1.7797,2.4867
350,2.4466,1.7445,2.4466
360,2.4076,1.7107,2.4076
370,2.37,1.6783,2.37
380,2.3335,1.6471,2.3335
390,2.2981,1.6172,2.2981
400,2.2638,1.5883,2.2638
410,2.2305,1.5605,2.2305
420,2.1983,1.5337,2.1983
430,2.1669,1.5078,2.1669
440,2.1365,1.4828,2.1365
450,2.107,1.4587,2.107
460,2.0783,1.4354,2.0783
470,2.0504,1.4129,2.0504
480,2.0233,1.3911,2.0233
490,1.9969,1.37,1.9969
500,1.9712,1.3496,1.9712
510,1.9462,1.3298,1.9462
520,1.9218,1.3106,1.9218
530,1.8981,1.292,1.8981
540,1.875,1.274,1.875
550,1.8525,1.2564,1.8525
560,1.8306,1.2394,1.8306
570,1.8091,1.2229,1.8091
580,1.7883,1.2068,1.7883
590,1.7679,1.1912,1.7679
600,1.748,1.176,1.748
610,1.7285,1.1612,1.7285
620,1.7096,1.1468,1.7096
630,1.691,1.1328,1.691
640,1.6729,1.1191,1.6729
650,1.6552,1.1058,1.6552
660,1.6379,1.0928,1.6379
670,1.6209,1.0802,1.6209
680,1.6043,1.0678,1.6043
690,1.5881,1.0558,1.5881
700,1.5723,1.044,1.5723
710,1.5567,1.0325,1.5567
720,1.5415,1.0213,1.5415
730,1.5266,1.0103,1.5266
740,1.512,0.99956,1.512
750,1.4977,0.98907,1.4977
760,1.4837,0.97882,1.4837
770,1.47,0.96879,1.47
780,1.4565,0.95898,1.4565
790,1.4433,0.94937,1.4433
800,1.4303,0.93998,1.4303
810,1.4176,0.93077,1.4176
820,1.4051,0.92176,1.4051
830,1.3929,0.91293,1.3929
840,1.3809,0.90428,1.3809
850,1.3691,0.8958,1.3691
860,1.3575,0.88749,1.3575
870,1.3461,0.87934,1.3461
880,1.3349,0.87135,1.3349
890,1.3239,0.86352,1.3239
900,1.3132,0.85583,1.3132
910,1.3026,0.84829,1.3026
920,1.2921,0.84089,1.2921
930,1.2819,0.83362,1.2819
940,1.2718,0.82649,1.2718
950,1.2619,0.81949,1.2619
960,1.2522,0.81261,1.2522
970,1.2426,0.80585,1.2426
980,1.2332,0.79921,1.2332
990,1.2239,0.79269,1.2239
1000,1.2148,0.78628,1.2148
1100,1.1309,0.72778,1.1309
