E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
14.0614,0,0,0
15,0.044707,0.04958,0.049253
16,0.094466,0.10943,0.10839
17,0.14443,0.17091,0.16901
18,0.22924,0.23525,0.23481
19,0.32841,0.30898,0.31047
20,0.42649,0.38912,0.39208
21,0.53232,0.47748,0.48197
22,0.63951,0.5712,0.57697
23,0.74329,0.66645,0.67316
24,0.84314,0.76166,0.76901
25,0.93877,0.85568,0.86342
26,1.0301,0.94768,0.95561
27,1.117,1.0371,1.045
28,1.1997,1.1234,1.1313
29,1.2782,1.2065,1.2141
30,1.3527,1.2861,1.2934
31,1.4233,1.3622,1.3691
32,1.4903,1.4346,1.4411
33,1.5537,1.5035,1.5095
34,1.6137,1.5688,1.5744
35,1.6706,1.6307,1.6358
36,1.7245,1.6893,1.6939
37,1.7754,1.7446,1.7488
38,1.8237,1.7968,1.8005
39,1.8695,1.846,1.8494
40,1.9128,1.8923,1.8953
41,1.9538,1.9358,1.9386
42,1.9926,1.9768,1.9793
43,2.0294,2.0152,2.0175
44,2.0642,2.0513,2.0534
45,2.0972,2.0851,2.0872
46,2.1291,2.1178,2.1199
47,2.1606,2.1509,2.1527
48,2.1905,2.1822,2.1838
49,2.2189,2.2118,2.2132
50,2.246,2.2397,2.241
52,2.2961,2.2907,2.2919
54,2.3414,2.3357,2.337
56,2.3823,2.3752,2.3769
58,2.4191,2.4098,2.4121
60,2.4522,2.4398,2.4431
62,2.4819,2.4658,2.4702
64,2.5085,2.488,2.494
66,2.5323,2.5069,2.5147
68,2.5535,2.5227,2.5326
70,2.5723,2.5358,2.5481
72,2.5889,2.5463,2.5614
74,2.6036,2.5546,2.5727
76,2.6164,2.5609,2.5823
78,2.6275,2.5653,2.5904
80,2.637,2.568,2.597
82,2.6451,2.5692,2.6025
84,2.6519,2.569,2.6068
86,2.6575,2.5676,2.6101
88,2.6619,2.565,2.6126
90,2.6653,2.5614,2.6143
92,2.6678,2.5569,2.6153
94,2.6693,2.5515,2.6156
96,2.67,2.5454,2.6154
98,2.67,2.5386,2.6147
100,2.6693,2.5312,2.6136
110,2.6569,2.4869,2.6022
120,2.6333,2.4344,2.5838
130,2.6024,2.3777,2.5599
140,2.5664,2.319,2.5317
150,2.5272,2.2599,2.4998
160,2.4862,2.2015,2.465
170,2.444,2.1444,2.4281
180,2.4015,2.0889,2.3896
190,2.359,2.0353,2.3503
200,2.3169,1.9838,2.3106
210,2.2754,1.9342,2.2708
220,2.2347,1.8867,2.2314
230,2.1949,1.8412,2.1925
240,2.156,1.7976,2.1543
250,2.1182,1.7559,2.117
260,2.0813,1.7159,2.0805
270,2.0456,1.6776,2.045
280,2.0108,1.641,2.0104
290,1.9771,1.606,1.9768
300,1.9444,1.5725,1.9442
310,1.9126,1.5403,1.9125
320,1.8818,1.5095,1.8817
330,1.852,1.4798,1.8519
340,1.823,1.4513,1.823
350,1.7949,1.424,1.7949
360,1.7676,1.3976,1.7676
370,1.7412,1.3723,1.7411
380,1.7155,1.3478,1.7154
390,1.6905,1.3243,1.6905
400,1.6663,1.3016,1.6663
410,1.6427,1.2796,1.6427
420,1.6199,1.2585,1.6199
430,1.5976,1.238,1.5976
440,1.576,1.2182,1.576
450,1.555,1.1991,1.555
460,1.5345,1.1806,1.5345
470,1.5146,1.1627,1.5146
480,1.4952,1.1453,1.4952
490,1.4764,1.1285,1.4764
500,1.458,1.1122,1.458
510,1.4401,1.0964,1.4401
520,1.4226,1.081,1.4226
530,1.4056,1.0661,1.4056
540,1.389,1.0517,1.389
550,1.3728,1.0376,1.3728
560,1.357,1.0239,1.357
570,1.3415,1.0107,1.3415
580,1.3265,0.99775,1.3265
590,1.3117,0.98517,1.3117
600,1.2974,0.97293,1.2974
610,1.2833,0.961,1.2833
620,1.2696,0.94938,1.2696
630,1.2562,0.93806,1.2562
640,1.243,0.92702,1.243
650,1.2302,0.91625,1.2302
660,1.2176,0.90574,1.2176
670,1.2054,0.89549,1.2054
680,1.1933,0.88548,1.1933
690,1.1815,0.8757,1.1815
700,1.17,0.86616,1.17
710,1.1587,0.85683,1.1587
720,1.1476,0.84771,1.1476
730,1.1368,0.83879,1.1368
740,1.1262,0.83008,1.1262
750,1.1157,0.82155,1.1157
760,1.1055,0.81321,1.1055
770,1.0955,0.80505,1.0955
780,1.0857,0.79706,1.0857
790,1.076,0.78924,1.076
800,1.0666,0.78157,1.0666
810,1.0573,0.77407,1.0573
820,1.0482,0.76671,1.0482
830,1.0392,0.75951,1.0392
840,1.0304,0.75245,1.0304
850,1.0218,0.74552,1.0218
860,1.0133,0.73873,1.0133
870,1.005,0.73207,1.005
880,0.99679,0.72554,0.99679
890,0.98874,0.71913,0.98874
900,0.98083,0.71284,0.98083
910,0.97306,0.70667,0.97306
920,0.96542,0.70061,0.96542
930,0.9579,0.69466,0.9579
940,0.95051,0.68881,0.95051
950,0.94324,0.68307,0.94324
960,0.93609,0.67743,0.93609
970,0.92905,0.67189,0.92905
980,0.92212,0.66645,0.92212
990,0.91531,0.6611,0.91531
1000,0.9086,0.65584,0.9086
1100,0.84685,0.60775,0.84685
1200,0.79345,0.56661,0.79345
1300,0.74677,0.53099,0.74677
1400,0.70559,0.49983,0.70559
1500,0.669,0.47233,0.669
1600,0.63623,0.44787,0.63623
1700,0.60673,0.42596,0.60673
1800,0.58,0.40622,0.58
1900,0.55567,0.38834,0.55567
2000,0.53343,0.37205,0.53343
2100,0.51301,0.35715,0.51301
2200,0.49418,0.34347,0.49418
2300,0.47678,0.33086,0.47678
2400,0.46064,0.3192,0.46064
2500,0.44562,0.30838,0.44562
2600,0.43161,0.29832,0.43161
2700,0.41851,0.28892,0.41851
2800,0.40623,0.28014,0.40623
2900,0.39469,0.27191,0.39469
3000,0.38383,0.26417,0.38383
3100,0.37359,0.25689,0.37359
3200,0.36392,0.25002,0.36392
3300,0.35476,0.24354,0.35476
3400,0.34608,0.2374,0.34608
3500,0.33785,0.23158,0.33785
3600,0.33002,0.22605,0.33002
3700,0.32256,0.2208,0.32256
3800,0.31546,0.21581,0.31546
3900,0.30868,0.21104,0.30868
4000,0.30221,0.2065,0.30221
4100,0.29601,0.20216,0.29601
4200,0.29009,0.198,0.29009
4300,0.28441,0.19403,0.28441
4400,0.27896,0.19022,0.27896
4500,0.27372,0.18657,0.27372
4600,0.2687,0.18306,0.2687
4700,0.26386,0.17969,0.26386
4800,0.25921,0.17645,0.25921
4900,0.25473,0.17333,0.25473
5000,0.25041,0.17032,0.25041
