E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
13.7783,0,0,0
14,0.013467,0.000394,0.0010508
15,0.090317,0.014234,0.01819
16,0.17029,0.043739,0.05055
17,0.25045,0.084104,0.093369
18,0.33592,0.13184,0.1436
19,0.4728,0.19542,0.21196
20,0.6183,0.27845,0.29942
21,0.77417,0.38097,0.40607
22,0.92667,0.49378,0.52237
23,1.0746,0.61303,0.64456
24,1.2171,0.73586,0.76987
25,1.3538,0.8601,0.89619
26,1.4846,0.9841,1.0219
27,1.6094,1.1066,1.1459
28,1.7282,1.2266,1.2672
29,1.8413,1.3435,1.3851
30,1.9488,1.4568,1.4993
31,2.0509,1.5661,1.6094
32,2.1478,1.6712,1.7151
33,2.2398,1.7719,1.8165
34,2.3271,1.8683,1.9135
35,2.4099,1.9603,2.006
36,2.4887,2.048,2.0943
37,2.5667,2.1339,2.1809
38,2.6429,2.2187,2.2663
39,2.7168,2.3016,2.3497
40,2.7874,2.3811,2.4297
41,2.8548,2.457,2.5061
42,2.9191,2.5295,2.5791
43,2.9805,2.5985,2.6488
44,3.0391,2.6642,2.7151
45,3.095,2.7267,2.7783
46,3.1483,2.7861,2.8385
47,3.1992,2.8425,2.8957
48,3.2477,2.896,2.9501
49,3.2939,2.9468,3.0018
50,3.338,2.9948,3.0509
52,3.4201,3.0833,3.1418
54,3.4947,3.1625,3.2237
56,3.5624,3.233,3.2974
58,3.6238,3.2957,3.3636
60,3.6795,3.3511,3.4231
62,3.7299,3.4001,3.4766
64,3.7754,3.443,3.5245
66,3.8166,3.4806,3.5675
68,3.8536,3.5131,3.6061
70,3.8869,3.5412,3.6406
72,3.9167,3.5652,3.6716
74,3.9434,3.5854,3.6993
76,3.9671,3.6022,3.7242
78,3.9882,3.6159,3.7464
80,4.0067,3.6268,3.7663
82,4.023,3.6352,3.7841
84,4.0371,3.6411,3.8001
86,4.0492,3.645,3.8144
88,4.0595,3.6468,3.8271
90,4.0681,3.647,3.8385
92,4.0751,3.6455,3.8486
94,4.0807,3.6425,3.8576
96,4.085,3.6382,3.8656
98,4.088,3.6326,3.8727
100,4.0898,3.626,3.8789
110,4.0842,3.5794,3.8988
120,4.0596,3.5171,3.9036
130,4.022,3.4456,3.8957
140,3.9754,3.369,3.8763
150,3.9227,3.2901,3.847
160,3.866,3.2108,3.8094
170,3.8068,3.1322,3.7651
180,3.7462,3.0552,3.7159
190,3.685,2.9802,3.6632
200,3.6238,2.9076,3.6083
210,3.5631,2.8375,3.5521
220,3.5032,2.7699,3.4954
230,3.4442,2.7049,3.4387
240,3.3864,2.6425,3.3826
250,3.3299,2.5826,3.3272
260,3.2747,2.5251,3.2728
270,3.2209,2.4698,3.2196
280,3.1685,2.4168,3.1676
290,3.1175,2.3661,3.1168
300,3.0678,2.3174,3.0674
310,3.0196,2.2706,3.0193
320,2.9727,2.2256,2.9725
330,2.9271,2.1824,2.9269
340,2.8828,2.1408,2.8827
350,2.8397,2.1008,2.8397
360,2.7979,2.0623,2.7978
370,2.7572,2.0251,2.7572
380,2.7177,1.9893,2.7176
390,2.6792,1.9548,2.6792
400,2.6418,1.9214,2.6418
410,2.6055,1.8893,2.6055
420,2.5701,1.8582,2.5701
430,2.5357,1.8281,2.5357
440,2.5022,1.799,2.5022
450,2.4696,1.7709,2.4696
460,2.4378,1.7437,2.4378
470,2.4069,1.7173,2.4069
480,2.3767,1.6917,2.3767
490,2.3474,1.667,2.3474
500,2.3187,1.6429,2.3187
510,2.2908,1.6196,2.2908
520,2.2636,1.597,2.2636
530,2.237,1.575,2.237
540,2.2111,1.5537,2.2111
550,2.1857,1.5329,2.1857
560,2.161,1.5128,2.161
570,2.1369,1.4932,2.1369
580,2.1133,1.4741,2.1133
590,2.0902,1.4555,2.0902
600,2.0677,1.4374,2.0677
610,2.0457,1.4198,2.0457
620,2.0242,1.4026,2.0242
630,2.0031,1.3859,2.0031
640,1.9825,1.3696,1.9825
650,1.9623,1.3536,1.9623
660,1.9426,1.3381,1.9426
670,1.9233,1.323,1.9233
680,1.9044,1.3082,1.9044
690,1.8858,1.2937,1.8858
700,1.8677,1.2796,1.8677
710,1.8499,1.2658,1.8499
720,1.8324,1.2523,1.8324
730,1.8154,1.2391,1.8154
740,1.7986,1.2262,1.7986
750,1.7822,1.2136,1.7822
760,1.7661,1.2013,1.7661
770,1.7502,1.1892,1.7502
780,1.7347,1.1773,1.7347
790,1.7195,1.1658,1.7195
800,1.7046,1.1544,1.7046
810,1.6899,1.1433,1.6899
820,1.6755,1.1324,1.6755
830,1.6614,1.1218,1.6614
840,1.6475,1.1113,1.6475
850,1.6338,1.1011,1.6338
860,1.6204,1.091,1.6204
870,1.6072,1.0812,1.6072
880,1.5943,1.0715,1.5943
890,1.5816,1.062,1.5816
900,1.5691,1.0527,1.5691
910,1.5567,1.0436,1.5567
920,1.5446,1.0346,1.5446
930,1.5327,1.0258,1.5327
940,1.521,1.0171,1.521
950,1.5095,1.0086,1.5095
960,1.4982,1.0003,1.4982
970,1.487,0.99207,1.487
980,1.476,0.98401,1.476
990,1.4652,0.97608,1.4652
1000,1.4546,0.96829,1.4546
1100,1.3566,0.89709,1.3566
1200,1.2717,0.83617,1.2717
1300,1.1974,0.78343,1.1974
1400,1.1319,0.7373,1.1319
1500,1.0735,0.6966,1.0735
1600,1.0213,0.66039,1.0213
1700,0.97414,0.62797,0.97414
