E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
17.4741,0,0,0
18,0.0050861,0.000281,0.00063948
19,0.030779,0.003941,0.0059969
20,0.069225,0.012794,0.017232
21,0.11103,0.02727,0.034034
22,0.15307,0.046051,0.054923
23,0.19475,0.068027,0.078812
24,0.23567,0.092305,0.10483
25,0.27554,0.11817,0.13228
26,0.31421,0.14504,0.16061
27,0.35158,0.17247,0.18939
28,0.38758,0.2001,0.21827
29,0.4222,0.22764,0.24699
30,0.45752,0.25828,0.27861
31,0.49394,0.29293,0.31398
32,0.52917,0.32708,0.34879
33,0.56319,0.36041,0.38276
34,0.59599,0.39276,0.41573
35,0.6276,0.42403,0.44763
36,0.65803,0.45417,0.47841
37,0.6873,0.48315,0.50804
38,0.71545,0.51096,0.53652
39,0.74251,0.53758,0.56385
40,0.76852,0.56305,0.59006
41,0.79351,0.58738,0.61515
42,0.81752,0.61059,0.63917
43,0.84059,0.63272,0.66214
44,0.86276,0.65379,0.6841
45,0.88405,0.67384,0.70508
46,0.9045,0.6929,0.72513
47,0.92415,0.71102,0.74427
48,0.94302,0.72822,0.76255
49,0.96116,0.74455,0.78001
50,0.97858,0.76003,0.79667
52,1.0114,0.78862,0.82778
54,1.0417,0.81424,0.85615
56,1.0697,0.83717,0.88205
58,1.0956,0.85762,0.9057
60,1.1195,0.87582,0.92734
62,1.1415,0.89197,0.94716
64,1.1619,0.90625,0.96536
66,1.1808,0.91884,0.98209
68,1.1981,0.92987,0.99751
70,1.2142,0.9395,1.0118
72,1.229,0.94784,1.025
74,1.2426,0.95501,1.0372
76,1.2552,0.96112,1.0487
78,1.2668,0.96627,1.0594
80,1.2774,0.97053,1.0694
82,1.2872,0.97398,1.0788
84,1.2962,0.97671,1.0878
86,1.3044,0.97876,1.0962
88,1.3119,0.98021,1.1043
90,1.3187,0.98111,1.1119
92,1.3249,0.9815,1.1193
94,1.3306,0.98142,1.1263
96,1.3357,0.98093,1.1331
98,1.3403,0.98006,1.1396
100,1.3444,0.97884,1.146
110,1.3588,0.9685,1.1748
120,1.3649,0.95317,1.1997
130,1.3648,0.93483,1.2209
140,1.3602,0.91478,1.238
150,1.3523,0.89388,1.2509
160,1.3418,0.87269,1.2593
170,1.3294,0.85159,1.2634
180,1.3157,0.83084,1.2636
190,1.3009,0.81057,1.2603
200,1.2855,0.7909,1.2541
210,1.2697,0.77188,1.2455
220,1.2535,0.75354,1.2351
230,1.2372,0.73588,1.2232
240,1.2209,0.71891,1.2103
250,1.2046,0.7026,1.1966
260,1.1884,0.68694,1.1824
270,1.1724,0.6719,1.1679
280,1.1566,0.65747,1.1532
290,1.1411,0.64361,1.1385
300,1.1258,0.6303,1.1238
310,1.1107,0.61751,1.1093
320,1.096,0.60522,1.0949
330,1.0815,0.5934,1.0807
340,1.0674,0.58203,1.0668
350,1.0535,0.57109,1.0531
360,1.0399,0.56056,1.0396
370,1.0267,0.5504,1.0264
380,1.0137,0.54062,1.0135
390,1.001,0.53118,1.0009
400,0.98862,0.52207,0.98852
410,0.9765,0.51327,0.97642
420,0.96465,0.50478,0.96459
430,0.95307,0.49656,0.95303
440,0.94175,0.48862,0.94172
450,0.93068,0.48094,0.93066
460,0.91986,0.4735,0.91985
470,0.90929,0.4663,0.90927
480,0.89895,0.45932,0.89894
490,0.88883,0.45256,0.88883
500,0.87894,0.446,0.87894
510,0.86927,0.43963,0.86927
520,0.85981,0.43345,0.8598
530,0.85055,0.42745,0.85054
540,0.84149,0.42162,0.84148
550,0.83262,0.41596,0.83262
560,0.82394,0.41045,0.82394
570,0.81544,0.4051,0.81544
580,0.80712,0.39989,0.80712
590,0.79897,0.39481,0.79897
600,0.79098,0.38987,0.79098
610,0.78316,0.38506,0.78316
620,0.7755,0.38037,0.7755
630,0.76799,0.37581,0.76799
640,0.76062,0.37135,0.76062
650,0.7534,0.36701,0.7534
660,0.74633,0.36277,0.74633
670,0.73939,0.35863,0.73939
680,0.73258,0.3546,0.73258
690,0.7259,0.35066,0.7259
700,0.71935,0.34682,0.71935
710,0.71291,0.34307,0.71291
720,0.7066,0.33941,0.7066
730,0.70041,0.33582,0.70041
740,0.69432,0.33232,0.69432
750,0.68835,0.32889,0.68835
760,0.68248,0.32554,0.68248
770,0.67672,0.32226,0.67672
780,0.67105,0.31904,0.67105
790,0.66549,0.3159,0.66549
800,0.66002,0.31282,0.66002
810,0.65465,0.30981,0.65465
820,0.64937,0.30685,0.64937
830,0.64417,0.30396,0.64417
840,0.63906,0.30112,0.63906
850,0.63404,0.29834,0.63404
860,0.6291,0.29561,0.6291
870,0.62424,0.29294,0.62424
880,0.61946,0.29031,0.61946
890,0.61476,0.28774,0.61476
900,0.61013,0.28521,0.61013
910,0.60558,0.28273,0.60558
920,0.60109,0.2803,0.60109
930,0.59668,0.27791,0.59668
940,0.59233,0.27556,0.59233
950,0.58805,0.27326,0.58805
960,0.58384,0.27099,0.58384
970,0.57968,0.26877,0.57968
980,0.5756,0.26658,0.5756
990,0.57157,0.26444,0.57157
1000,0.5676,0.26232,0.5676
1100,0.5309,0.24303,0.5309
1200,0.49891,0.22653,0.49891
1300,0.47076,0.21225,0.47076
1400,0.4458,0.19976,0.4458
1500,0.42351,0.18874,0.42351
1600,0.40346,0.17895,0.40346
1700,0.38534,0.17017,0.38534
1800,0.36887,0.16227,0.36887
1900,0.35384,0.15511,0.35384
2000,0.34006,0.1486,0.34006
2100,0.32738,0.14264,0.32738
2200,0.31566,0.13716,0.31566
2300,0.30481,0.13212,0.30481
2400,0.29472,0.12746,0.29472
2500,0.28532,0.12313,0.28532
2600,0.27654,0.1191,0.27654
2700,0.26832,0.11535,0.26832
2800,0.2606,0.11184,0.2606
2900,0.25334,0.10855,0.25334
3000,0.2465,0.10545,0.2465
3100,0.24004,0.10254,0.24004
3200,0.23393,0.0998,0.23393
3300,0.22814,0.097208,0.22814
3400,0.22265,0.094755,0.22265
3500,0.21744,0.092429,0.21744
3600,0.21248,0.090222,0.21248
3700,0.20775,0.088125,0.20775
3800,0.20325,0.086128,0.20325
3900,0.19894,0.084225,0.19894
4000,0.19483,0.082409,0.19483
4100,0.19089,0.080675,0.19089
4200,0.18712,0.079016,0.18712
4300,0.1835,0.077429,0.1835
4400,0.18003,0.075907,0.18003
4500,0.1767,0.074448,0.1767
4600,0.17349,0.073047,0.17349
4700,0.17041,0.071701,0.17041
4800,0.16744,0.070407,0.16744
4900,0.16458,0.069161,0.16458
5000,0.16182,0.067961,0.16182
