E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
15.671,0,0,0
16,0.0096863,0.000371,0.00078702
17,0.051627,0.007985,0.0099944
18,0.095371,0.023735,0.027135
19,0.13959,0.045412,0.05002
20,0.20004,0.072789,0.079207
21,0.27238,0.10811,0.11665
22,0.35158,0.14975,0.16056
23,0.43435,0.19739,0.21047
24,0.5157,0.24941,0.26457
25,0.59508,0.3044,0.32145
26,0.67213,0.36121,0.38
27,0.74662,0.41894,0.43934
28,0.81844,0.47687,0.49878
29,0.88753,0.53445,0.55779
30,0.9539,0.59125,0.61595
31,1.0176,0.64694,0.67294
32,1.0786,0.70126,0.72853
33,1.1371,0.75403,0.78254
34,1.1931,0.80512,0.83486
35,1.2467,0.85444,0.8854
36,1.3007,0.90459,0.93679
37,1.3557,0.95631,0.98975
38,1.4088,1.0064,1.041
39,1.4599,1.0546,1.0905
40,1.5091,1.1009,1.1382
41,1.5565,1.1453,1.1839
42,1.6021,1.1878,1.2279
43,1.646,1.2284,1.27
44,1.6883,1.2672,1.3104
45,1.7289,1.3043,1.3491
46,1.768,1.3396,1.3861
47,1.8056,1.3732,1.4215
48,1.8418,1.4052,1.4554
49,1.8766,1.4357,1.4878
50,1.91,1.4646,1.5188
52,1.9731,1.5182,1.5767
54,2.0314,1.5665,1.6296
56,2.0854,1.6098,1.678
58,2.1353,1.6486,1.7223
60,2.1814,1.6832,1.7629
62,2.2241,1.7141,1.8001
64,2.2635,1.7415,1.8343
66,2.3,1.7658,1.8658
68,2.3336,1.7871,1.8949
70,2.3647,1.8059,1.9218
72,2.3935,1.8222,1.9468
74,2.4199,1.8363,1.9701
76,2.4444,1.8484,1.9919
78,2.4669,1.8587,2.0123
80,2.4876,1.8673,2.0315
82,2.5066,1.8743,2.0497
84,2.524,1.88,2.067
86,2.54,1.8844,2.0835
88,2.5546,1.8876,2.0993
90,2.568,1.8898,2.1145
92,2.5801,1.8909,2.1292
94,2.5911,1.8912,2.1434
96,2.6011,1.8907,2.1572
98,2.6101,1.8895,2.1706
100,2.6181,1.8875,2.1837
110,2.6463,1.8696,2.2456
120,2.6584,1.8418,2.3019
130,2.6586,1.8079,2.3522
140,2.65,1.7706,2.3946
