E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
13.6443,0,0,0
14,0.01549,0.020152,0.019238
15,0.06053,0.080904,0.07679
16,0.10584,0.13929,0.13234
17,0.14991,0.1933,0.18402
18,0.1919,0.2425,0.23135
19,0.23141,0.28693,0.27435
20,0.26828,0.32683,0.31319
21,0.30249,0.36256,0.34816
22,0.33412,0.39444,0.37958
23,0.36328,0.42286,0.40777
24,0.39011,0.44813,0.43303
25,0.41478,0.47058,0.45566
26,0.43743,0.49049,0.47592
27,0.45821,0.50812,0.49404
28,0.47727,0.5237,0.51026
29,0.49475,0.53744,0.52476
30,0.51076,0.54954,0.53772
31,0.52542,0.56016,0.5493
32,0.53885,0.56944,0.55963
33,0.55113,0.57753,0.56886
34,0.56237,0.58454,0.57707
35,0.57263,0.59058,0.58439
36,0.58201,0.59575,0.5909
37,0.59056,0.60013,0.59667
38,0.59835,0.60381,0.60179
39,0.60544,0.60684,0.60631
40,0.61188,0.60929,0.61029
41,0.61772,0.61121,0.61379
42,0.62301,0.61267,0.61686
43,0.62778,0.61369,0.61953
44,0.63208,0.61433,0.62184
45,0.63594,0.61462,0.62382
46,0.63938,0.61459,0.62552
47,0.64245,0.61428,0.62695
48,0.64516,0.6137,0.62814
49,0.64755,0.61289,0.62911
50,0.64963,0.61187,0.62989
52,0.65296,0.60927,0.63091
54,0.65531,0.60604,0.63135
56,0.6568,0.60229,0.63129
58,0.65755,0.59814,0.63083
60,0.65766,0.59365,0.63003
62,0.65721,0.5889,0.62894
64,0.65627,0.58394,0.62761
66,0.65491,0.57882,0.62609
68,0.65318,0.57357,0.62438
70,0.65112,0.56825,0.62253
72,0.64879,0.56286,0.62056
74,0.64622,0.55744,0.61846
76,0.64344,0.552,0.61627
78,0.64048,0.54656,0.61399
80,0.63736,0.54114,0.61163
82,0.63411,0.53574,0.60919
84,0.63075,0.53038,0.60669
86,0.62729,0.52507,0.60412
88,0.62375,0.5198,0.6015
90,0.62014,0.5146,0.59883
92,0.61648,0.50945,0.5961
94,0.61277,0.50436,0.59333
96,0.60903,0.49935,0.59051
98,0.60526,0.4944,0.58766
100,0.60147,0.48952,0.58477
110,0.58246,0.46623,0.56986
120,0.5637,0.44475,0.55446
130,0.54553,0.42499,0.53888
140,0.52811,0.40684,0.52339
150,0.5115,0.39014,0.50819
160,0.49574,0.37475,0.49343
170,0.48081,0.36054,0.47921
180,0.46668,0.3474,0.46558
190,0.45331,0.3352,0.45255
200,0.44066,0.32387,0.44014
210,0.42869,0.31331,0.42833
220,0.41734,0.30344,0.4171
230,0.40658,0.29421,0.40642
240,0.39637,0.28556,0.39626
250,0.38668,0.27743,0.3866
260,0.37745,0.26977,0.3774
270,0.36868,0.26255,0.36864
280,0.36031,0.25574,0.36029
290,0.35233,0.24929,0.35232
300,0.34472,0.24318,0.34471
310,0.33744,0.23738,0.33743
320,0.33048,0.23187,0.33047
330,0.32381,0.22662,0.32381
340,0.31742,0.22163,0.31742
350,0.3113,0.21687,0.31129
360,0.30542,0.21232,0.30541
370,0.29976,0.20797,0.29976
380,0.29433,0.20381,0.29433
390,0.28911,0.19982,0.28911
400,0.28407,0.196,0.28407
410,0.27922,0.19234,0.27922
420,0.27455,0.18881,0.27455
430,0.27003,0.18543,0.27003
440,0.26568,0.18217,0.26568
450,0.26147,0.17903,0.26147
460,0.2574,0.17601,0.2574
470,0.25346,0.1731,0.25346
480,0.24965,0.17029,0.24965
490,0.24596,0.16757,0.24596
500,0.24239,0.16495,0.24239
510,0.23893,0.16241,0.23893
520,0.23557,0.15996,0.23557
530,0.23231,0.15759,0.23231
540,0.22914,0.15529,0.22914
550,0.22607,0.15306,0.22607
560,0.22308,0.1509,0.22308
570,0.22018,0.1488,0.22018
580,0.21735,0.14677,0.21735
590,0.21461,0.14479,0.21461
600,0.21193,0.14288,0.21193
610,0.20933,0.14101,0.20933
620,0.20679,0.1392,0.20679
630,0.20432,0.13744,0.20432
640,0.20192,0.13572,0.20192
650,0.19957,0.13405,0.19957
660,0.19728,0.13243,0.19728
670,0.19504,0.13084,0.19504
680,0.19286,0.1293,0.19286
690,0.19073,0.1278,0.19073
700,0.18866,0.12633,0.18866
710,0.18662,0.1249,0.18662
720,0.18464,0.1235,0.18464
730,0.1827,0.12214,0.1827
740,0.1808,0.12081,0.1808
750,0.17895,0.11951,0.17895
760,0.17714,0.11824,0.17714
770,0.17536,0.117,0.17536
780,0.17362,0.11578,0.17362
790,0.17192,0.1146,0.17192
800,0.17026,0.11343,0.17026
810,0.16862,0.1123,0.16862
820,0.16703,0.11119,0.16703
830,0.16546,0.1101,0.16546
840,0.16393,0.10903,0.16393
850,0.16242,0.10799,0.16242
860,0.16095,0.10697,0.16095
870,0.1595,0.10597,0.1595
880,0.15808,0.10499,0.15808
890,0.15669,0.10403,0.15669
900,0.15532,0.10308,0.15532
910,0.15398,0.10216,0.15398
920,0.15267,0.10125,0.15267
930,0.15137,0.10036,0.15137
940,0.1501,0.09949,0.1501
950,0.14886,0.098633,0.14886
960,0.14763,0.097792,0.14763
970,0.14643,0.096967,0.14643
980,0.14525,0.096156,0.14525
990,0.14409,0.09536,0.14409
1000,0.14294,0.094578,0.14294
1100,0.13251,0.087456,0.13251
1200,0.12358,0.0814,0.12358
1300,0.11585,0.076181,0.11585
1400,0.10908,0.071635,0.10908
1500,0.10311,0.067636,0.10311
1600,0.0978,0.064089,0.0978
1700,0.093042,0.06092,0.093042
1800,0.088752,0.05807,0.088752
1900,0.084865,0.055493,0.084865
2000,0.081324,0.05315,0.081324
2100,0.078085,0.05101,0.078085
2200,0.075109,0.049048,0.075109
2300,0.072366,0.04724,0.072366
2400,0.069828,0.045571,0.069828
2500,0.067473,0.044023,0.067473
2600,0.06528,0.042584,0.06528
2700,0.063235,0.041242,0.063235
2800,0.061321,0.039988,0.061321
2900,0.059527,0.038813,0.059527
3000,0.057841,0.03771,0.057841
3100,0.056254,0.036672,0.056254
3200,0.054757,0.035693,0.054757
3300,0.053342,0.034769,0.053342
3400,0.052003,0.033895,0.052003
3500,0.050733,0.033066,0.050733
3600,0.049528,0.03228,0.049528
3700,0.048382,0.031533,0.048382
3800,0.047291,0.030822,0.047291
3900,0.046251,0.030144,0.046251
4000,0.045258,0.029498,0.045258
4100,0.04431,0.028881,0.04431
4200,0.043403,0.02829,0.043403
4300,0.042534,0.027725,0.042534
4400,0.041702,0.027184,0.041702
4500,0.040903,0.026664,0.040903
4600,0.040137,0.026166,0.040137
4700,0.0394,0.025687,0.0394
4800,0.038691,0.025226,0.038691
4900,0.038009,0.024783,0.038009
5000,0.037352,0.024356,0.037352
