E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
15.4913,0,0,0
16,0.03031,0.045285,0.04237
17,0.091822,0.13966,0.13011
18,0.15371,0.23078,0.21499
19,0.21429,0.31608,0.29468
20,0.27257,0.39485,0.36848
21,0.32802,0.46703,0.43629
22,0.38036,0.53284,0.49826
23,0.42951,0.59263,0.55471
24,0.47548,0.64683,0.60599
25,0.51836,0.69585,0.65251
26,0.55828,0.74014,0.69463
27,0.5954,0.78009,0.73275
28,0.62987,0.81609,0.7672
29,0.66185,0.84849,0.79832
30,0.69151,0.87762,0.8264
31,0.71901,0.90378,0.85173
32,0.74449,0.92722,0.87454
33,0.76809,0.94821,0.89508
34,0.78994,0.96696,0.91355
35,0.81017,0.98368,0.93014
36,0.82889,0.99854,0.94502
37,0.8462,1.0117,0.95834
38,0.86221,1.0234,0.97025
39,0.877,1.0336,0.98087
40,0.89066,1.0426,0.99031
41,0.90327,1.0504,0.99869
42,0.9149,1.0571,1.0061
43,0.92562,1.0629,1.0126
44,0.93548,1.0678,1.0183
45,0.94455,1.0718,1.0233
46,0.95288,1.0751,1.0276
47,0.96052,1.0778,1.0313
48,0.9675,1.0798,1.0344
49,0.97389,1.0813,1.037
50,0.97971,1.0822,1.0392
52,0.98979,1.0827,1.0422
54,0.99802,1.0816,1.0438
56,1.0046,1.0791,1.0443
58,1.0098,1.0755,1.0437
60,1.0137,1.071,1.0423
62,1.0165,1.0656,1.0403
64,1.0183,1.0597,1.0376
66,1.0192,1.0531,1.0345
68,1.0193,1.0462,1.031
70,1.0188,1.0388,1.0272
72,1.0177,1.0312,1.0232
74,1.0161,1.0233,1.0189
76,1.0139,1.0153,1.0145
78,1.0114,1.0071,1.0099
80,1.0085,0.99881,1.0052
82,1.0053,0.99044,1.0004
84,1.0018,0.98202,0.99554
86,0.99801,0.97358,0.99064
88,0.99402,0.96515,0.9857
90,0.98984,0.95672,0.98073
92,0.98549,0.94833,0.97574
94,0.98099,0.93998,0.97073
96,0.97637,0.93169,0.96572
98,0.97163,0.92346,0.9607
100,0.9668,0.9153,0.95569
110,0.94166,0.87575,0.93072
120,0.91578,0.83856,0.90605
130,0.88996,0.80386,0.88182
140,0.86464,0.7716,0.8581
150,0.84011,0.74165,0.835
160,0.8165,0.71384,0.81259
170,0.79388,0.68801,0.79093
180,0.77228,0.66397,0.77007
190,0.75167,0.64156,0.75004
200,0.73204,0.62065,0.73083
210,0.71333,0.6011,0.71245
220,0.69552,0.58278,0.69488
230,0.67855,0.56559,0.67808
240,0.66237,0.54943,0.66204
250,0.64695,0.53421,0.64671
260,0.63223,0.51985,0.63206
270,0.61818,0.50628,0.61805
280,0.60475,0.49345,0.60465
290,0.5919,0.48129,0.59183
300,0.57961,0.46975,0.57956
310,0.56783,0.45878,0.56779
320,0.55654,0.44835,0.55652
330,0.54571,0.43841,0.54569
340,0.53531,0.42893,0.5353
350,0.52532,0.41988,0.52531
360,0.51572,0.41123,0.51571
370,0.50647,0.40295,0.50647
380,0.49757,0.39503,0.49757
390,0.489,0.38743,0.489
400,0.48073,0.38014,0.48073
410,0.47275,0.37314,0.47275
420,0.46505,0.36641,0.46505
430,0.45761,0.35993,0.45761
440,0.45042,0.3537,0.45042
450,0.44347,0.34769,0.44347
460,0.43674,0.34191,0.43674
470,0.43023,0.33632,0.43023
480,0.42391,0.33093,0.42391
490,0.4178,0.32572,0.4178
500,0.41187,0.32068,0.41187
510,0.40611,0.31582,0.40611
520,0.40053,0.3111,0.40053
530,0.39511,0.30654,0.39511
540,0.38984,0.30212,0.38984
550,0.38472,0.29783,0.38472
560,0.37974,0.29367,0.37974
570,0.3749,0.28964,0.3749
580,0.37019,0.28573,0.37019
590,0.3656,0.28192,0.3656
600,0.36114,0.27823,0.36114
610,0.35679,0.27463,0.35679
620,0.35255,0.27114,0.35255
630,0.34841,0.26774,0.34841
640,0.34438,0.26443,0.34438
650,0.34045,0.26121,0.34045
660,0.33661,0.25808,0.33661
670,0.33287,0.25502,0.33287
680,0.32921,0.25204,0.32921
690,0.32564,0.24913,0.32564
700,0.32215,0.2463,0.32215
