E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.6534,0,0,0
13,0.01666,0.000793,0.0017677
14,0.067366,0.010735,0.014345
15,0.1196,0.029197,0.035176
16,0.19713,0.057082,0.066693
17,0.28128,0.094124,0.10745
18,0.36387,0.13684,0.15361
19,0.44601,0.18391,0.20399
20,0.56123,0.2522,0.27675
21,0.67439,0.32388,0.35276
22,0.78432,0.39645,0.42958
23,0.89033,0.46851,0.50587
24,0.99202,0.53917,0.58074
25,1.0892,0.6078,0.6536
26,1.1818,0.67399,0.72406
27,1.2699,0.73746,0.79185
28,1.3535,0.79805,0.85685
29,1.4329,0.8557,0.919
30,1.5082,0.91039,0.97828
31,1.5795,0.96213,1.0347
32,1.6471,1.011,1.0884
33,1.7111,1.057,1.1395
34,1.7718,1.1004,1.188
35,1.8292,1.1411,1.234
36,1.8836,1.1793,1.2777
37,1.935,1.2152,1.3192
38,1.9838,1.2488,1.3586
39,2.03,1.2802,1.3961
40,2.0737,1.3095,1.4317
41,2.1151,1.337,1.4655
42,2.1544,1.3625,1.4977
43,2.1915,1.3864,1.5284
44,2.2267,1.4086,1.5577
45,2.2601,1.4292,1.5856
46,2.2917,1.4484,1.6122
47,2.3216,1.4662,1.6378
48,2.3499,1.4828,1.6622
49,2.3767,1.498,1.6856
50,2.4021,1.5121,1.7081
52,2.4489,1.5372,1.7506
54,2.4908,1.5583,1.7901
56,2.5283,1.576,1.827
58,2.5617,1.5906,1.8617
60,2.5915,1.6024,1.8946
62,2.618,1.6119,1.9259
64,2.6415,1.6192,1.9558
66,2.6622,1.6245,1.9846
68,2.6804,1.6282,2.0124
70,2.6964,1.6303,2.0393
72,2.7102,1.6311,2.0654
74,2.7221,1.6307,2.0908
76,2.7323,1.6292,2.1156
78,2.7408,1.6267,2.1398
80,2.7479,1.6234,2.1635
82,2.7536,1.6194,2.1865
84,2.7581,1.6147,2.209
86,2.7614,1.6094,2.2308
88,2.7637,1.6036,2.2521
90,2.765,1.5973,2.2727
92,2.7654,1.5906,2.2926
94,2.765,1.5836,2.3118
96,2.7638,1.5762,2.3302
98,2.762,1.5686,2.3479
100,2.7594,1.5608,2.3647
110,2.7388,1.5189,2.4356
120,2.7081,1.4749,2.4835
130,2.6709,1.4303,2.509
140,2.6295,1.3865,2.5154
150,2.5854,1.3438,2.5063
160,2.54,1.3028,2.4857
170,2.4939,1.2635,2.4571
180,2.4479,1.226,2.423
190,2.4022,1.1904,2.3854
200,2.3572,1.1565,2.3459
210,2.313,1.1243,2.3055
220,2.2699,1.0937,2.2649
230,2.2279,1.0646,2.2245
240,2.187,1.037,2.1847
250,2.1472,1.0108,2.1458
260,2.1087,0.98581,2.1077
270,2.0713,0.96203,2.0706
280,2.035,0.93937,2.0346
290,1.9999,0.91775,1.9996
300,1.9659,0.89712,1.9657
310,1.933,0.87741,1.9328
320,1.901,0.85856,1.9009
330,1.8701,0.84052,1.87
340,1.8401,0.82325,1.8401
350,1.8111,0.80669,1.8111
360,1.7829,0.79081,1.7829
370,1.7556,0.77555,1.7556
380,1.7292,0.7609,1.7292
390,1.7035,0.74681,1.7035
400,1.6786,0.73326,1.6786
410,1.6544,0.72021,1.6544
420,1.6309,0.70763,1.6309
430,1.6081,0.6955,1.6081
440,1.5859,0.6838,1.5859
450,1.5643,0.67251,1.5643
460,1.5434,0.6616,1.5434
470,1.523,0.65106,1.523
480,1.5032,0.64086,1.5032
490,1.4838,0.63099,1.4838
500,1.465,0.62144,1.465
510,1.4467,0.61219,1.4467
520,1.4289,0.60322,1.4289
530,1.4115,0.59455,1.4115
540,1.3946,0.58614,1.3946
550,1.3781,0.57798,1.3781
560,1.3619,0.57006,1.3619
570,1.3462,0.56237,1.3462
580,1.3309,0.55489,1.3309
590,1.3159,0.54763,1.3159
600,1.3012,0.54056,1.3012
610,1.287,0.53368,1.287
620,1.273,0.52699,1.273
630,1.2593,0.52047,1.2593
640,1.246,0.51412,1.246
650,1.2329,0.50794,1.2329
660,1.2202,0.50191,1.2202
670,1.2077,0.49603,1.2077
680,1.1955,0.4903,1.1955
690,1.1835,0.4847,1.1835
700,1.1718,0.47924,1.1718
710,1.1604,0.47391,1.1604
720,1.1491,0.4687,1.1491
730,1.1381,0.46362,1.1381
740,1.1273,0.45865,1.1273
750,1.1168,0.45379,1.1168
760,1.1064,0.44904,1.1064
770,1.0963,0.4444,1.0963
780,1.0863,0.43985,1.0863
790,1.0766,0.43541,1.0766
800,1.067,0.43106,1.067
810,1.0576,0.4268,1.0576
820,1.0483,0.42263,1.0483
830,1.0393,0.41854,1.0393
840,1.0304,0.41454,1.0304
850,1.0217,0.41062,1.0217
860,1.0131,0.40678,1.0131
870,1.0047,0.40301,1.0047
880,0.99639,0.39932,0.99639
890,0.98826,0.3957,0.98826
900,0.98027,0.39214,0.98027
910,0.97241,0.38866,0.97241
920,0.96469,0.38524,0.96469
930,0.9571,0.38188,0.9571
940,0.94964,0.37859,0.94964
950,0.9423,0.37536,0.9423
960,0.93507,0.37218,0.93507
970,0.92797,0.36906,0.92797
980,0.92098,0.366,0.92098
990,0.9141,0.36299,0.9141
1000,0.90733,0.36003,0.90733
1100,0.84509,0.33305,0.84509
1200,0.79131,0.31004,0.79131
1300,0.74435,0.29018,0.74435
1400,0.70297,0.27284,0.70297
1500,0.66622,0.25758,0.66622
1600,0.63335,0.24402,0.63335
1700,0.60376,0.2319,0.60376
1800,0.57698,0.221,0.57698
1900,0.55261,0.21113,0.55261
2000,0.53035,0.20216,0.53035
2100,0.50991,0.19396,0.50991
2200,0.49109,0.18643,0.49109
2300,0.47369,0.17951,0.47369
2400,0.45755,0.17311,0.45755
2500,0.44255,0.16717,0.44255
2600,0.42855,0.16165,0.42855
2700,0.41547,0.15651,0.41547
2800,0.40321,0.1517,0.40321
2900,0.3917,0.14719,0.3917
3000,0.38087,0.14297,0.38087
3100,0.37065,0.13898,0.37065
3200,0.36101,0.13523,0.36101
3300,0.35188,0.13169,0.35188
3400,0.34323,0.12834,0.34323
3500,0.33502,0.12517,0.33502
