E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
14.4927,0,0,0
15,0.024026,0.001724,0.0036729
16,0.084938,0.01794,0.023981
17,0.14747,0.047472,0.056776
18,0.20969,0.08637,0.098209
19,0.27045,0.13161,0.14536
20,0.32906,0.18088,0.19602
21,0.38513,0.23245,0.24854
22,0.43849,0.28502,0.3017
23,0.48907,0.33763,0.3546
24,0.54775,0.4102,0.42609
25,0.6049,0.48407,0.49846
26,0.65969,0.55598,0.56871
27,0.71205,0.62526,0.63625
28,0.76198,0.6916,0.70078
29,0.8095,0.75481,0.76216
30,0.85469,0.81483,0.82035
31,0.8976,0.87167,0.87537
32,0.93833,0.92536,0.92726
33,0.97697,0.97598,0.97613
34,1.0136,1.0236,1.0221
35,1.0483,1.0684,1.0652
36,1.0813,1.1105,1.1057
37,1.1125,1.1499,1.1436
38,1.142,1.1869,1.179
39,1.17,1.2214,1.2122
40,1.1966,1.2538,1.2432
41,1.2217,1.284,1.2722
42,1.2456,1.3122,1.2992
43,1.2681,1.3385,1.3244
44,1.2895,1.363,1.3478
45,1.3098,1.3859,1.3697
46,1.3289,1.4071,1.3901
47,1.3471,1.4268,1.409
48,1.3643,1.4451,1.4265
49,1.3806,1.4621,1.4429
50,1.396,1.4778,1.458
52,1.4245,1.5058,1.485
54,1.4499,1.5295,1.5081
56,1.4726,1.5495,1.5278
58,1.4929,1.5662,1.5445
60,1.511,1.5799,1.5585
62,1.527,1.591,1.5702
64,1.5413,1.5998,1.5798
66,1.5538,1.6065,1.5877
68,1.5649,1.6114,1.594
70,1.5745,1.6146,1.599
72,1.5829,1.6164,1.6028
74,1.5901,1.6169,1.6056
76,1.5963,1.6162,1.6074
78,1.6014,1.6146,1.6086
80,1.6057,1.6119,1.609
82,1.6092,1.6085,1.6089
84,1.6119,1.6044,1.6082
86,1.6139,1.5996,1.6071
88,1.6153,1.5943,1.6057
90,1.6161,1.5885,1.6039
92,1.6164,1.5822,1.6019
94,1.6161,1.5756,1.5996
96,1.6154,1.5686,1.5972
98,1.6143,1.5613,1.5945
