E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
16.7502,0,0,0
17,0.010851,0.002056,0.0028585
18,0.097191,0.023512,0.03042
19,0.18678,0.062693,0.074645
20,0.29429,0.12719,0.14373
21,0.40232,0.2038,0.22398
22,0.50844,0.28783,0.31086
23,0.61164,0.37648,0.4017
24,0.71128,0.46766,0.49449
25,0.80698,0.55976,0.58772
26,0.89856,0.65159,0.68026
27,0.98596,0.74222,0.77128
28,1.0692,0.83098,0.86013
29,1.1484,0.91737,0.94639
30,1.2236,1.001,1.0297
31,1.295,1.0817,1.11
32,1.3628,1.1593,1.1869
33,1.427,1.2337,1.2606
34,1.4879,1.3048,1.3309
35,1.5457,1.3726,1.398
36,1.6004,1.4372,1.4618
37,1.6523,1.4987,1.5224
38,1.7037,1.5595,1.5823
39,1.7536,1.6187,1.6406
40,1.8012,1.6754,1.6963
41,1.8465,1.7293,1.7493
42,1.8897,1.7807,1.7998
43,1.9307,1.8296,1.8477
44,1.9698,1.8759,1.8932
45,2.0071,1.92,1.9363
46,2.0425,1.9617,1.9773
47,2.0762,2.0013,2.016
48,2.1082,2.0387,2.0528
49,2.1388,2.0741,2.0875
50,2.1678,2.1076,2.1204
52,2.2216,2.1691,2.1808
54,2.2703,2.2239,2.2347
56,2.3143,2.2725,2.2827
58,2.354,2.3155,2.3253
60,2.3898,2.3534,2.3631
62,2.422,2.3866,2.3964
64,2.4509,2.4156,2.4259
66,2.4769,2.4408,2.4517
68,2.5001,2.4625,2.4744
70,2.5208,2.4811,2.4941
72,2.5393,2.4968,2.5113
74,2.5556,2.5099,2.5261
76,2.5699,2.5206,2.5388
78,2.5825,2.5291,2.5496
80,2.5935,2.5357,2.5587
82,2.6029,2.5406,2.5662
84,2.6109,2.5438,2.5724
86,2.6177,2.5455,2.5773
88,2.6232,2.5459,2.5811
90,2.6277,2.5451,2.5839
92,2.6311,2.5432,2.5859
94,2.6336,2.5403,2.587
96,2.6353,2.5365,2.5874
98,2.6361,2.5319,2.5871
100,2.6362,2.5265,2.5863
110,2.6274,2.4906,2.575
120,2.6067,2.4443,2.5555
130,2.578,2.392,2.5307
140,2.544,2.3367,2.5021
150,2.5064,2.2801,2.4706
160,2.4667,2.2234,2.4369
170,2.4256,2.1676,2.4015
180,2.3841,2.113,2.3647
190,2.3424,2.0601,2.3272
200,2.301,2.0089,2.2892
210,2.2602,1.9596,2.251
220,2.22,1.9121,2.213
230,2.1807,1.8666,2.1754
240,2.1423,1.8229,2.1383
250,2.1049,1.7809,2.1018
260,2.0684,1.7407,2.0662
270,2.033,1.7022,2.0313
280,1.9986,1.6652,1.9973
290,1.9651,1.6298,1.9642
300,1.9327,1.5958,1.932
310,1.9012,1.5631,1.9006
320,1.8706,1.5317,1.8702
330,1.841,1.5016,1.8407
340,1.8122,1.4726,1.812
350,1.7843,1.4447,1.7841
360,1.7572,1.4179,1.7571
370,1.7309,1.3921,1.7308
380,1.7053,1.3672,1.7053
390,1.6805,1.3432,1.6805
400,1.6565,1.32,1.6564
410,1.6331,1.2977,1.633
420,1.6103,1.2762,1.6103
430,1.5882,1.2554,1.5882
440,1.5667,1.2354,1.5667
450,1.5458,1.2159,1.5458
460,1.5255,1.1971,1.5255
470,1.5057,1.1789,1.5057
480,1.4864,1.1613,1.4864
490,1.4676,1.1442,1.4676
500,1.4493,1.1276,1.4493
510,1.4315,1.1115,1.4315
520,1.4141,1.0959,1.4141
530,1.3972,1.0807,1.3972
540,1.3807,1.066,1.3807
550,1.3646,1.0517,1.3646
560,1.3488,1.0378,1.3488
570,1.3335,1.0243,1.3335
580,1.3185,1.0111,1.3185
590,1.3039,0.9983,1.3039
600,1.2896,0.98583,1.2896
610,1.2756,0.97368,1.2756
620,1.2619,0.96185,1.2619
630,1.2486,0.95032,1.2486
640,1.2355,0.93907,1.2355
650,1.2228,0.92811,1.2228
660,1.2103,0.91741,1.2103
670,1.198,0.90696,1.198
680,1.1861,0.89677,1.1861
690,1.1744,0.88682,1.1744
700,1.1629,0.87709,1.1629
710,1.1516,0.8676,1.1516
720,1.1406,0.85831,1.1406
730,1.1298,0.84924,1.1298
740,1.1193,0.84036,1.1193
750,1.1089,0.83168,1.1089
760,1.0987,0.82319,1.0987
770,1.0888,0.81488,1.0888
780,1.079,0.80675,1.079
790,1.0694,0.79878,1.0694
800,1.06,0.79098,1.06
