E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.813,0,0,0
13,0.01358,0.000368,0.00094697
14,0.10988,0.018637,0.022787
15,0.21015,0.058466,0.065627
16,0.31031,0.11279,0.12247
17,0.42261,0.18358,0.19573
18,0.54414,0.26953,0.28402
19,0.66195,0.36102,0.3775
20,0.81479,0.45941,0.4796
21,0.96959,0.56829,0.59194
22,1.1294,0.68884,0.71577
23,1.284,0.81359,0.84342
24,1.4327,0.93996,0.97237
25,1.5752,1.0661,1.1008
26,1.7112,1.1906,1.2274
27,1.8407,1.3125,1.3512
28,1.9639,1.4309,1.4715
29,2.081,1.5455,1.5877
30,2.192,1.6559,1.6997
31,2.2974,1.7617,1.8071
32,2.3973,1.863,1.9099
33,2.4919,1.9596,2.008
34,2.5816,2.0516,2.1015
35,2.6666,2.139,2.1905
36,2.748,2.2225,2.2756
37,2.828,2.3038,2.3586
38,2.904,2.3813,2.4379
39,2.9762,2.4551,2.5136
40,3.0449,2.5253,2.5857
41,3.1102,2.592,2.6543
42,3.1728,2.6558,2.7201
43,3.2341,2.7187,2.785
44,3.2926,2.7786,2.847
45,3.3484,2.8355,2.9061
46,3.4015,2.8895,2.9624
47,3.4521,2.9407,3.016
48,3.5003,2.9892,3.067
49,3.5461,3.0351,3.1155
50,3.5898,3.0785,3.1617
52,3.6709,3.1583,3.2472
54,3.7444,3.2292,3.3245
56,3.8108,3.2921,3.3943
58,3.8708,3.3477,3.4574
60,3.925,3.3967,3.5144
62,3.9737,3.4395,3.566
64,4.0176,3.4768,3.6126
66,4.0569,3.5091,3.6549
68,4.0921,3.5368,3.6932
70,4.1235,3.5604,3.728
72,4.1514,3.5801,3.7597
74,4.1761,3.5965,3.7885
76,4.1979,3.6096,3.8148
78,4.2169,3.62,3.8389
80,4.2334,3.6277,3.8609
82,4.2476,3.6331,3.8812
84,4.2597,3.6364,3.8998
86,4.2698,3.6377,3.9169
88,4.278,3.6372,3.9326
90,4.2846,3.6351,3.9472
92,4.2896,3.6315,3.9606
94,4.2932,3.6267,3.9729
96,4.2954,3.6206,3.9843
98,4.2964,3.6134,3.9947
100,4.2962,3.6052,4.0042
110,4.281,3.5523,4.0396
120,4.2474,3.4855,4.0561
130,4.2012,3.4109,4.055
140,4.1466,3.3321,4.0381
150,4.0864,3.2518,4.0078
160,4.0228,3.1715,3.9668
170,3.9571,3.0924,3.9177
180,3.8904,3.0152,3.8631
190,3.8236,2.9402,3.8048
200,3.7572,2.8677,3.7443
210,3.6917,2.7978,3.6828
220,3.6271,2.7306,3.6211
230,3.5639,2.6661,3.5598
240,3.5021,2.6041,3.4993
250,3.4418,2.5447,3.4399
260,3.3831,2.4876,3.3818
270,3.3259,2.433,3.3251
280,3.2703,2.3805,3.2698
290,3.2164,2.3302,3.216
300,3.1639,2.2819,3.1637
310,3.113,2.2355,3.1128
320,3.0636,2.1909,3.0634
330,3.0156,2.148,3.0155
340,2.969,2.1068,2.9689
350,2.9238,2.0672,2.9237
360,2.8799,2.029,2.8798
370,2.8372,1.9922,2.8372
380,2.7958,1.9568,2.7958
390,2.7556,1.9226,2.7556
400,2.7165,1.8897,2.7165
410,2.6785,1.858,2.6785
420,2.6415,1.8273,2.6415
430,2.6056,1.7977,2.6056
440,2.5707,1.7691,2.5707
450,2.5367,1.7414,2.5367
460,2.5036,1.7146,2.5036
470,2.4714,1.6887,2.4714
480,2.44,1.6635,2.44
490,2.4094,1.6392,2.4094
500,2.3797,1.6155,2.3797
510,2.3506,1.5926,2.3506
520,2.3223,1.5703,2.3223
530,2.2947,1.5487,2.2947
540,2.2678,1.5278,2.2678
550,2.2415,1.5074,2.2415
560,2.2159,1.4876,2.2159
570,2.1909,1.4683,2.1909
580,2.1664,1.4495,2.1664
590,2.1425,1.4313,2.1425
600,2.1192,1.4135,2.1192
610,2.0964,1.3962,2.0964
620,2.0741,1.3793,2.0741
630,2.0523,1.3629,2.0523
640,2.031,1.3468,2.031
650,2.0101,1.3312,2.0101
660,1.9897,1.3159,1.9897
670,1.9697,1.301,1.9697
680,1.9501,1.2865,1.9501
690,1.931,1.2723,1.931
700,1.9122,1.2584,1.9122
710,1.8939,1.2449,1.8939
720,1.8758,1.2316,1.8758
730,1.8582,1.2187,1.8582
740,1.8409,1.206,1.8409
750,1.8239,1.1936,1.8239
760,1.8073,1.1815,1.8073
770,1.791,1.1696,1.791
780,1.775,1.158,1.775
790,1.7593,1.1466,1.7593
800,1.7439,1.1355,1.7439
810,1.7288,1.1246,1.7288
820,1.7139,1.1139,1.7139
830,1.6993,1.1034,1.6993
840,1.685,1.0932,1.685
850,1.671,1.0831,1.671
860,1.6572,1.0732,1.6572
870,1.6436,1.0635,1.6436
880,1.6302,1.054,1.6302
890,1.6171,1.0447,1.6171
900,1.6043,1.0356,1.6043
910,1.5916,1.0266,1.5916
920,1.5791,1.0178,1.5791
930,1.5669,1.0091,1.5669
940,1.5548,1.0006,1.5548
950,1.543,0.99228,1.543
960,1.5313,0.98408,1.5313
970,1.5198,0.97602,1.5198
980,1.5085,0.9681,1.5085
990,1.4974,0.96032,1.4974
1000,1.4865,0.95267,1.4865
1100,1.3858,0.88273,1.3858
1200,1.2986,0.82288,1.2986
1300,1.2224,0.77107,1.2224
1400,1.1551,0.72574,1.1551
1500,1.0953,0.68574,1.0953
1600,1.0417,0.65016,1.0417
1700,0.99351,0.61829,0.99351
1800,0.9498,0.58958,0.9498
1900,0.91002,0.56356,0.91002
2000,0.87363,0.53987,0.87363
2100,0.84022,0.51821,0.84022
2200,0.80943,0.49831,0.80943
2300,0.78095,0.47997,0.78095
2400,0.75453,0.46301,0.75453
2500,0.72995,0.44728,0.72995
2600,0.70702,0.43264,0.70702
2700,0.68558,0.41899,0.68558
2800,0.66547,0.40622,0.66547
2900,0.64659,0.39425,0.64659
3000,0.62881,0.38301,0.62881
3100,0.61204,0.37242,0.61204
3200,0.5962,0.36244,0.5962
3300,0.58121,0.35301,0.58121
3400,0.567,0.34409,0.567
3500,0.55351,0.33563,0.55351
3600,0.54069,0.32761,0.54069
3700,0.52848,0.31998,0.52848
3800,0.51685,0.31272,0.51685
3900,0.50575,0.30579,0.50575
4000,0.49514,0.29919,0.49514
4100,0.485,0.29288,0.485
4200,0.47529,0.28685,0.47529
4300,0.46598,0.28108,0.46598
4400,0.45706,0.27554,0.45706
4500,0.44849,0.27024,0.44849
4600,0.44025,0.26514,0.44025
4700,0.43233,0.26025,0.43233
4800,0.42471,0.25554,0.42471
4900,0.41737,0.25101,0.41737
5000,0.41029,0.24665,0.41029
