E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.6435,0,0,0
13,0.013368,0.003559,0.0037917
14,0.053056,0.021007,0.021797
15,0.094118,0.045707,0.046948
16,0.13505,0.074791,0.076396
17,0.19795,0.10777,0.11026
18,0.29676,0.15204,0.1562
19,0.42876,0.21037,0.2169
20,0.56105,0.28162,0.2903
21,0.70047,0.36298,0.37387
22,0.85663,0.45474,0.46821
23,1.0206,0.55702,0.57317
24,1.181,0.66642,0.68504
25,1.3368,0.78031,0.80123
26,1.4874,0.89662,0.91969
27,1.6326,1.0137,1.0388
28,1.7747,1.1322,1.1593
29,1.9145,1.2524,1.2813
30,2.049,1.3707,1.4015
31,2.178,1.4865,1.5191
32,2.3017,1.5992,1.6336
33,2.4202,1.7085,1.7447
34,2.5337,1.8141,1.8521
35,2.6423,1.9159,1.9557
36,2.7463,2.0137,2.0554
37,2.8457,2.1076,2.1512
38,2.9408,2.1975,2.2431
39,3.0318,2.2834,2.331
40,3.1187,2.3655,2.4152
41,3.2019,2.4438,2.4957
42,3.2832,2.5203,2.5745
43,3.3634,2.5964,2.6529
44,3.4404,2.6693,2.7282
45,3.5143,2.7389,2.8004
46,3.5871,2.8074,2.8715
47,3.6571,2.8729,2.9398
48,3.7243,2.9355,3.0052
49,3.789,2.9951,3.0678
50,3.8511,3.0519,3.1278
52,3.9681,3.1573,3.24
54,4.0761,3.2525,3.3427
56,4.1758,3.3383,3.4366
58,4.2677,3.4153,3.5226
60,4.3525,3.4843,3.6014
62,4.4307,3.5459,3.6736
64,4.5027,3.6007,3.74
66,4.5691,3.6494,3.8012
68,4.6301,3.6924,3.8576
70,4.6863,3.7302,3.9099
72,4.738,3.7632,3.9585
74,4.7854,3.7919,4.0038
76,4.8289,3.8165,4.0462
78,4.8687,3.8376,4.0862
80,4.9051,3.8553,4.1239
82,4.9384,3.8699,4.1597
84,4.9687,3.8818,4.1938
86,4.9963,3.8911,4.2265
88,5.0212,3.898,4.258
90,5.0438,3.9028,4.2885
92,5.0641,3.9057,4.318
94,5.0823,3.9067,4.3467
96,5.0986,3.9061,4.3747
98,5.113,3.904,4.402
100,5.1256,3.9005,4.4288
110,5.1666,3.8663,4.5549
120,5.1778,3.8117,4.6666
130,5.1673,3.7446,4.7589
140,5.1408,3.6699,4.827
150,5.1026,3.5912,4.8692
