E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
10.1787,0,0,0
11,0.085896,0.018184,0.02189
12,0.19558,0.061049,0.068761
13,0.30434,0.11725,0.12848
14,0.40864,0.18031,0.19466
15,0.50687,0.246,0.26317
16,0.59845,0.3116,0.33137
17,0.71441,0.40722,0.42938
18,0.89323,0.58248,0.60594
19,1.0687,0.76079,0.78511
20,1.2383,0.93595,0.96093
21,1.4007,1.105,1.1306
22,1.5552,1.2665,1.2926
23,1.7014,1.4194,1.4461
24,1.8394,1.5635,1.5907
25,1.9694,1.6986,1.7266
26,2.0916,1.8249,1.8537
27,2.2063,1.9427,1.9724
28,2.314,2.0522,2.083
29,2.4149,2.1539,2.186
30,2.5095,2.2482,2.2818
31,2.5981,2.3355,2.3707
32,2.6812,2.4162,2.4533
33,2.7589,2.4908,2.5298
34,2.8318,2.5595,2.6009
35,2.9,2.6228,2.6667
36,2.9639,2.6811,2.7278
37,3.0237,2.7346,2.7843
38,3.0797,2.7838,2.8368
39,3.1321,2.8288,2.8854
40,3.1812,2.87,2.9304
41,3.2271,2.9077,2.9721
42,3.27,2.9421,3.0109
43,3.3101,2.9733,3.0468
44,3.3476,3.0017,3.0801
45,3.3827,3.0274,3.111
46,3.4154,3.0506,3.1397
47,3.4459,3.0715,3.1664
48,3.4744,3.0902,3.1912
49,3.5009,3.1069,3.2142
50,3.5257,3.1217,3.2357
52,3.57,3.1461,3.2743
54,3.6081,3.1644,3.308
56,3.6408,3.1774,3.3375
58,3.6685,3.1857,3.3634
60,3.6918,3.19,3.3863
62,3.7112,3.1908,3.4067
64,3.7269,3.1885,3.4248
66,3.7395,3.1836,3.4411
68,3.7493,3.1763,3.4558
70,3.7564,3.1671,3.4689
72,3.7611,3.156,3.4808
74,3.7638,3.1435,3.4915
76,3.7646,3.1296,3.5011
78,3.7636,3.1146,3.5097
80,3.7611,3.0987,3.5172
82,3.7572,3.0819,3.5238
84,3.752,3.0644,3.5294
86,3.7456,3.0463,3.534
88,3.7382,3.0277,3.5377
90,3.7299,3.0086,3.5403
92,3.7207,2.9893,3.5421
94,3.7108,2.9696,3.5429
96,3.7001,2.9497,3.5427
98,3.6889,2.9297,3.5416
100,3.677,2.9095,3.5396
110,3.6113,2.8082,3.5168
120,3.5384,2.7084,3.4757
130,3.4617,2.6119,3.4213
140,3.3837,2.5198,3.358
150,3.3057,2.4325,3.2897
160,3.2289,2.35,3.2189
170,3.1537,2.2722,3.1476
180,3.0807,2.199,3.0769
190,3.01,2.13,3.0077
200,2.9417,2.065,2.9403
210,2.8759,2.0038,2.875
220,2.8126,1.946,2.812
230,2.7516,1.8915,2.7513
240,2.6931,1.8399,2.6929
250,2.6368,1.7911,2.6367
260,2.5827,1.7449,2.5826
270,2.5307,1.701,2.5306
280,2.4807,1.6593,2.4807
290,2.4326,1.6197,2.4326
300,2.3863,1.582,2.3863
310,2.3418,1.5461,2.3418
320,2.2989,1.5119,2.2989
330,2.2575,1.4792,2.2575
340,2.2177,1.4479,2.2177
350,2.1792,1.418,2.1792
360,2.1422,1.3893,2.1422
370,2.1064,1.3619,2.1063
380,2.0718,1.3355,2.0718
390,2.0383,1.3103,2.0383
400,2.006,1.286,2.006
410,1.9747,1.2627,1.9747
420,1.9445,1.2403,1.9445
430,1.9151,1.2187,1.9151
440,1.8867,1.1979,1.8867
450,1.8592,1.1779,1.8592
460,1.8325,1.1585,1.8325
470,1.8066,1.1398,1.8066
480,1.7815,1.1217,1.7815
490,1.757,1.1043,1.757
500,1.7333,1.0874,1.7333
510,1.7103,1.071,1.7103
520,1.6879,1.0552,1.6879
530,1.6661,1.0399,1.6661
540,1.6448,1.025,1.6448
550,1.6242,1.0105,1.6242
560,1.6041,0.99655,1.6041
570,1.5845,0.98295,1.5845
580,1.5654,0.96975,1.5654
590,1.5468,0.95692,1.5468
600,1.5287,0.94444,1.5287
610,1.511,0.93231,1.511
620,1.4938,0.92051,1.4938
630,1.4769,0.90902,1.4769
640,1.4605,0.89784,1.4605
650,1.4444,0.88694,1.4444
660,1.4287,0.87632,1.4287
670,1.4134,0.86598,1.4134
680,1.3984,0.85589,1.3984
690,1.3838,0.84604,1.3838
700,1.3695,0.83644,1.3695
710,1.3555,0.82707,1.3555
720,1.3418,0.81792,1.3418
730,1.3283,0.80898,1.3283
740,1.3152,0.80025,1.3152
750,1.3024,0.79172,1.3024
760,1.2898,0.78338,1.2898
770,1.2774,0.77522,1.2774
780,1.2654,0.76725,1.2654
790,1.2535,0.75945,1.2535
800,1.2419,0.75181,1.2419
810,1.2305,0.74434,1.2305
820,1.2194,0.73703,1.2194
830,1.2084,0.72987,1.2084
840,1.1977,0.72285,1.1977
850,1.1872,0.71598,1.1872
860,1.1768,0.70925,1.1768
870,1.1667,0.70265,1.1667
880,1.1567,0.69618,1.1567
890,1.1469,0.68984,1.1469
900,1.1373,0.68362,1.1373
910,1.1279,0.67752,1.1279
920,1.1186,0.67153,1.1186
930,1.1095,0.66565,1.1095
940,1.1006,0.65989,1.1006
950,1.0918,0.65423,1.0918
960,1.0831,0.64867,1.0831
970,1.0746,0.64322,1.0746
980,1.0662,0.63786,1.0662
990,1.058,0.63259,1.058
1000,1.0499,0.62742,1.0499
1100,0.97576,0.58026,0.97576
1200,0.91196,0.54009,0.91196
1300,0.85648,0.50543,0.85648
1400,0.80775,0.47521,0.80775
1500,0.76459,0.4486,0.76459
1600,0.72608,0.42499,0.72608
1700,0.69149,0.40389,0.69149
1800,0.66025,0.3849,0.66025
1900,0.63187,0.36773,0.63187
2000,0.60598,0.35211,0.60598
2100,0.58225,0.33784,0.58225
2200,0.56043,0.32476,0.56043
2300,0.54028,0.31271,0.54028
2400,0.52161,0.30157,0.52161
2500,0.50427,0.29125,0.50427
2600,0.48811,0.28165,0.48811
2700,0.47302,0.27271,0.47302
2800,0.45889,0.26435,0.45889
2900,0.44563,0.25651,0.44563
3000,0.43316,0.24916,0.43316
3100,0.42141,0.24224,0.42141
3200,0.41032,0.23572,0.41032
3300,0.39983,0.22956,0.39983
3400,0.3899,0.22373,0.3899
3500,0.38048,0.21821,0.38048
3600,0.37153,0.21298,0.37153
3700,0.36302,0.208,0.36302
3800,0.35491,0.20326,0.35491
3900,0.34718,0.19875,0.34718
4000,0.33979,0.19445,0.33979
4100,0.33274,0.19034,0.33274
4200,0.32598,0.18641,0.32598
4300,0.31952,0.18265,0.31952
4400,0.31332,0.17905,0.31332
4500,0.30736,0.17559,0.30736
4600,0.30165,0.17227,0.30165
4700,0.29615,0.16909,0.29615
4800,0.29087,0.16602,0.29087
4900,0.28578,0.16308,0.28578
5000,0.28087,0.16024,0.28087
