E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
9.3194,0,0,0
10,0.030551,0.004906,0.0052341
11,0.07818,0.025751,0.026458
12,0.12588,0.056583,0.057569
13,0.17186,0.092617,0.093805
14,0.2153,0.13077,0.1321
15,0.25591,0.16907,0.17052
16,0.29367,0.20633,0.20786
17,0.32979,0.24182,0.24345
18,0.39894,0.28252,0.28479
19,0.49681,0.33552,0.33884
20,0.59848,0.39747,0.40183
21,0.69832,0.46541,0.47073
22,0.7953,0.53703,0.54325
23,0.89162,0.61254,0.61962
24,0.99188,0.69511,0.70304
25,1.0885,0.77809,0.78683
26,1.1813,0.8603,0.86983
27,1.27,0.94097,0.95126
28,1.3548,1.0195,1.0306
29,1.4356,1.0956,1.1074
30,1.5125,1.169,1.1815
31,1.5857,1.2395,1.2528
32,1.6582,1.3107,1.3248
33,1.7292,1.3819,1.3967
34,1.797,1.4503,1.4659
35,1.8617,1.5159,1.5322
36,1.9234,1.5784,1.5956
37,1.9823,1.6381,1.6561
38,2.0383,1.6948,1.7137
39,2.0918,1.7487,1.7686
40,2.1427,1.7998,1.8207
41,2.1911,1.8483,1.8703
42,2.2373,1.8942,1.9173
43,2.2813,1.9376,1.962
44,2.3231,1.9787,2.0043
45,2.363,2.0174,2.0444
46,2.4009,2.054,2.0825
47,2.437,2.0885,2.1185
48,2.4714,2.1209,2.1527
49,2.5042,2.1515,2.185
50,2.5353,2.1802,2.2156
52,2.5931,2.2326,2.2722
54,2.6455,2.2786,2.3229
56,2.6928,2.319,2.3685
58,2.7356,2.3541,2.4096
60,2.7742,2.3846,2.4467
62,2.8091,2.4109,2.4803
64,2.8404,2.4334,2.5108
66,2.8685,2.4524,2.5387
68,2.8937,2.4683,2.5642
70,2.9163,2.4814,2.5878
72,2.9363,2.4919,2.6097
74,2.9541,2.5001,2.6302
76,2.9698,2.5062,2.6495
78,2.9836,2.5105,2.6677
80,2.9956,2.513,2.6851
82,3.0059,2.514,2.7017
84,3.0148,2.5136,2.7177
86,3.0222,2.512,2.7331
88,3.0284,2.5092,2.748
90,3.0334,2.5054,2.7623
92,3.0372,2.5007,2.7761
94,3.0401,2.4951,2.7895
96,3.042,2.4888,2.8022
98,3.043,2.4818,2.8144
100,3.0432,2.4742,2.826
110,3.0338,2.4289,2.8734
120,3.0114,2.3757,2.9006
130,2.9799,2.3184,2.9073
140,2.9424,2.2593,2.8964
150,2.9008,2.2001,2.8724
160,2.8566,2.1416,2.8394
170,2.8109,2.0845,2.8005
180,2.7644,2.0293,2.7582
190,2.7177,1.976,2.7141
200,2.6712,1.9247,2.6691
210,2.6252,1.8756,2.624
220,2.5799,1.8285,2.5792
230,2.5355,1.7835,2.5351
240,2.4921,1.7404,2.4918
250,2.4496,1.6992,2.4495
260,2.4083,1.6598,2.4082
270,2.368,1.6221,2.3679
280,2.3288,1.586,2.3287
290,2.2907,1.5514,2.2907
300,2.2537,1.5183,2.2536
310,2.2177,1.4866,2.2177
320,2.1827,1.4561,2.1827
330,2.1488,1.4269,2.1488
340,2.1159,1.3989,2.1159
350,2.0839,1.3719,2.0839
360,2.0528,1.346,2.0528
370,2.0226,1.321,2.0226
380,1.9933,1.297,1.9933
390,1.9647,1.2739,1.9647
400,1.937,1.2516,1.937
410,1.9101,1.2302,1.9101
420,1.8839,1.2095,1.8839
430,1.8584,1.1895,1.8584
440,1.8336,1.1702,1.8336
450,1.8095,1.1515,1.8095
460,1.786,1.1335,1.786
470,1.7632,1.116,1.7632
480,1.7409,1.0991,1.7409
490,1.7192,1.0827,1.7192
500,1.698,1.0668,1.698
510,1.6774,1.0515,1.6774
520,1.6573,1.0365,1.6573
530,1.6377,1.022,1.6377
540,1.6185,1.008,1.6185
550,1.5999,0.99433,1.5999
560,1.5816,0.98107,1.5816
570,1.5638,0.96818,1.5638
580,1.5465,0.95564,1.5465
590,1.5295,0.94344,1.5295
600,1.5129,0.93157,1.5129
610,1.4966,0.92001,1.4966
620,1.4808,0.90875,1.4808
630,1.4653,0.89778,1.4653
640,1.4501,0.88709,1.4501
650,1.4352,0.87666,1.4352
660,1.4207,0.86649,1.4207
670,1.4065,0.85657,1.4065
680,1.3926,0.84688,1.3926
690,1.3789,0.83743,1.3789
700,1.3656,0.8282,1.3656
710,1.3525,0.81918,1.3525
720,1.3397,0.81036,1.3397
730,1.3271,0.80175,1.3271
740,1.3148,0.79333,1.3148
750,1.3027,0.7851,1.3027
760,1.2909,0.77704,1.2909
770,1.2792,0.76916,1.2792
780,1.2678,0.76145,1.2678
790,1.2567,0.7539,1.2567
800,1.2457,0.7465,1.2457
810,1.2349,0.73926,1.2349
820,1.2243,0.73217,1.2243
830,1.2139,0.72523,1.2139
840,1.2037,0.71841,1.2037
850,1.1937,0.71174,1.1937
860,1.1839,0.7052,1.1839
870,1.1742,0.69878,1.1742
880,1.1647,0.69249,1.1647
890,1.1553,0.68631,1.1553
900,1.1461,0.68025,1.1461
910,1.1371,0.67431,1.1371
920,1.1282,0.66847,1.1282
930,1.1195,0.66274,1.1195
940,1.1109,0.65712,1.1109
950,1.1024,0.65159,1.1024
960,1.0941,0.64617,1.0941
970,1.0859,0.64083,1.0859
980,1.0779,0.6356,1.0779
990,1.07,0.63045,1.07
1000,1.0622,0.62539,1.0622
1100,0.9903,0.57917,0.9903
1200,0.9281,0.53967,0.9281
1300,0.87369,0.50551,0.87369
1400,0.82567,0.47564,0.82567
1500,0.78296,0.44931,0.78296
1600,0.74472,0.4259,0.74472
1700,0.71026,0.40494,0.71026
1800,0.67904,0.38607,0.67904
1900,0.65062,0.36897,0.65062
2000,0.62462,0.35341,0.62462
2100,0.60075,0.33919,0.60075
2200,0.57874,0.32613,0.57874
2300,0.55839,0.3141,0.55839
2400,0.53951,0.30297,0.53951
2500,0.52194,0.29266,0.52194
2600,0.50555,0.28306,0.50555
2700,0.49022,0.27411,0.49022
2800,0.47585,0.26574,0.47585
2900,0.46235,0.25789,0.46235
3000,0.44964,0.25052,0.44964
3100,0.43765,0.24359,0.43765
3200,0.42633,0.23705,0.42633
3300,0.41561,0.23087,0.41561
3400,0.40545,0.22503,0.40545
3500,0.39581,0.21949,0.39581
3600,0.38664,0.21423,0.38664
3700,0.37791,0.20924,0.37791
3800,0.36959,0.20448,0.36959
3900,0.36165,0.19995,0.36165
4000,0.35407,0.19563,0.35407
4100,0.34682,0.1915,0.34682
4200,0.33987,0.18755,0.33987
4300,0.33322,0.18377,0.33322
4400,0.32684,0.18015,0.32684
4500,0.32071,0.17668,0.32071
4600,0.31482,0.17335,0.31482
4700,0.30916,0.17014,0.30916
4800,0.30371,0.16706,0.30371
4900,0.29845,0.1641,0.29845
5000,0.29339,0.16124,0.29339
