E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
9.5833,0,0,0
10,0.016276,0.003275,0.0034439
11,0.057935,0.020352,0.020866
12,0.10044,0.045528,0.046319
13,0.14187,0.074875,0.07589
14,0.20948,0.10855,0.11016
15,0.32444,0.15738,0.16019
16,0.43948,0.22052,0.22439
17,0.55192,0.29262,0.29744
18,0.66025,0.36974,0.37543
19,0.7743,0.44971,0.45641
20,0.91951,0.53961,0.54785
21,1.0719,0.63974,0.64961
22,1.2199,0.74581,0.7572
23,1.3707,0.86045,0.87335
24,1.5187,0.9793,0.99365
25,1.6609,1.0985,1.1143
26,1.7971,1.2167,1.2337
27,1.9273,1.3326,1.351
28,2.0513,1.4456,1.4653
29,2.1695,1.5551,1.5761
30,2.2819,1.6607,1.6831
31,2.3887,1.7622,1.786
32,2.4902,1.8595,1.8846
33,2.5866,1.9523,1.9789
34,2.6782,2.0409,2.0689
35,2.7651,2.1251,2.1547
36,2.8476,2.2051,2.2364
37,2.9259,2.281,2.314
38,3.003,2.3548,2.3896
39,3.0767,2.4255,2.4622
40,3.147,2.4927,2.5314
41,3.2139,2.5565,2.5974
42,3.2781,2.6176,2.6607
43,3.3412,2.6778,2.7233
44,3.4014,2.7351,2.7831
45,3.4589,2.7895,2.8401
46,3.5137,2.8411,2.8944
47,3.566,2.89,2.9463
48,3.6159,2.9363,2.9956
49,3.6635,2.9801,3.0426
50,3.7089,3.0215,3.0874
52,3.7934,3.0974,3.1707
54,3.8702,3.1648,3.2463
56,3.94,3.2244,3.3151
58,4.0032,3.2771,3.3778
60,4.0605,3.3233,3.4351
62,4.1123,3.3636,3.4876
64,4.1592,3.3986,3.5359
66,4.2014,3.4288,3.5806
68,4.2394,3.4546,3.6221
70,4.2735,3.4763,3.6609
72,4.304,3.4945,3.6973
74,4.3313,3.5094,3.7318
76,4.3554,3.5212,3.7646
78,4.3768,3.5303,3.7959
80,4.3955,3.537,3.826
82,4.4119,3.5414,3.8551
84,4.426,3.5437,3.8832
86,4.4381,3.5442,3.9104
88,4.4482,3.543,3.9369
90,4.4566,3.5403,3.9627
92,4.4634,3.5362,3.9877
94,4.4686,3.5308,4.0119
96,4.4725,3.5242,4.0354
98,4.475,3.5166,4.058
100,4.4763,3.5081,4.0796
110,4.4673,3.4542,4.1718
120,4.4387,3.3873,4.2321
130,4.3963,3.3131,4.259
140,4.3444,3.2353,4.2565
150,4.2863,3.1561,4.2313
160,4.2239,3.0772,4.1901
170,4.159,2.9996,4.1385
180,4.0926,2.9239,4.0803
190,4.0257,2.8505,4.0183
200,3.9589,2.7797,3.9545
210,3.8926,2.7114,3.89
220,3.8272,2.6458,3.8257
230,3.7629,2.5829,3.762
240,3.6999,2.5225,3.6994
250,3.6383,2.4646,3.638
260,3.5781,2.4091,3.5779
270,3.5194,2.3558,3.5193
280,3.4623,2.3048,3.4622
290,3.4067,2.2558,3.4066
300,3.3526,2.2089,3.3525
310,3.2999,2.1638,3.2999
320,3.2488,2.1204,3.2488
330,3.1991,2.0788,3.1991
340,3.1508,2.0388,3.1508
350,3.1038,2.0003,3.1038
360,3.0582,1.9632,3.0582
370,3.0138,1.9275,3.0138
380,2.9707,1.8931,2.9707
390,2.9288,1.8599,2.9288
400,2.888,1.8279,2.888
410,2.8483,1.7971,2.8483
420,2.8097,1.7673,2.8097
430,2.7722,1.7385,2.7722
440,2.7356,1.7107,2.7356
450,2.7,1.6838,2.7
460,2.6654,1.6578,2.6654
470,2.6316,1.6326,2.6316
480,2.5987,1.6081,2.5987
490,2.5666,1.5844,2.5666
500,2.5354,1.5615,2.5354
510,2.5049,1.5392,2.5049
520,2.4752,1.5176,2.4752
530,2.4462,1.4966,2.4462
540,2.4178,1.4762,2.4178
550,2.3902,1.4565,2.3902
560,2.3632,1.4372,2.3632
570,2.3368,1.4185,2.3368
580,2.3111,1.4003,2.3111
590,2.2859,1.3826,2.2859
600,2.2613,1.3654,2.2613
610,2.2373,1.3486,2.2373
620,2.2138,1.3322,2.2138
630,2.1908,1.3162,2.1908
640,2.1682,1.3007,2.1682
650,2.1462,1.2855,2.1462
660,2.1247,1.2707,2.1247
670,2.1035,1.2563,2.1035
680,2.0829,1.2422,2.0829
