E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
13.5869,0,0,0
14,0.0077645,0.000491,0.00089493
15,0.027572,0.00519,0.0064769
16,0.057469,0.01409,0.016672
17,0.1061,0.030571,0.035225
18,0.15758,0.053755,0.060377
19,0.21619,0.083263,0.092038
20,0.27391,0.11778,0.12845
21,0.33007,0.15564,0.16798
22,0.38427,0.19556,0.20937
23,0.43628,0.23655,0.25167
24,0.486,0.27786,0.29415
25,0.5334,0.31892,0.33629
26,0.5785,0.35931,0.37767
27,0.62134,0.39873,0.41802
28,0.66201,0.43695,0.45712
29,0.70059,0.47382,0.49483
30,0.73718,0.50924,0.53108
31,0.77186,0.54315,0.5658
32,0.80473,0.57552,0.59898
33,0.83961,0.61346,0.63739
34,0.87356,0.65151,0.67578
35,0.90606,0.68806,0.71269
36,0.93717,0.723,0.748
37,0.96691,0.7563,0.78169
38,0.99534,0.78797,0.81379
39,1.0225,0.81802,0.84431
40,1.0485,0.8465,0.87332
41,1.0733,0.87347,0.90085
42,1.0969,0.89897,0.92697
43,1.1195,0.92306,0.95174
44,1.1411,0.94579,0.97522
45,1.1617,0.96724,0.99746
46,1.1814,0.98744,1.0185
47,1.2001,1.0065,1.0385
48,1.2181,1.0244,1.0574
49,1.2351,1.0412,1.0753
50,1.2515,1.057,1.0922
52,1.2819,1.0858,1.1235
54,1.3096,1.111,1.1515
56,1.3348,1.1331,1.1767
58,1.3577,1.1523,1.1993
60,1.3785,1.169,1.2197
62,1.3973,1.1834,1.2381
64,1.4145,1.1956,1.2548
66,1.43,1.206,1.2698
68,1.444,1.2147,1.2835
70,1.4566,1.2219,1.296
72,1.468,1.2277,1.3075
74,1.4782,1.2322,1.318
76,1.4873,1.2357,1.3276
78,1.4954,1.2381,1.3366
80,1.5026,1.2397,1.3449
82,1.509,1.2404,1.3527
84,1.5146,1.2404,1.3599
86,1.5194,1.2397,1.3667
88,1.5236,1.2384,1.3731
90,1.5271,1.2366,1.3792
92,1.5301,1.2343,1.3849
94,1.5325,1.2315,1.3903
96,1.5344,1.2284,1.3954
98,1.5358,1.2249,1.4002
100,1.5368,1.2211,1.4048
110,1.5362,1.1983,1.424
120,1.5285,1.1715,1.4371
130,1.5158,1.1425,1.444
140,1.4996,1.1128,1.4449
150,1.481,1.083,1.4402
160,1.4607,1.0536,1.4309
170,1.4394,1.025,1.4179
