E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
13.26,0,0,0
14,0.045859,0.00523,0.0065992
15,0.12434,0.029376,0.032695
16,0.20455,0.067599,0.072563
17,0.28407,0.11521,0.12156
18,0.36148,0.16874,0.17625
19,0.43599,0.22564,0.23414
20,0.52309,0.28575,0.2957
21,0.63728,0.35768,0.36983
22,0.75078,0.43668,0.45083
23,0.86137,0.51988,0.53582
24,0.96839,0.60533,0.6229
25,1.0715,0.69159,0.71064
26,1.1713,0.77753,0.798
27,1.2748,0.86326,0.88543
28,1.3743,0.94857,0.97234
29,1.4699,1.0328,1.0581
30,1.5614,1.1154,1.1421
31,1.6489,1.196,1.2241
32,1.7326,1.2742,1.3037
33,1.8125,1.3499,1.3808
34,1.8888,1.423,1.4551
35,1.9616,1.4933,1.5267
36,2.031,1.5607,1.5956
37,2.0991,1.6272,1.6634
38,2.1653,1.6923,1.7298
39,2.2286,1.7564,1.7952
40,2.2892,1.8204,1.8603
41,2.347,1.882,1.9229
42,2.4024,1.941,1.9831
43,2.4553,1.9976,2.0408
44,2.5058,2.0517,2.096
45,2.5547,2.1038,2.1493
46,2.6028,2.1547,2.2015
47,2.6489,2.2035,2.2516
48,2.6931,2.2502,2.2997
49,2.7354,2.2949,2.3457
50,2.7759,2.3375,2.3898
52,2.8519,2.4169,2.4723
54,2.9215,2.4889,2.5478
56,2.9853,2.5541,2.6168
58,3.0437,2.613,2.6797
60,3.0971,2.666,2.7372
62,3.146,2.7137,2.7896
64,3.1906,2.7564,2.8375
66,3.2313,2.7945,2.8812
68,3.2685,2.8283,2.9212
70,3.3023,2.8584,2.9577
72,3.3331,2.8848,2.9911
74,3.361,2.908,3.0217
76,3.3862,2.9282,3.0498
78,3.409,2.9457,3.0756
80,3.4296,2.9606,3.0994
82,3.448,2.9732,3.1213
84,3.4645,2.9837,3.1415
86,3.4792,2.9922,3.1602
88,3.4922,2.9989,3.1776
90,3.5036,3.004,3.1938
92,3.5135,3.0075,3.2088
94,3.5221,3.0097,3.2228
96,3.5294,3.0105,3.2359
98,3.5356,3.0102,3.2482
100,3.5406,3.0088,3.2597
110,3.5515,2.9886,3.307
120,3.544,2.952,3.3397
130,3.5232,2.905,3.3591
140,3.493,2.8515,3.3656
150,3.4562,2.7944,3.36
160,3.4146,2.7353,3.3437
170,3.3699,2.6757,3.3185
180,3.3231,2.6163,3.2863
190,3.275,2.5577,3.249
200,3.2263,2.5004,3.208
210,3.1773,2.4446,3.1646
220,3.1285,2.3904,3.1197
230,3.0802,2.338,3.0741
240,3.0324,2.2873,3.0282
250,2.9855,2.2384,2.9825
260,2.9393,2.1912,2.9373
270,2.8941,2.1457,2.8928
280,2.8499,2.1019,2.849
290,2.8067,2.0597,2.8061
300,2.7645,2.0191,2.7641
310,2.7234,1.9799,2.7231
320,2.6832,1.9422,2.683
330,2.6441,1.9058,2.644
340,2.606,1.8708,2.6059
350,2.5689,1.8369,2.5688
360,2.5327,1.8043,2.5327
370,2.4975,1.7728,2.4974
380,2.4632,1.7424,2.4631
390,2.4297,1.713,2.4297
400,2.3972,1.6846,2.3972
410,2.3654,1.6571,2.3654
420,2.3345,1.6305,2.3345
430,2.3044,1.6048,2.3044
440,2.275,1.5799,2.275
450,2.2464,1.5558,2.2464
460,2.2185,1.5324,2.2185
470,2.1912,1.5097,2.1912
480,2.1647,1.4877,2.1647
490,2.1388,1.4664,2.1388
500,2.1135,1.4457,2.1135
510,2.0888,1.4255,2.0888
520,2.0647,1.406,2.0647
530,2.0411,1.387,2.0411
540,2.0181,1.3686,2.0181
550,1.9957,1.3507,1.9957
560,1.9737,1.3333,1.9737
570,1.9523,1.3163,1.9523
580,1.9313,1.2998,1.9313
590,1.9108,1.2837,1.9108
600,1.8907,1.268,1.8907
610,1.8711,1.2528,1.8711
620,1.8518,1.2379,1.8518
630,1.833,1.2234,1.833
640,1.8146,1.2092,1.8146
650,1.7966,1.1954,1.7966
660,1.779,1.1819,1.779
670,1.7617,1.1687,1.7617
680,1.7447,1.1558,1.7447
690,1.7281,1.1433,1.7281
700,1.7118,1.131,1.7118
710,1.6959,1.119,1.6959
720,1.6802,1.1072,1.6802
730,1.6649,1.0957,1.6649
740,1.6498,1.0845,1.6498
750,1.6351,1.0735,1.6351
760,1.6206,1.0627,1.6206
770,1.6064,1.0522,1.6064
780,1.5924,1.0419,1.5924
790,1.5787,1.0318,1.5787
800,1.5652,1.0219,1.5652
810,1.552,1.0122,1.552
820,1.539,1.0027,1.539
830,1.5263,0.99333,1.5263
840,1.5137,0.98419,1.5137
850,1.5014,0.97523,1.5014
860,1.4893,0.96644,1.4893
