r(m),T(K)
0.00000e+00,9.70245e+03
2.00000e-05,9.70243e+03
4.00000e-05,9.70239e+03
6.00000e-05,9.70234e+03
8.00000e-05,9.70228e+03
1.00000e-04,9.70222e+03
1.20000e-04,9.70215e+03
1.40000e-04,9.70207e+03
1.60000e-04,9.70197e+03
1.80000e-04,9.70188e+03
2.00000e-04,9.70177e+03
2.20000e-04,9.70166e+03
2.40000e-04,9.70155e+03
2.60000e-04,9.70142e+03
2.80000e-04,9.70129e+03
3.00000e-04,9.70114e+03
3.20000e-04,9.70100e+03
3.40000e-04,9.70084e+03
3.60000e-04,9.70068e+03
3.80000e-04,9.70051e+03
4.00000e-04,9.70033e+03
4.20000e-04,9.70014e+03
4.40000e-04,9.69995e+03
4.60000e-04,9.69975e+03
4.80000e-04,9.69954e+03
5.00000e-04,9.69932e+03
5.20000e-04,9.69910e+03
5.40000e-04,9.69887e+03
5.60000e-04,9.69863e+03
5.80000e-04,9.69838e+03
6.00000e-04,9.69813e+03
6.20000e-04,9.69786e+03
6.40000e-04,9.69759e+03
6.60000e-04,9.69732e+03
6.80000e-04,9.69703e+03
7.00000e-04,9.69673e+03
7.20000e-04,9.69643e+03
7.40000e-04,9.69612e+03
7.60000e-04,9.69580e+03
7.80000e-04,9.69548e+03
8.00000e-04,9.69514e+03
8.20000e-04,9.69480e+03
8.40000e-04,9.69445e+03
8.60000e-04,9.69409e+03
8.80000e-04,9.69372e+03
9.00000e-04,9.69334e+03
9.20000e-04,9.69295e+03
9.40000e-04,9.69255e+03
9.60000e-04,9.69215e+03
9.80000e-04,9.69173e+03
1.00000e-03,9.69131e+03
1.02000e-03,9.69088e+03
1.04000e-03,9.69044e+03
1.06000e-03,9.68999e+03
1.08000e-03,9.68953e+03
1.10000e-03,9.68906e+03
1.12000e-03,9.68858e+03
1.14000e-03,9.68809e+03
1.16000e-03,9.68759e+03
1.18000e-03,9.68708e+03
1.20000e-03,9.68657e+03
1.22000e-03,9.68603e+03
1.24000e-03,9.68549e+03
1.26000e-03,9.68494e+03
1.28000e-03,9.68438e+03
1.30000e-03,9.68381e+03
1.32000e-03,9.68323e+03
1.34000e-03,9.68263e+03
1.36000e-03,9.68203e+03
1.38000e-03,9.68141e+03
1.40000e-03,9.68079e+03
1.42000e-03,9.68015e+03
1.44000e-03,9.67950e+03
1.46000e-03,9.67884e+03
1.48000e-03,9.67817e+03
1.50000e-03,9.67748e+03
1.52000e-03,9.67679e+03
1.54000e-03,9.67608e+03
1.56000e-03,9.67536e+03
1.58000e-03,9.67463e+03
1.60000e-03,9.67388e+03
1.62000e-03,9.67313e+03
1.64000e-03,9.67236e+03
1.66000e-03,9.67157e+03
1.68000e-03,9.67078e+03
1.70000e-03,9.66997e+03
1.72000e-03,9.66915e+03
1.74000e-03,9.66831e+03
1.76000e-03,9.66747e+03
1.78000e-03,9.66660e+03
1.80000e-03,9.66573e+03
1.82000e-03,9.66484e+03
1.84000e-03,9.66393e+03
1.86000e-03,9.66301e+03
1.88000e-03,9.66208e+03
1.90000e-03,9.66113e+03
1.92000e-03,9.66017e+03
1.94000e-03,9.65919e+03
1.96000e-03,9.65819e+03
1.98000e-03,9.65718e+03
2.00000e-03,9.65616e+03
2.02000e-03,9.65512e+03
2.04000e-03,9.65406e+03
2.06000e-03,9.65298e+03
2.08000e-03,9.65189e+03
2.10000e-03,9.65078e+03
2.12000e-03,9.64966e+03
2.14000e-03,9.64852e+03
2.16000e-03,9.64736e+03
2.18000e-03,9.64618e+03
2.20000e-03,9.64499e+03
2.22000e-03,9.64378e+03
2.24000e-03,9.64255e+03
2.26000e-03,9.64130e+03
2.28000e-03,9.64004e+03
2.30000e-03,9.63875e+03
2.32000e-03,9.63745e+03
2.34000e-03,9.63612e+03
2.36000e-03,9.63478e+03
2.38000e-03,9.63342e+03
2.40000e-03,9.63203e+03
2.42000e-03,9.63063e+03
2.44000e-03,9.62920e+03
2.46000e-03,9.62776e+03
2.48000e-03,9.62629e+03
2.50000e-03,9.62481e+03
2.52000e-03,9.62330e+03
2.54000e-03,9.62177e+03
2.56000e-03,9.62021e+03
2.58000e-03,9.61864e+03
2.60000e-03,9.61704e+03
2.62000e-03,9.61542e+03
2.64000e-03,9.61377e+03
2.66000e-03,9.61210e+03
2.68000e-03,9.61041e+03
2.70000e-03,9.60869e+03
2.72000e-03,9.60695e+03
2.74000e-03,9.60518e+03
2.76000e-03,9.60339e+03
2.78000e-03,9.60157e+03
2.80000e-03,9.59973e+03
2.82000e-03,9.59785e+03
2.84000e-03,9.59595e+03
2.86000e-03,9.59403e+03
2.88000e-03,9.59207e+03
2.90000e-03,9.59009e+03
2.92000e-03,9.58808e+03
2.94000e-03,9.58604e+03
2.96000e-03,9.58397e+03
2.98000e-03,9.58187e+03
3.00000e-03,9.57974e+03
3.02000e-03,9.57758e+03
3.04000e-03,9.57539e+03
3.06000e-03,9.57317e+03
3.08000e-03,9.57092e+03
3.10000e-03,9.56863e+03
3.12000e-03,9.56632e+03
3.14000e-03,9.56397e+03
3.16000e-03,9.56158e+03
3.18000e-03,9.55917e+03
3.20000e-03,9.55672e+03
3.22000e-03,9.55423e+03
3.24000e-03,9.55171e+03
3.26000e-03,9.54915e+03
3.28000e-03,9.54656e+03
3.30000e-03,9.54392e+03
3.32000e-03,9.54126e+03
3.34000e-03,9.53855e+03
3.36000e-03,9.53580e+03
3.38000e-03,9.53302e+03
3.40000e-03,9.53019e+03
3.42000e-03,9.52733e+03
3.44000e-03,9.52442e+03
3.46000e-03,9.52148e+03
3.48000e-03,9.51849e+03
3.50000e-03,9.51546e+03
3.52000e-03,9.51238e+03
3.54000e-03,9.50927e+03
3.56000e-03,9.50610e+03
3.58000e-03,9.50290e+03
3.60000e-03,9.49964e+03
3.62000e-03,9.49635e+03
3.64000e-03,9.49300e+03
3.66000e-03,9.48961e+03
3.68000e-03,9.48617e+03
3.70000e-03,9.48268e+03
3.72000e-03,9.47914e+03
3.74000e-03,9.47555e+03
3.76000e-03,9.47191e+03
3.78000e-03,9.46822e+03
3.80000e-03,9.46448e+03
3.82000e-03,9.46068e+03
3.84000e-03,9.45683e+03
3.86000e-03,9.45293e+03
3.88000e-03,9.44897e+03
3.90000e-03,9.44495e+03
3.92000e-03,9.44088e+03
3.94000e-03,9.43675e+03
3.96000e-03,9.43256e+03
3.98000e-03,9.42831e+03
4.00000e-03,9.42401e+03
4.02000e-03,9.41964e+03
4.04000e-03,9.41521e+03
4.06000e-03,9.41071e+03
4.08000e-03,9.40616e+03
4.10000e-03,9.40153e+03
4.12000e-03,9.39685e+03
4.14000e-03,9.39210e+03
4.16000e-03,9.38728e+03
4.18000e-03,9.38239e+03
4.20000e-03,9.37743e+03
4.22000e-03,9.37241e+03
4.24000e-03,9.36731e+03
4.26000e-03,9.36214e+03
4.28000e-03,9.35690e+03
4.30000e-03,9.35158e+03
4.32000e-03,9.34619e+03
4.34000e-03,9.34072e+03
4.36000e-03,9.33518e+03
4.38000e-03,9.32955e+03
4.40000e-03,9.32385e+03
4.42000e-03,9.31807e+03
4.44000e-03,9.31220e+03
4.46000e-03,9.30625e+03
4.48000e-03,9.30022e+03
4.50000e-03,9.29410e+03
4.52000e-03,9.28789e+03
4.54000e-03,9.28159e+03
4.56000e-03,9.27521e+03
4.58000e-03,9.26873e+03
4.60000e-03,9.26216e+03
4.62000e-03,9.25550e+03
4.64000e-03,9.24875e+03
4.66000e-03,9.24189e+03
4.68000e-03,9.23494e+03
4.70000e-03,9.22789e+03
4.72000e-03,9.22074e+03
4.74000e-03,9.21348e+03
4.76000e-03,9.20613e+03
4.78000e-03,9.19866e+03
4.80000e-03,9.19110e+03
4.82000e-03,9.18342e+03
4.84000e-03,9.17563e+03
4.86000e-03,9.16773e+03
4.88000e-03,9.15972e+03
4.90000e-03,9.15159e+03
4.92000e-03,9.14335e+03
4.94000e-03,9.13499e+03
4.96000e-03,9.12651e+03
4.98000e-03,9.11791e+03
5.00000e-03,9.10918e+03
5.02000e-03,9.10033e+03
5.04000e-03,9.09135e+03
5.06000e-03,9.08225e+03
5.08000e-03,9.07301e+03
5.10000e-03,9.06364e+03
5.12000e-03,9.05414e+03
5.14000e-03,9.04450e+03
5.16000e-03,9.03472e+03
5.18000e-03,9.02480e+03
5.20000e-03,9.01474e+03
5.22000e-03,9.00453e+03
5.24000e-03,8.99418e+03
5.26000e-03,8.98367e+03
5.28000e-03,8.97302e+03
5.30000e-03,8.96221e+03
5.32000e-03,8.95125e+03
5.34000e-03,8.94013e+03
5.36000e-03,8.92885e+03
5.38000e-03,8.91740e+03
5.40000e-03,8.90579e+03
5.42000e-03,8.89401e+03
5.44000e-03,8.88206e+03
5.46000e-03,8.86994e+03
5.48000e-03,8.85765e+03
5.50000e-03,8.84517e+03
5.52000e-03,8.83252e+03
5.54000e-03,8.81968e+03
5.56000e-03,8.80665e+03
5.58000e-03,8.79343e+03
5.60000e-03,8.78002e+03
5.62000e-03,8.76642e+03
5.64000e-03,8.75262e+03
5.66000e-03,8.73861e+03
5.68000e-03,8.72440e+03
5.70000e-03,8.70998e+03
5.72000e-03,8.69535e+03
5.74000e-03,8.68051e+03
5.76000e-03,8.66544e+03
5.78000e-03,8.65016e+03
5.80000e-03,8.63465e+03
5.82000e-03,8.61891e+03
5.84000e-03,8.60294e+03
5.86000e-03,8.58673e+03
5.88000e-03,8.57029e+03
5.90000e-03,8.55360e+03
5.92000e-03,8.53667e+03
5.94000e-03,8.51948e+03
5.96000e-03,8.50205e+03
5.98000e-03,8.48435e+03
6.00000e-03,8.46639e+03
6.02000e-03,8.44817e+03
6.04000e-03,8.42967e+03
6.06000e-03,8.41090e+03
6.08000e-03,8.39185e+03
6.10000e-03,8.37252e+03
6.12000e-03,8.35289e+03
6.14000e-03,8.33298e+03
6.16000e-03,8.31277e+03
6.18000e-03,8.29225e+03
6.20000e-03,8.27143e+03
6.22000e-03,8.25029e+03
6.24000e-03,8.22884e+03
6.26000e-03,8.20706e+03
6.28000e-03,8.18496e+03
6.30000e-03,8.16253e+03
6.32000e-03,8.13975e+03
6.34000e-03,8.11663e+03
6.36000e-03,8.09317e+03
6.38000e-03,8.06935e+03
6.40000e-03,8.04517e+03
6.42000e-03,8.02062e+03
6.44000e-03,7.99570e+03
6.46000e-03,7.97041e+03
6.48000e-03,7.94473e+03
6.50000e-03,7.91866e+03
6.52000e-03,7.89220e+03
6.54000e-03,7.86533e+03
6.56000e-03,7.83806e+03
6.58000e-03,7.81037e+03
6.60000e-03,7.78226e+03
6.62000e-03,7.75372e+03
6.64000e-03,7.72476e+03
6.66000e-03,7.69535e+03
6.68000e-03,7.66549e+03
6.70000e-03,7.63519e+03
6.72000e-03,7.60442e+03
6.74000e-03,7.57318e+03
6.76000e-03,7.54148e+03
6.78000e-03,7.50929e+03
6.80000e-03,7.47662e+03
6.82000e-03,7.44346e+03
6.84000e-03,7.40979e+03
6.86000e-03,7.37562e+03
6.88000e-03,7.34094e+03
6.90000e-03,7.30575e+03
6.92000e-03,7.27002e+03
6.94000e-03,7.23377e+03
6.96000e-03,7.19698e+03
6.98000e-03,7.15965e+03
7.00000e-03,7.12178e+03
7.02000e-03,7.08335e+03
7.04000e-03,7.04436e+03
7.06000e-03,7.00482e+03
7.08000e-03,6.96471e+03
7.10000e-03,6.92402e+03
7.12000e-03,6.88277e+03
7.14000e-03,6.84094e+03
7.16000e-03,6.79853e+03
7.18000e-03,6.75554e+03
7.20000e-03,6.71197e+03
7.22000e-03,6.66781e+03
7.24000e-03,6.62307e+03
7.26000e-03,6.57774e+03
7.28000e-03,6.53183e+03
7.30000e-03,6.48534e+03
7.32000e-03,6.43826e+03
7.34000e-03,6.39060e+03
7.36000e-03,6.34237e+03
7.38000e-03,6.29356e+03
7.40000e-03,6.24418e+03
7.42000e-03,6.19423e+03
7.44000e-03,6.14373e+03
7.46000e-03,6.09267e+03
7.48000e-03,6.04106e+03
7.50000e-03,5.98891e+03
7.52000e-03,5.93623e+03
7.54000e-03,5.88302e+03
7.56000e-03,5.82929e+03
7.58000e-03,5.77506e+03
7.60000e-03,5.72033e+03
7.62000e-03,5.66511e+03
7.64000e-03,5.60941e+03
7.66000e-03,5.55325e+03
7.68000e-03,5.49664e+03
7.70000e-03,5.43958e+03
7.72000e-03,5.38209e+03
7.74000e-03,5.32418e+03
7.76000e-03,5.26588e+03
7.78000e-03,5.20719e+03
7.80000e-03,5.14813e+03
7.82000e-03,5.08872e+03
7.84000e-03,5.02899e+03
7.86000e-03,4.96897e+03
7.88000e-03,4.90867e+03
7.90000e-03,4.84814e+03
7.92000e-03,4.78741e+03
7.94000e-03,4.72654e+03
7.96000e-03,4.66557e+03
7.98000e-03,4.60457e+03
8.00000e-03,4.54362e+03
8.02000e-03,4.48280e+03
8.04000e-03,4.42220e+03
8.06000e-03,4.36195e+03
8.08000e-03,4.30215e+03
8.10000e-03,4.24295e+03
8.12000e-03,4.18449e+03
8.14000e-03,4.12691e+03
8.16000e-03,4.07036e+03
8.18000e-03,4.01497e+03
8.20000e-03,3.96087e+03
8.22000e-03,3.90816e+03
8.24000e-03,3.85693e+03
8.26000e-03,3.80721e+03
8.28000e-03,3.75904e+03
8.30000e-03,3.71241e+03
8.32000e-03,3.66730e+03
8.34000e-03,3.62367e+03
8.36000e-03,3.58146e+03
8.38000e-03,3.54062e+03
8.40000e-03,3.50108e+03
8.42000e-03,3.46279e+03
8.44000e-03,3.42570e+03
