r(m),T(K)
0,6872.33
2.00E-05,6872.31
4.01E-05,6872.27
6.01E-05,6872.21
8.02E-05,6872.12
0.0001002,6872
0.00012024,6871.85
0.000140281,6871.68
0.000160321,6871.49
0.000180361,6871.26
0.000200401,6871.01
0.000220441,6870.74
0.000240481,6870.43
0.000260521,6870.1
0.000280561,6869.75
0.000300601,6869.36
0.000320641,6868.96
0.000340681,6868.52
0.000360721,6868.06
0.000380762,6867.57
0.000400802,6867.05
0.000420842,6866.51
0.000440882,6865.94
0.000460922,6865.35
0.000480962,6864.73
0.000501002,6864.08
0.000521042,6863.4
0.000541082,6862.7
0.000561122,6861.97
0.000581162,6861.21
0.000601202,6860.43
0.000621242,6859.62
0.000641283,6858.78
0.000661323,6857.92
0.000681363,6857.03
0.000701403,6856.11
0.000721443,6855.16
0.000741483,6854.19
0.000761523,6853.19
0.000781563,6852.16
0.000801603,6851.1
0.000821643,6850.02
0.000841683,6848.91
0.000861723,6847.77
0.000881764,6846.6
0.000901804,6845.41
0.000921844,6844.19
0.000941884,6842.94
0.000961924,6841.66
0.000981964,6840.35
0.001002,6839.02
0.00102204,6837.66
0.00104208,6836.27
0.00106212,6834.85
0.00108216,6833.4
0.0011022,6831.92
0.00112224,6830.42
0.00114228,6828.88
0.00116232,6827.32
0.00118236,6825.73
0.0012024,6824.11
0.00122244,6822.46
0.00124248,6820.78
0.00126253,6819.07
0.00128257,6817.34
0.00130261,6815.57
0.00132265,6813.77
0.00134269,6811.95
0.00136273,6810.09
0.00138277,6808.21
0.00140281,6806.29
0.00142285,6804.35
0.00144289,6802.37
0.00146293,6800.36
0.00148297,6798.33
0.00150301,6796.26
0.00152305,6794.16
0.00154309,6792.03
0.00156313,6789.87
0.00158317,6787.68
0.00160321,6785.46
0.00162325,6783.21
0.00164329,6780.93
0.00166333,6778.61
0.00168337,6776.26
0.00170341,6773.88
0.00172345,6771.47
0.00174349,6769.03
0.00176353,6766.56
0.00178357,6764.05
0.00180361,6761.51
0.00182365,6758.94
0.00184369,6756.33
0.00186373,6753.69
0.00188377,6751.02
0.00190381,6748.32
0.00192385,6745.58
0.00194389,6742.81
0.00196393,6740
0.00198397,6737.17
0.00200401,6734.29
0.00202405,6731.39
0.00204409,6728.45
0.00206413,6725.47
0.00208417,6722.46
0.00210421,6719.42
0.00212425,6716.34
0.00214429,6713.22
0.00216433,6710.07
0.00218437,6706.89
0.00220441,6703.66
0.00222445,6700.41
0.00224449,6697.11
0.00226453,6693.79
0.00228457,6690.42
0.00230461,6687.02
0.00232465,6683.58
0.00234469,6680.1
0.00236473,6676.59
0.00238477,6673.04
0.00240481,6669.45
0.00242485,6665.83
0.00244489,6662.16
0.00246493,6658.46
0.00248497,6654.72
0.00250501,6650.94
0.00252505,6647.12
0.00254509,6643.27
0.00256513,6639.37
0.00258517,6635.44
0.00260521,6631.46
0.00262525,6627.45
0.00264529,6623.39
0.00266533,6619.3
0.00268537,6615.16
0.00270541,6610.99
0.00272545,6606.77
0.00274549,6602.51
0.00276553,6598.21
0.00278557,6593.87
0.00280561,6589.49
0.00282565,6585.06
0.00284569,6580.59
0.00286573,6576.08
0.00288577,6571.53
0.00290581,6566.93
0.00292585,6562.29
0.00294589,6557.61
0.00296593,6552.88
0.00298597,6548.11
0.00300601,6543.29
0.00302605,6538.43
0.00304609,6533.53
0.00306613,6528.57
0.00308617,6523.58
0.00310621,6518.53
0.00312625,6513.45
0.00314629,6508.31
0.00316633,6503.13
0.00318637,6497.9
0.00320641,6492.62
0.00322645,6487.3
0.00324649,6481.93
0.00326653,6476.51
0.00328657,6471.04
0.00330661,6465.53
0.00332665,6459.96
0.00334669,6454.35
0.00336673,6448.68
0.00338677,6442.97
0.00340681,6437.2
0.00342685,6431.39
0.00344689,6425.52
0.00346693,6419.6
0.00348697,6413.64
0.00350701,6407.62
0.00352705,6401.54
0.00354709,6395.42
0.00356713,6389.24
0.00358717,6383.01
0.00360721,6376.72
0.00362725,6370.39
0.00364729,6363.99
0.00366733,6357.55
0.00368737,6351.04
0.00370741,6344.49
0.00372745,6337.87
0.00374749,6331.21
0.00376754,6324.48
0.00378758,6317.7
0.00380762,6310.86
0.00382766,6303.97
0.0038477,6297.01
0.00386774,6290
0.00388778,6282.93
0.00390782,6275.8
0.00392786,6268.61
0.0039479,6261.36
0.00396794,6254.06
0.00398798,6246.69
0.00400802,6239.26
0.00402806,6231.77
0.0040481,6224.22
0.00406814,6216.6
0.00408818,6208.93
0.00410822,6201.19
0.00412826,6193.38
0.0041483,6185.52
0.00416834,6177.59
0.00418838,6169.59
0.00420842,6161.53
0.00422846,6153.41
0.0042485,6145.22
0.00426854,6136.96
0.00428858,6128.64
0.00430862,6120.25
0.00432866,6111.79
0.0043487,6103.27
0.00436874,6094.67
0.00438878,6086.01
0.00440882,6077.28
0.00442886,6068.48
0.0044489,6059.61
0.00446894,6050.66
0.00448898,6041.65
0.00450902,6032.57
0.00452906,6023.41
0.0045491,6014.18
0.00456914,6004.88
0.00458918,5995.51
0.00460922,5986.06
0.00462926,5976.53
0.0046493,5966.94
