T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        5.38224         -8.16699e+06    2119.75         678.04          1               1.10052         142.994         1e-06           1.49601e-05     0.0140056       
400        4.03668         -8.09249e+06    2333.23         802.172         1               1.08366         163.846         1e-06           1.9336e-05      0.0212565       
500        3.22934         -8.008e+06      2521.42         882.077         1               1.07551         182.495         1e-06           2.36893e-05     0.0285959       
600        2.69112         -7.91696e+06    2687.27         935.152         1               1.07092         199.486         1e-06           2.80352e-05     0.0359032       
700        2.30667         -7.82156e+06    2834.25         970.344         1               1.06818         215.193         1e-06           3.23747e-05     0.0430801       
800        2.01834         -7.72327e+06    2965.46         994.039         1               1.06644         229.864         1e-06           3.67023e-05     0.0500998       
900        1.79408         -7.62296e+06    3083.6          1011.7          1               1.06521         243.667         1e-06           4.10089e-05     0.0570266       
1000       1.61466         -7.52095e+06    3191.05         1028.76         1.00001         1.06409         256.713         1e-06           4.52851e-05     0.063799        
1100       1.46776         -7.41777e+06    3291.7          1039.29         1.00005         1.06363         269.189         1e-06           4.9518e-05      0.071146        
1200       1.34479         -7.31265e+06    3383.15         1067.77         1.00037         1.06316         281.121         1e-06           5.37072e-05     0.0810201       
1300       1.2385          -7.20233e+06    3471.41         1155.07         1.00184         1.06358         292.777         1e-06           5.78682e-05     0.101616        
1400       1.14028         -7.07593e+06    3564.96         1418.36         1.00733         1.06789         304.91          1e-06           6.20705e-05     0.155775        
1500       1.03674         -6.9042e+06     3683.17         2125.3          1.0242          1.08487         319.639         1e-06           6.65079e-05     0.29618         
1600       0.907428        -6.61739e+06    3867.68         3858.07         1.06808         1.13267         341.856         1e-06           7.15885e-05     0.619069        
1700       0.731615        -6.05879e+06    4205.12         7826.52         1.16181         1.23762         381.58          1e-06           7.79246e-05     1.2333          
1800       0.522053        -4.9441e+06     4840.35         14669.1         1.28365         1.38033         453.849         1e-06           8.55746e-05     1.90259         
1900       0.362072        -3.35701e+06    5698.44         14615.9         1.24215         1.35512         548.914         1e-06           9.21746e-05     1.50881         
2000       0.290049        -2.24703e+06    6269.19         8518.98         1.12829         1.25032         618.106         1e-06           9.62618e-05     0.890571        
2100       0.247417        -1.39166e+06    6686.31         9440.72         1.13617         1.26755         671.499         1e-06           9.92967e-05     1.03822         
2200       0.208536        -325171         7182.06         11473.2         1.16376         1.30792         734.121         1e-06           0.000101857     1.21846         
2300       0.177806        773761          7670.82         9940.28         1.13835         1.29446         799.711         1e-06           0.000104227     1.02171         
2400       0.15758         1.6206e+06      8031.66         7117.7          1.09348         1.26023         855.201         2.57156e-06     0.000106704     0.754868        
2500       0.143819        2.25313e+06     8290.05         5864.06         1.06846         1.23948         898.12          7.05305e-06     0.000109352     0.660667        
2600       0.132597        2.85347e+06     8525.44         6386.96         1.06737         1.234           933.753         1.70059e-05     0.000112102     0.745579        
