r(m),T(K)
0.00000e+00,1.01130e+04
5.00000e-06,1.01130e+04
1.00000e-05,1.01129e+04
1.50000e-05,1.01129e+04
2.00000e-05,1.01128e+04
2.50000e-05,1.01127e+04
3.00000e-05,1.01127e+04
3.50000e-05,1.01126e+04
4.00000e-05,1.01126e+04
4.50000e-05,1.01125e+04
5.00000e-05,1.01125e+04
5.50000e-05,1.01124e+04
6.00000e-05,1.01123e+04
6.50000e-05,1.01123e+04
7.00000e-05,1.01122e+04
7.50000e-05,1.01122e+04
8.00000e-05,1.01121e+04
8.50000e-05,1.01120e+04
9.00000e-05,1.01120e+04
9.50000e-05,1.01119e+04
1.00000e-04,1.01118e+04
1.05000e-04,1.01118e+04
1.10000e-04,1.01117e+04
1.15000e-04,1.01116e+04
1.20000e-04,1.01116e+04
1.25000e-04,1.01115e+04
1.30000e-04,1.01114e+04
1.35000e-04,1.01114e+04
1.40000e-04,1.01113e+04
1.45000e-04,1.01112e+04
1.50000e-04,1.01111e+04
1.55000e-04,1.01111e+04
1.60000e-04,1.01110e+04
1.65000e-04,1.01109e+04
1.70000e-04,1.01108e+04
1.75000e-04,1.01108e+04
1.80000e-04,1.01107e+04
1.85000e-04,1.01106e+04
1.90000e-04,1.01105e+04
1.95000e-04,1.01104e+04
2.00000e-04,1.01104e+04
2.05000e-04,1.01103e+04
2.10000e-04,1.01102e+04
2.15000e-04,1.01101e+04
2.20000e-04,1.01100e+04
2.25000e-04,1.01100e+04
2.30000e-04,1.01099e+04
2.35000e-04,1.01098e+04
2.40000e-04,1.01097e+04
2.45000e-04,1.01096e+04
2.50000e-04,1.01095e+04
2.55000e-04,1.01094e+04
2.60000e-04,1.01093e+04
2.65000e-04,1.01092e+04
2.70000e-04,1.01092e+04
2.75000e-04,1.01091e+04
2.80000e-04,1.01090e+04
2.85000e-04,1.01089e+04
2.90000e-04,1.01088e+04
2.95000e-04,1.01087e+04
3.00000e-04,1.01086e+04
3.05000e-04,1.01085e+04
3.10000e-04,1.01084e+04
3.15000e-04,1.01083e+04
3.20000e-04,1.01082e+04
3.25000e-04,1.01081e+04
3.30000e-04,1.01080e+04
3.35000e-04,1.01079e+04
3.40000e-04,1.01078e+04
3.45000e-04,1.01077e+04
3.50000e-04,1.01076e+04
3.55000e-04,1.01075e+04
3.60000e-04,1.01074e+04
3.65000e-04,1.01073e+04
3.70000e-04,1.01072e+04
3.75000e-04,1.01071e+04
3.80000e-04,1.01070e+04
3.85000e-04,1.01069e+04
3.90000e-04,1.01068e+04
3.95000e-04,1.01066e+04
4.00000e-04,1.01065e+04
4.05000e-04,1.01064e+04
4.10000e-04,1.01063e+04
4.15000e-04,1.01062e+04
4.20000e-04,1.01061e+04
4.25000e-04,1.01060e+04
4.30000e-04,1.01058e+04
4.35000e-04,1.01057e+04
4.40000e-04,1.01056e+04
4.45000e-04,1.01055e+04
4.50000e-04,1.01054e+04
4.55000e-04,1.01053e+04
4.60000e-04,1.01051e+04
4.65000e-04,1.01050e+04
4.70000e-04,1.01049e+04
4.75000e-04,1.01048e+04
4.80000e-04,1.01046e+04
4.85000e-04,1.01045e+04
4.90000e-04,1.01044e+04
4.95000e-04,1.01043e+04
5.00000e-04,1.01041e+04
5.05000e-04,1.01040e+04
5.10000e-04,1.01039e+04
5.15000e-04,1.01038e+04
5.20000e-04,1.01036e+04
5.25000e-04,1.01035e+04
5.30000e-04,1.01034e+04
5.35000e-04,1.01032e+04
5.40000e-04,1.01031e+04
5.45000e-04,1.01030e+04
5.50000e-04,1.01028e+04
5.55000e-04,1.01027e+04
5.60000e-04,1.01026e+04
5.65000e-04,1.01024e+04
5.70000e-04,1.01023e+04
5.75000e-04,1.01021e+04
5.80000e-04,1.01020e+04
5.85000e-04,1.01019e+04
5.90000e-04,1.01017e+04
5.95000e-04,1.01016e+04
6.00000e-04,1.01014e+04
6.05000e-04,1.01013e+04
6.10000e-04,1.01011e+04
6.15000e-04,1.01010e+04
6.20000e-04,1.01009e+04
6.25000e-04,1.01007e+04
6.30000e-04,1.01006e+04
6.35000e-04,1.01004e+04
6.40000e-04,1.01003e+04
6.45000e-04,1.01001e+04
6.50000e-04,1.01000e+04
6.55000e-04,1.00998e+04
6.60000e-04,1.00996e+04
6.65000e-04,1.00995e+04
6.70000e-04,1.00993e+04
6.75000e-04,1.00992e+04
6.80000e-04,1.00990e+04
6.85000e-04,1.00989e+04
6.90000e-04,1.00987e+04
6.95000e-04,1.00985e+04
7.00000e-04,1.00984e+04
7.05000e-04,1.00982e+04
7.10000e-04,1.00980e+04
7.15000e-04,1.00979e+04
7.20000e-04,1.00977e+04
7.25000e-04,1.00976e+04
7.30000e-04,1.00974e+04
7.35000e-04,1.00972e+04
7.40000e-04,1.00970e+04
7.45000e-04,1.00969e+04
7.50000e-04,1.00967e+04
7.55000e-04,1.00965e+04
7.60000e-04,1.00964e+04
7.65000e-04,1.00962e+04
7.70000e-04,1.00960e+04
7.75000e-04,1.00958e+04
7.80000e-04,1.00957e+04
7.85000e-04,1.00955e+04
7.90000e-04,1.00953e+04
7.95000e-04,1.00951e+04
8.00000e-04,1.00950e+04
8.05000e-04,1.00948e+04
8.10000e-04,1.00946e+04
8.15000e-04,1.00944e+04
