E/N (Td)	Diffusion coefficient *N (1/m/s)
0.0	    1.202E+25
1.000	1.202E+25
1.337	1.112E+25
1.716	1.037E+25
2.145	9.747E+24
2.625	9.222E+24
3.155	8.779E+24
3.736	8.434E+24
4.367	8.199E+24
5.049	8.067E+24
5.781	8.001E+24
6.564	7.968E+24
7.397	7.950E+24
8.281	7.939E+24
9.215	7.926E+24
10.2	7.912E+24
11.23	7.896E+24
12.32	7.878E+24
13.46	7.858E+24
14.64	7.836E+24
15.88	7.814E+24
17.17	7.792E+24
18.51	7.767E+24
19.9	7.742E+24
21.33	7.717E+24
22.82	7.691E+24
24.36	7.665E+24
25.96	7.639E+24
27.6	7.613E+24
29.29	7.588E+24
31.03	7.565E+24
32.82	7.540E+24
34.67	7.515E+24
36.56	7.490E+24
38.5	7.466E+24
40.5	7.441E+24
42.54	7.417E+24
44.64	7.394E+24
46.79	7.375E+24
48.98	7.352E+24
51.23	7.329E+24
53.53	7.307E+24
55.88	7.284E+24
58.27	7.262E+24
60.72	7.240E+24
63.22	7.218E+24
65.77	7.197E+24
68.37	7.179E+24
71.03	7.158E+24
73.73	7.136E+24
76.48	7.115E+24
79.28	7.093E+24
82.14	7.072E+24
85.04	7.051E+24
87.99	7.030E+24
91	7.013E+24
94.05	6.992E+24
97.16	6.971E+24
100.3	6.950E+24
103.5	6.930E+24
106.8	6.909E+24
110.1	6.889E+24
113.4	6.869E+24
116.9	6.849E+24
120.3	6.833E+24
123.8	6.813E+24
127.4	6.794E+24
131	6.774E+24
134.7	6.755E+24
138.4	6.736E+24
142.1	6.718E+24
145.9	6.700E+24
149.8	6.682E+24
153.7	6.667E+24
157.7	6.649E+24
161.7	6.632E+24
165.8	6.615E+24
169.9	6.598E+24
174	6.582E+24
178.3	6.566E+24
182.5	6.551E+24
186.8	6.535E+24
191.2	6.520E+24
195.6	6.506E+24
200.1	6.492E+24
204.6	6.478E+24
209.2	6.464E+24
213.8	6.451E+24
218.5	6.437E+24
223.2	6.425E+24
228	6.411E+24
232.8	6.399E+24
237.7	6.387E+24
242.6	6.376E+24
247.6	6.365E+24
252.6	6.354E+24
257.7	6.343E+24
262.8	6.333E+24
268	6.323E+24
273.2	6.313E+24
278.5	6.304E+24
283.8	6.295E+24
289.2	6.286E+24
294.6	6.277E+24
300.1	6.269E+24
305.6	6.261E+24
311.2	6.253E+24
316.8	6.246E+24
322.5	6.238E+24
328.2	6.231E+24
334	6.225E+24
339.9	6.219E+24
345.7	6.213E+24
351.7	6.207E+24
357.7	6.201E+24
363.7	6.196E+24
369.8	6.191E+24
375.9	6.189E+24
382.1	6.184E+24
388.3	6.180E+24
394.6	6.177E+24
401	6.173E+24
407.3	6.170E+24
413.8	6.167E+24
420.3	6.165E+24
426.8	6.163E+24
433.4	6.161E+24
440	6.158E+24
446.7	6.156E+24
453.5	6.155E+24
460.3	6.155E+24
467.1	6.154E+24
474	6.154E+24
480.9	6.155E+24
487.9	6.155E+24
495	6.156E+24
502.1	6.157E+24
509.2	6.160E+24
516.4	6.161E+24
523.7	6.164E+24
531	6.166E+24
538.3	6.169E+24
545.7	6.172E+24
553.2	6.176E+24
560.7	6.180E+24
568.2	6.184E+24
575.8	6.188E+24
583.5	6.193E+24
591.2	6.198E+24
598.9	6.204E+24
606.7	6.210E+24
614.6	6.216E+24
622.5	6.223E+24
630.4	6.230E+24
638.4	6.237E+24
646.5	6.245E+24
654.6	6.257E+24
662.7	6.266E+24
671	6.275E+24
679.2	6.284E+24
687.5	6.293E+24
695.9	6.303E+24
704.3	6.314E+24
712.7	6.324E+24
721.2	6.335E+24
729.8	6.347E+24
738.4	6.359E+24
747.1	6.369E+24
755.8	6.382E+24
764.5	6.395E+24
773.4	6.408E+24
782.2	6.422E+24
791.1	6.436E+24
800.1	6.450E+24
809.1	6.465E+24
818.2	6.480E+24
827.3	6.496E+24
836.5	6.512E+24
845.7	6.529E+24
854.9	6.545E+24
864.3	6.562E+24
873.6	6.580E+24
883	6.598E+24
892.5	6.616E+24
902	6.635E+24
911.6	6.654E+24
921.2	6.673E+24
930.9	6.693E+24
940.6	6.713E+24
950.4	6.734E+24
960.2	6.755E+24
970.1	6.777E+24
980	6.798E+24
990	6.821E+24
1000	6.843E+24
100000	6.843E+24
