E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
0.0	    1.741E-37
1.000	1.741E-37
3.736	1.741E-37
4.367	5.471E-35
5.049	4.402E-33
5.781	1.369E-31
6.564	2.162E-30
7.397	2.076E-29
8.281	1.433E-28
9.215	7.002E-28
10.2	2.727E-27
11.23	8.841E-27
12.32	2.469E-26
13.46	6.094E-26
14.64	1.357E-25
15.88	2.769E-25
17.17	5.280E-25
18.51	9.390E-25
19.9	1.581E-24
21.33	2.541E-24
22.82	3.918E-24
24.36	5.829E-24
25.96	8.399E-24
27.6	1.177E-23
29.29	1.608E-23
31.03	2.151E-23
32.82	2.815E-23
34.67	3.619E-23
36.56	4.578E-23
38.5	5.704E-23
40.5	7.012E-23
42.54	8.514E-23
44.64	1.022E-22
46.79	1.215E-22
48.98	1.430E-22
51.23	1.669E-22
53.53	1.931E-22
55.88	2.219E-22
58.27	2.531E-22
60.72	2.869E-22
63.22	3.233E-22
65.77	3.624E-22
68.37	4.040E-22
71.03	4.483E-22
73.73	4.951E-22
76.48	5.447E-22
79.28	5.968E-22
82.14	6.515E-22
85.04	7.087E-22
87.99	7.686E-22
91	8.309E-22
94.05	8.958E-22
97.16	9.630E-22
100.3	1.033E-21
103.5	1.105E-21
106.8	1.179E-21
110.1	1.256E-21
113.4	1.335E-21
116.9	1.417E-21
120.3	1.500E-21
123.8	1.586E-21
127.4	1.674E-21
131	1.764E-21
134.7	1.856E-21
138.4	1.951E-21
142.1	2.047E-21
145.9	2.145E-21
149.8	2.246E-21
153.7	2.348E-21
157.7	2.452E-21
161.7	2.559E-21
165.8	2.667E-21
169.9	2.777E-21
174	2.889E-21
178.3	3.002E-21
182.5	3.118E-21
186.8	3.235E-21
191.2	3.355E-21
195.6	3.476E-21
200.1	3.598E-21
204.6	3.723E-21
209.2	3.849E-21
213.8	3.977E-21
218.5	4.106E-21
223.2	4.238E-21
228	4.371E-21
232.8	4.505E-21
237.7	4.641E-21
242.6	4.779E-21
247.6	4.919E-21
252.6	5.060E-21
257.7	5.202E-21
262.8	5.347E-21
268	5.492E-21
273.2	5.640E-21
278.5	5.788E-21
283.8	5.939E-21
289.2	6.091E-21
294.6	6.244E-21
300.1	6.399E-21
305.6	6.555E-21
311.2	6.713E-21
316.8	6.872E-21
322.5	7.033E-21
328.2	7.195E-21
334	7.359E-21
339.9	7.524E-21
345.7	7.690E-21
351.7	7.858E-21
357.7	8.027E-21
363.7	8.197E-21
369.8	8.369E-21
375.9	8.542E-21
382.1	8.717E-21
388.3	8.892E-21
394.6	9.069E-21
401	9.247E-21
407.3	9.427E-21
413.8	9.607E-21
420.3	9.789E-21
426.8	9.972E-21
433.4	1.016E-20
440	1.034E-20
446.7	1.053E-20
453.5	1.072E-20
460.3	1.091E-20
467.1	1.110E-20
474	1.129E-20
480.9	1.148E-20
487.9	1.167E-20
495	1.187E-20
502.1	1.206E-20
509.2	1.226E-20
516.4	1.245E-20
523.7	1.265E-20
531	1.285E-20
538.3	1.305E-20
545.7	1.325E-20
553.2	1.345E-20
560.7	1.366E-20
568.2	1.386E-20
575.8	1.407E-20
583.5	1.427E-20
591.2	1.448E-20
598.9	1.468E-20
606.7	1.489E-20
614.6	1.510E-20
622.5	1.531E-20
630.4	1.552E-20
638.4	1.573E-20
646.5	1.594E-20
654.6	1.615E-20
662.7	1.636E-20
671	1.657E-20
679.2	1.679E-20
687.5	1.700E-20
695.9	1.721E-20
704.3	1.743E-20
712.7	1.764E-20
721.2	1.786E-20
729.8	1.807E-20
738.4	1.829E-20
747.1	1.851E-20
755.8	1.872E-20
764.5	1.894E-20
773.4	1.916E-20
782.2	1.938E-20
791.1	1.959E-20
800.1	1.981E-20
809.1	2.003E-20
818.2	2.025E-20
827.3	2.047E-20
836.5	2.069E-20
845.7	2.091E-20
854.9	2.113E-20
864.3	2.135E-20
873.6	2.156E-20
883	2.178E-20
892.5	2.200E-20
902	2.222E-20
911.6	2.244E-20
921.2	2.266E-20
930.9	2.288E-20
940.6	2.310E-20
950.4	2.332E-20
960.2	2.354E-20
970.1	2.376E-20
980	2.397E-20
990	2.419E-20
1000	2.441E-20
100000	2.441E-20
