E/N (Td)	Mobility *N (1/m/V/s)
0       2.990E+24
1.000	2.990E+24
1.337	2.423E+24
1.716	2.008E+24
2.145	1.693E+24
2.625	1.449E+24
3.155	1.261E+24
3.736	1.131E+24
4.367	1.059E+24
5.049	1.033E+24
5.781	1.030E+24
6.564	1.036E+24
7.397	1.044E+24
8.281	1.050E+24
9.215	1.053E+24
10.2	1.053E+24
11.23	1.051E+24
12.32	1.047E+24
13.46	1.042E+24
14.64	1.035E+24
15.88	1.028E+24
17.17	1.019E+24
18.51	1.011E+24
19.9	1.002E+24
21.33	9.931E+23
22.82	9.840E+23
24.36	9.749E+23
25.96	9.659E+23
27.6	9.569E+23
29.29	9.482E+23
31.03	9.395E+23
32.82	9.312E+23
34.67	9.231E+23
36.56	9.152E+23
38.5	9.076E+23
40.5	9.002E+23
42.54	8.931E+23
44.64	8.863E+23
46.79	8.798E+23
48.98	8.734E+23
51.23	8.673E+23
53.53	8.614E+23
55.88	8.558E+23
58.27	8.504E+23
60.72	8.451E+23
63.22	8.401E+23
65.77	8.353E+23
68.37	8.306E+23
71.03	8.261E+23
73.73	8.218E+23
76.48	8.176E+23
79.28	8.136E+23
82.14	8.097E+23
85.04	8.060E+23
87.99	8.023E+23
91	7.988E+23
94.05	7.954E+23
97.16	7.921E+23
100.3	7.888E+23
103.5	7.857E+23
106.8	7.826E+23
110.1	7.797E+23
113.4	7.768E+23
116.9	7.739E+23
120.3	7.712E+23
123.8	7.685E+23
127.4	7.659E+23
131	7.633E+23
134.7	7.608E+23
138.4	7.583E+23
142.1	7.559E+23
145.9	7.535E+23
149.8	7.512E+23
153.7	7.488E+23
157.7	7.466E+23
161.7	7.444E+23
165.8	7.422E+23
169.9	7.400E+23
174	7.379E+23
178.3	7.359E+23
182.5	7.338E+23
186.8	7.318E+23
191.2	7.299E+23
195.6	7.279E+23
200.1	7.259E+23
204.6	7.240E+23
209.2	7.221E+23
213.8	7.203E+23
218.5	7.184E+23
223.2	7.166E+23
228	7.148E+23
232.8	7.130E+23
237.7	7.112E+23
242.6	7.095E+23
247.6	7.077E+23
252.6	7.060E+23
257.7	7.043E+23
262.8	7.026E+23
268	7.010E+23
273.2	6.994E+23
278.5	6.978E+23
283.8	6.961E+23
289.2	6.945E+23
294.6	6.929E+23
300.1	6.914E+23
305.6	6.898E+23
311.2	6.883E+23
316.8	6.867E+23
322.5	6.852E+23
328.2	6.837E+23
334	6.822E+23
339.9	6.807E+23
345.7	6.793E+23
351.7	6.778E+23
357.7	6.764E+23
363.7	6.750E+23
369.8	6.735E+23
375.9	6.722E+23
382.1	6.708E+23
388.3	6.695E+23
394.6	6.681E+23
401	6.667E+23
407.3	6.654E+23
413.8	6.641E+23
420.3	6.627E+23
426.8	6.614E+23
433.4	6.601E+23
440	6.587E+23
446.7	6.574E+23
453.5	6.561E+23
460.3	6.549E+23
467.1	6.537E+23
474	6.524E+23
480.9	6.512E+23
487.9	6.500E+23
495	6.488E+23
502.1	6.476E+23
509.2	6.465E+23
516.4	6.454E+23
523.7	6.442E+23
531	6.431E+23
538.3	6.419E+23
545.7	6.408E+23
553.2	6.397E+23
560.7	6.385E+23
568.2	6.374E+23
575.8	6.362E+23
583.5	6.351E+23
591.2	6.340E+23
598.9	6.329E+23
606.7	6.319E+23
614.6	6.308E+23
622.5	6.298E+23
630.4	6.288E+23
638.4	6.277E+23
646.5	6.267E+23
654.6	6.260E+23
662.7	6.250E+23
671	6.240E+23
679.2	6.230E+23
687.5	6.220E+23
695.9	6.210E+23
704.3	6.200E+23
712.7	6.191E+23
721.2	6.181E+23
729.8	6.171E+23
738.4	6.162E+23
747.1	6.152E+23
755.8	6.143E+23
764.5	6.133E+23
773.4	6.124E+23
782.2	6.115E+23
791.1	6.105E+23
800.1	6.096E+23
809.1	6.087E+23
818.2	6.078E+23
827.3	6.069E+23
836.5	6.060E+23
845.7	6.050E+23
854.9	6.041E+23
864.3	6.032E+23
873.6	6.023E+23
883	6.014E+23
892.5	6.006E+23
902	5.997E+23
911.6	5.988E+23
921.2	5.979E+23
930.9	5.971E+23
940.6	5.962E+23
950.4	5.954E+23
960.2	5.945E+23
970.1	5.937E+23
980	5.928E+23
990	5.920E+23
1000	5.911E+23
100000	5.911E+23
