r(cm)          U(V)           Ne(m^-3)       
0              -10000         1.001e+15      
0.001001       -9989.99       1.00099e+15    
0.002002       -9979.98       1.00097e+15    
0.003003       -9969.97       1.00093e+15    
0.004004       -9959.96       1.00087e+15    
0.00500501     -9949.95       1.0008e+15     
0.00600601     -9939.94       1.00071e+15    
0.00700701     -9929.93       1.00061e+15    
0.00800801     -9919.92       1.00049e+15    
0.00900901     -9909.91       1.00035e+15    
0.01001        -9899.9        1.0002e+15     
0.011011       -9889.89       1.00003e+15    
0.012012       -9879.88       9.99846e+14    
0.013013       -9869.87       9.99646e+14    
0.014014       -9859.86       9.9943e+14     
0.015015       -9849.85       9.99198e+14    
0.016016       -9839.84       9.9895e+14     
0.017017       -9829.83       9.98686e+14    
0.018018       -9819.82       9.98406e+14    
0.019019       -9809.81       9.9811e+14     
0.02002        -9799.8        9.97799e+14    
0.021021       -9789.79       9.97471e+14    
0.022022       -9779.78       9.97128e+14    
0.023023       -9769.77       9.96769e+14    
0.024024       -9759.76       9.96393e+14    
0.025025       -9749.75       9.96003e+14    
0.026026       -9739.74       9.95596e+14    
0.027027       -9729.73       9.95173e+14    
0.028028       -9719.72       9.94735e+14    
0.029029       -9709.71       9.94281e+14    
0.03003        -9699.7        9.93812e+14    
0.031031       -9689.69       9.93326e+14    
0.032032       -9679.68       9.92825e+14    
0.033033       -9669.67       9.92309e+14    
0.034034       -9659.66       9.91776e+14    
0.035035       -9649.65       9.91228e+14    
0.036036       -9639.64       9.90665e+14    
0.037037       -9629.63       9.90086e+14    
0.038038       -9619.62       9.89492e+14    
0.039039       -9609.61       9.88882e+14    
0.04004        -9599.6        9.88256e+14    
0.041041       -9589.59       9.87615e+14    
0.042042       -9579.58       9.86959e+14    
0.043043       -9569.57       9.86288e+14    
0.044044       -9559.56       9.85601e+14    
0.045045       -9549.55       9.84899e+14    
0.046046       -9539.54       9.84181e+14    
0.047047       -9529.53       9.83448e+14    
0.048048       -9519.52       9.82701e+14    
0.049049       -9509.51       9.81938e+14    
0.0500501      -9499.5        9.81159e+14    
0.0510511      -9489.49       9.80366e+14    
0.0520521      -9479.48       9.79558e+14    
0.0530531      -9469.47       9.78735e+14    
0.0540541      -9459.46       9.77896e+14    
0.0550551      -9449.45       9.77043e+14    
0.0560561      -9439.44       9.76175e+14    
0.0570571      -9429.43       9.75292e+14    
0.0580581      -9419.42       9.74394e+14    
0.0590591      -9409.41       9.73482e+14    
0.0600601      -9399.4        9.72555e+14    
0.0610611      -9389.39       9.71613e+14    
0.0620621      -9379.38       9.70656e+14    
0.0630631      -9369.37       9.69685e+14    
0.0640641      -9359.36       9.687e+14      
0.0650651      -9349.35       9.67699e+14    
0.0660661      -9339.34       9.66685e+14    
0.0670671      -9329.33       9.65656e+14    
0.0680681      -9319.32       9.64612e+14    
0.0690691      -9309.31       9.63555e+14    
0.0700701      -9299.3        9.62483e+14    
0.0710711      -9289.29       9.61397e+14    
0.0720721      -9279.28       9.60297e+14    
0.0730731      -9269.27       9.59182e+14    
0.0740741      -9259.26       9.58054e+14    
0.0750751      -9249.25       9.56911e+14    
0.0760761      -9239.24       9.55755e+14    
0.0770771      -9229.23       9.54585e+14    
0.0780781      -9219.22       9.53401e+14    
