r(cm)          U(V)           Ne(m^-3)       
0              -10000         5.16858e+15    
0.001001       -9993.75       5.1688e+15     
0.002002       -9987.48       5.16958e+15    
0.003003       -9981.21       5.17094e+15    
0.004004       -9974.94       5.17287e+15    
0.00500501     -9968.65       5.17537e+15    
0.00600601     -9962.36       5.17845e+15    
0.00700701     -9956.06       5.18207e+15    
0.00800801     -9949.75       5.18625e+15    
0.00900901     -9943.43       5.19095e+15    
0.01001        -9937.11       5.19616e+15    
0.011011       -9930.78       5.20186e+15    
0.012012       -9924.44       5.20804e+15    
0.013013       -9918.1        5.21465e+15    
0.014014       -9911.74       5.22169e+15    
0.015015       -9905.38       5.22913e+15    
0.016016       -9899.01       5.23695e+15    
0.017017       -9892.64       5.24511e+15    
0.018018       -9886.25       5.2536e+15     
0.019019       -9879.86       5.26239e+15    
0.02002        -9873.46       5.27146e+15    
0.021021       -9867.05       5.28078e+15    
0.022022       -9860.64       5.29034e+15    
0.023023       -9854.22       5.3001e+15     
0.024024       -9847.79       5.31006e+15    
0.025025       -9841.35       5.32019e+15    
0.026026       -9834.9        5.33047e+15    
0.027027       -9828.45       5.3409e+15     
0.028028       -9821.99       5.35144e+15    
0.029029       -9815.52       5.36208e+15    
0.03003        -9809.04       5.37282e+15    
0.031031       -9802.55       5.38363e+15    
0.032032       -9796.06       5.39451e+15    
0.033033       -9789.56       5.40544e+15    
0.034034       -9783.05       5.41641e+15    
0.035035       -9776.53       5.42742e+15    
0.036036       -9770          5.43845e+15    
0.037037       -9763.47       5.4495e+15     
0.038038       -9756.93       5.46056e+15    
0.039039       -9750.38       5.47162e+15    
0.04004        -9743.82       5.48268e+15    
0.041041       -9737.25       5.49373e+15    
0.042042       -9730.68       5.50477e+15    
0.043043       -9724.1        5.51579e+15    
0.044044       -9717.51       5.5268e+15     
0.045045       -9710.91       5.53778e+15    
0.046046       -9704.3        5.54874e+15    
0.047047       -9697.68       5.55968e+15    
0.048048       -9691.06       5.57059e+15    
0.049049       -9684.43       5.58147e+15    
0.0500501      -9677.79       5.59233e+15    
0.0510511      -9671.14       5.60315e+15    
0.0520521      -9664.48       5.61394e+15    
0.0530531      -9657.82       5.62471e+15    
0.0540541      -9651.14       5.63544e+15    
0.0550551      -9644.46       5.64614e+15    
0.0560561      -9637.77       5.6568e+15     
0.0570571      -9631.07       5.66744e+15    
0.0580581      -9624.36       5.67804e+15    
0.0590591      -9617.65       5.68861e+15    
0.0600601      -9610.92       5.69915e+15    
0.0610611      -9604.19       5.70965e+15    
0.0620621      -9597.45       5.72011e+15    
0.0630631      -9590.7        5.73054e+15    
0.0640641      -9583.94       5.74094e+15    
0.0650651      -9577.17       5.7513e+15     
0.0660661      -9570.39       5.76163e+15    
0.0670671      -9563.61       5.77192e+15    
0.0680681      -9556.81       5.78218e+15    
0.0690691      -9550.01       5.79239e+15    
0.0700701      -9543.2        5.80257e+15    
0.0710711      -9536.38       5.81272e+15    
0.0720721      -9529.55       5.82282e+15    
0.0730731      -9522.71       5.83289e+15    
0.0740741      -9515.87       5.84292e+15    
0.0750751      -9509.01       5.85291e+15    
0.0760761      -9502.15       5.86287e+15    
0.0770771      -9495.27       5.87278e+15    
0.0780781      -9488.39       5.88266e+15    
0.0790791      -9481.5        5.89249e+15    
0.0800801      -9474.6        5.90228e+15    
0.0810811      -9467.69       5.91204e+15    
0.0820821      -9460.78       5.92175e+15    
0.0830831      -9453.85       5.93142e+15    
0.0840841      -9446.91       5.94105e+15    
0.0850851      -9439.97       5.95064e+15    
0.0860861      -9433.01       5.96019e+15    
0.0870871      -9426.05       5.96969e+15    
0.0880881      -9419.08       5.97915e+15    
0.0890891      -9412.1        5.98857e+15    
0.0900901      -9405.11       5.99794e+15    
0.0910911      -9398.11       6.00727e+15    
0.0920921      -9391.1        6.01656e+15    
0.0930931      -9384.08       6.0258e+15     
0.0940941      -9377.05       6.03499e+15    
0.0950951      -9370.02       6.04414e+15    
0.0960961      -9362.97       6.05325e+15    
0.0970971      -9355.92       6.06231e+15    
0.0980981      -9348.85       6.07132e+15    
0.0990991      -9341.78       6.08028e+15    
0.1001         -9334.7        6.0892e+15     
0.101101       -9327.6        6.09807e+15    
0.102102       -9320.5        6.10689e+15    
0.103103       -9313.39       6.11567e+15    
0.104104       -9306.27       6.12439e+15    
0.105105       -9299.14       6.13307e+15    
0.106106       -9292          6.1417e+15     
0.107107       -9284.85       6.15028e+15    
0.108108       -9277.7        6.1588e+15     
0.109109       -9270.53       6.16728e+15    
0.11011        -9263.35       6.17571e+15    
0.111111       -9256.16       6.18408e+15    
0.112112       -9248.97       6.1924e+15     
0.113113       -9241.76       6.20068e+15    
0.114114       -9234.55       6.20889e+15    
0.115115       -9227.32       6.21706e+15    
0.116116       -9220.09       6.22517e+15    
0.117117       -9212.84       6.23323e+15    
0.118118       -9205.59       6.24124e+15    
0.119119       -9198.32       6.24919e+15    
0.12012        -9191.05       6.25709e+15    
