r(cm),U(V),Ne(m^-3)
0,-10000,1.00E+15
1.00E-03,-9989.99,1.00E+15
2.00E-03,-9979.98,1.00E+15
3.00E-03,-9969.97,1.00E+15
4.00E-03,-9959.96,1.00E+15
0.00500501,-9949.95,1.00E+15
0.00600601,-9939.94,1.00E+15
0.00700701,-9929.93,1.00E+15
0.00800801,-9919.92,1.00E+15
0.00900901,-9909.91,1.00E+15
0.01001,-9899.9,1.00E+15
0.011011,-9889.89,1.00E+15
0.012012,-9879.88,1.00E+15
0.013013,-9869.87,1.00E+15
0.014014,-9859.86,9.99E+14
0.015015,-9849.85,9.99E+14
0.016016,-9839.84,9.99E+14
0.017017,-9829.83,9.99E+14
0.018018,-9819.82,9.98E+14
0.019019,-9809.81,9.98E+14
0.02002,-9799.8,9.98E+14
0.021021,-9789.79,9.97E+14
0.022022,-9779.78,9.97E+14
0.023023,-9769.77,9.97E+14
0.024024,-9759.76,9.96E+14
0.025025,-9749.75,9.96E+14
0.026026,-9739.74,9.96E+14
0.027027,-9729.73,9.95E+14
0.028028,-9719.72,9.95E+14
0.029029,-9709.71,9.94E+14
0.03003,-9699.7,9.94E+14
0.031031,-9689.69,9.93E+14
0.032032,-9679.68,9.93E+14
0.033033,-9669.67,9.92E+14
0.034034,-9659.66,9.92E+14
0.035035,-9649.65,9.91E+14
0.036036,-9639.64,9.91E+14
0.037037,-9629.63,9.90E+14
0.038038,-9619.62,9.89E+14
0.039039,-9609.61,9.89E+14
0.04004,-9599.6,9.88E+14
0.041041,-9589.59,9.88E+14
0.042042,-9579.58,9.87E+14
0.043043,-9569.57,9.86E+14
0.044044,-9559.56,9.86E+14
0.045045,-9549.55,9.85E+14
0.046046,-9539.54,9.84E+14
0.047047,-9529.53,9.83E+14
0.048048,-9519.52,9.83E+14
0.049049,-9509.51,9.82E+14
0.0500501,-9499.5,9.81E+14
0.0510511,-9489.49,9.80E+14
0.0520521,-9479.48,9.80E+14
0.0530531,-9469.47,9.79E+14
0.0540541,-9459.46,9.78E+14
0.0550551,-9449.45,9.77E+14
0.0560561,-9439.44,9.76E+14
0.0570571,-9429.43,9.75E+14
0.0580581,-9419.42,9.74E+14
0.0590591,-9409.41,9.73E+14
0.0600601,-9399.4,9.73E+14
0.0610611,-9389.39,9.72E+14
0.0620621,-9379.38,9.71E+14
0.0630631,-9369.37,9.70E+14
0.0640641,-9359.36,9.69E+14
0.0650651,-9349.35,9.68E+14
0.0660661,-9339.34,9.67E+14
0.0670671,-9329.33,9.66E+14
0.0680681,-9319.32,9.65E+14
0.0690691,-9309.31,9.64E+14
0.0700701,-9299.3,9.62E+14
0.0710711,-9289.29,9.61E+14
0.0720721,-9279.28,9.60E+14
0.0730731,-9269.27,9.59E+14
0.0740741,-9259.26,9.58E+14
0.0750751,-9249.25,9.57E+14
0.0760761,-9239.24,9.56E+14
0.0770771,-9229.23,9.55E+14
0.0780781,-9219.22,9.53E+14
0.0790791,-9209.21,9.52E+14
0.0800801,-9199.2,9.51E+14
0.0810811,-9189.19,9.50E+14
0.0820821,-9179.18,9.49E+14
0.0830831,-9169.17,9.47E+14
0.0840841,-9159.16,9.46E+14
0.0850851,-9149.15,9.45E+14
0.0860861,-9139.14,9.43E+14
0.0870871,-9129.13,9.42E+14
0.0880881,-9119.12,9.41E+14
0.0890891,-9109.11,9.39E+14
0.0900901,-9099.1,9.38E+14
0.0910911,-9089.09,9.37E+14
0.0920921,-9079.08,9.35E+14
0.0930931,-9069.07,9.34E+14
0.0940941,-9059.06,9.33E+14
0.0950951,-9049.05,9.31E+14
0.0960961,-9039.04,9.30E+14
0.0970971,-9029.03,9.28E+14
0.0980981,-9019.02,9.27E+14
0.0990991,-9009.01,9.25E+14
0.1001,-8999,9.24E+14
0.101101,-8988.99,9.22E+14
0.102102,-8978.98,9.21E+14
0.103103,-8968.97,9.19E+14
0.104104,-8958.96,9.18E+14
0.105105,-8948.95,9.16E+14
0.106106,-8938.94,9.15E+14
0.107107,-8928.93,9.13E+14
0.108108,-8918.92,9.12E+14
0.109109,-8908.91,9.10E+14
0.11011,-8898.9,9.09E+14
0.111111,-8888.89,9.07E+14
0.112112,-8878.88,9.05E+14
0.113113,-8868.87,9.04E+14
0.114114,-8858.86,9.02E+14
0.115115,-8848.85,9.00E+14
0.116116,-8838.84,8.99E+14
0.117117,-8828.83,8.97E+14
0.118118,-8818.82,8.95E+14
0.119119,-8808.81,8.94E+14
0.12012,-8798.8,8.92E+14
0.121121,-8788.79,8.90E+14
0.122122,-8778.78,8.89E+14
0.123123,-8768.77,8.87E+14
0.124124,-8758.76,8.85E+14
0.125125,-8748.75,8.83E+14
0.126126,-8738.74,8.82E+14
0.127127,-8728.73,8.80E+14
0.128128,-8718.72,8.78E+14
0.129129,-8708.71,8.76E+14
0.13013,-8698.7,8.74E+14
0.131131,-8688.69,8.72E+14
0.132132,-8678.68,8.71E+14
0.133133,-8668.67,8.69E+14
0.134134,-8658.66,8.67E+14
0.135135,-8648.65,8.65E+14
0.136136,-8638.64,8.63E+14
0.137137,-8628.63,8.61E+14
0.138138,-8618.62,8.59E+14
0.139139,-8608.61,8.58E+14
0.14014,-8598.6,8.56E+14
0.141141,-8588.59,8.54E+14
0.142142,-8578.58,8.52E+14
0.143143,-8568.57,8.50E+14
0.144144,-8558.56,8.48E+14
0.145145,-8548.55,8.46E+14
0.146146,-8538.54,8.44E+14
0.147147,-8528.53,8.42E+14
0.148148,-8518.52,8.40E+14
0.149149,-8508.51,8.38E+14
0.15015,-8498.5,8.36E+14
0.151151,-8488.49,8.34E+14
0.152152,-8478.48,8.32E+14
0.153153,-8468.47,8.30E+14
0.154154,-8458.46,8.28E+14
0.155155,-8448.45,8.26E+14
0.156156,-8438.44,8.24E+14
0.157157,-8428.43,8.22E+14
0.158158,-8418.42,8.20E+14
0.159159,-8408.41,8.18E+14
0.16016,-8398.4,8.15E+14
0.161161,-8388.39,8.13E+14
0.162162,-8378.38,8.11E+14
0.163163,-8368.37,8.09E+14
0.164164,-8358.36,8.07E+14
0.165165,-8348.35,8.05E+14
0.166166,-8338.34,8.03E+14
0.167167,-8328.33,8.01E+14
0.168168,-8318.32,7.99E+14
0.169169,-8308.31,7.96E+14
0.17017,-8298.3,7.94E+14
0.171171,-8288.29,7.92E+14
0.172172,-8278.28,7.90E+14
0.173173,-8268.27,7.88E+14
0.174174,-8258.26,7.86E+14
0.175175,-8248.25,7.83E+14
0.176176,-8238.24,7.81E+14
0.177177,-8228.23,7.79E+14
0.178178,-8218.22,7.77E+14
0.179179,-8208.21,7.74E+14
0.18018,-8198.2,7.72E+14
0.181181,-8188.19,7.70E+14
0.182182,-8178.18,7.68E+14
0.183183,-8168.17,7.66E+14
0.184184,-8158.16,7.63E+14
0.185185,-8148.15,7.61E+14
0.186186,-8138.14,7.59E+14
0.187187,-8128.13,7.57E+14
0.188188,-8118.12,7.54E+14
0.189189,-8108.11,7.52E+14
0.19019,-8098.1,7.50E+14
0.191191,-8088.09,7.47E+14
0.192192,-8078.08,7.45E+14
0.193193,-8068.07,7.43E+14
0.194194,-8058.06,7.41E+14
0.195195,-8048.05,7.38E+14
0.196196,-8038.04,7.36E+14
0.197197,-8028.03,7.34E+14
0.198198,-8018.02,7.31E+14
