T(K)            rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        V(m/s)          sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300.00          5.85547         -8.34767e+06    1998.46         670.333         1               1.0928          136.612         1e-06           1.45965e-05     0.0131978       
400.00          4.3916          -8.2738e+06     2210.1          797.014         1               1.07692         156.596         1e-06           1.88298e-05     0.0203157       
500.00          3.51328         -8.18975e+06    2397.32         878.362         1               1.0693          174.459         1e-06           2.3052e-05      0.0275336       
600.00          2.92773         -8.09904e+06    2562.56         932.175         1               1.06504         190.729         1e-06           2.72876e-05     0.0347244       
700.00          2.50949         -8.00393e+06    2709.11         967.637         1               1.06251         205.766         1e-06           3.15421e-05     0.0417878       
800.00          2.1958          -7.9059e+06     2839.96         991.316         1               1.06092         219.809         1e-06           3.58108e-05     0.0486995       
900.00          1.95182         -7.80587e+06    2957.77         1008.84         1               1.0598          233.02          1e-06           4.00834e-05     0.0555362       
1000.00         1.75663         -7.70416e+06    3064.91         1025.77         1.00001         1.05879         245.507         1e-06           4.4347e-05      0.0622969       
1100.00         1.59681         -7.6013e+06     3165.3          1035.86         1.00006         1.0584          257.447         1e-06           4.85891e-05     0.0694693       
1200.00         1.463           -7.49657e+06    3256.42         1063.25         1.00038         1.05808         268.878         1e-06           5.28031e-05     0.0790824       
1300.00         1.34725         -7.38685e+06    3344.19         1146.82         1.00191         1.05884         280.077         1e-06           5.70034e-05     0.0987409       
1400.00         1.24            -7.26174e+06    3436.79         1398.77         1.0076          1.06388         291.804         1e-06           6.12632e-05     0.149899        
1500.00         1.12625         -7.09321e+06    3552.81         2076.84         1.02513         1.08211         306.145         1e-06           6.57865e-05     0.281913        
1600.00         0.983021        -6.8139e+06     3732.5          3751.38         1.07088         1.13223         327.957         1e-06           7.10102e-05     0.587717        
1700.00         0.787007        -6.26935e+06    4061.44         7662.99         1.16959         1.2427          367.433         1e-06           7.76173e-05     1.18173         
1800.00         0.552735        -5.16359e+06    4691.5          14758.7         1.30177         1.39708         440.642         1e-06           8.57387e-05     1.87534         
1900.00         0.374491        -3.53417e+06    5572.32         15272           1.26216         1.37502         539.358         1e-06           9.27762e-05     1.54208         
2000.00         0.296036        -2.37468e+06    6168.56         8783.76         1.13592         1.25744         611.5           1e-06           9.70008e-05     0.896564        
2100.00         0.251463        -1.50607e+06    6592.19         9516.99         1.13996         1.271           665.871         1e-06           0.000100061     1.02538         
2200.00         0.211184        -426472         7094            11683.7         1.16921         1.31328         729.292         1e-06           0.000102607     1.21767         
2300.00         0.179277        699356          7594.7          10233.8         1.14414         1.30018         796.159         1e-06           0.000104936     1.03614         
2400.00         0.158355        1.57209e+06     7966.58         7327.73         1.09745         1.26394         852.814         1.90525e-07     0.000107385     0.76208         
2500.00         0.144253        2.22057e+06     8231.49         5979.91         1.07077         1.24169         896.595         8.50107e-07     0.00011002      0.661347        
2600.00         0.13286         2.82988e+06     8470.41         6459.92         1.06882         1.23552         932.77          3.36451e-06     0.000112762     0.741306        
2700.00         0.122094        3.54445e+06     8739.92         7864.24         1.08201         1.24708         971.59          1.28275e-05     0.000115561     0.904227        
2800.00         0.11175         4.37901e+06     9043.34         8583.49         1.09119         1.26209         1017.35         4.70759e-05     0.000118407     0.982593        
2900.00         0.102716        5.20764e+06     9334.21         7769.96         1.084           1.26639         1066.47         0.000154912     0.000121293     0.90215         
3000.00         0.0954837       5.90943e+06     9572.27         6244.13         1.06796         1.26687         1114.61         0.00044639      0.00012418      0.75477         
3100.00         0.0897883       6.46397e+06     9754.22         4915.97         1.05321         1.27268         1160.09         0.00114588      0.000127036     0.628844        
3200.00         0.0851593       6.90712e+06     9894.99         4012.29         1.04279         1.28421         1202.55         0.00267853      0.000129842     0.543529        
3300.00         0.0812428       7.27689e+06     10008.8         3422.39         1.03579         1.29863         1242.27         0.00579667      0.000132599     0.487055        
3400.00         0.0778295       7.59727e+06     10104.5         3004.69         1.03074         1.31461         1280.12         0.0117514       0.000135318     0.445867        
3500.00         0.0748022       7.88057e+06     10186.6         2670.94         1.02661         1.33237         1317.2          0.0225248       0.000138012     0.412014        
3600.00         0.0720907       8.13291e+06     10257.7         2381.7          1.02288         1.35264         1354.37         0.0411613       0.000140694     0.38241         
3700.00         0.069646        8.35801e+06     10319.4         2125.63         1.01943         1.37589         1392.08         0.0722732       0.000143373     0.356319        
3800.00         0.0674289       8.55914e+06     10373.1         1902.71         1.01626         1.40197         1430.36         0.122822        0.000146053     0.334097        
